Name_lang,ID,UiTextureAtlasElementID,DecorCategoryID,OrderIndex
Assentos,1,29176,1,0
Camas,2,29113,1,3
Portas,3,29125,2,0
Paredes e colunas,4,29203,2,1
Mesas e escrivaninhas,5,29191,1,1
Armazenamento,6,29185,1,2
Mobílias diversas,7,30799,1,4
Janelas,8,29206,2,2
Estruturas grandes,9,29155,2,3
Estruturas diversas,10,30799,2,4
Ornamentos,11,29164,3,0
Decorações de parede,12,29197,3,1
Comes e bebes,13,29131,3,2
Piso,14,29128,3,3
Destaques diversos,15,30799,3,4
Luzes grandes,16,29152,4,0
Arandelas,17,29200,4,1
Luminárias de teto,18,29140,4,2
Luzes pequenas,19,29182,4,3
Luzes ambiente,20,29110,4,4
Iluminações diversas,21,30799,4,5
Utilitários,22,29194,5,0
Folhagens grandes,25,29149,6,0
Folhagens pequenas,26,29179,6,1
Arbustos,27,29116,6,2
Plantas rasteiras,28,29137,6,3
Naturais diversas,29,30799,6,4
Diversos - Tudo,34,30799,8,0
Cômodos - Tudo,35,0,9,0
Funcionais diversas,51,30799,5,1
