Name_lang,Description_lang,Map[0],Map[1],ID,JournalInstanceID,DungeonEncounterID,OrderIndex,FirstSectionID,UiMapID,MapDisplayConditionID,Flags,DifficultyMask
Falagrum,"Em um acesso de raiva, Falagrum libertou as próprias habilidades mágicas e reduziu a cinzas a própria gruta. Ao tomar conhecimento de tamanho talento destrutivo, os Défias contrataram o gigantesco ogro-mago como capataz das Minas Mortas.",0.3652697,0.6122755,89,63,2976,1,2010,291,54460,2,1
Helix Quebracâmbio,"Ex-engenheiro do Cartel Borraquilha, Helix recebeu da Irmandade Défias uma proposta de trabalho envolvendo uma quantia muito maior do que jamais poderia receber como um anônimo artífice da Horda. Helix aceitou a oferta sem pestanejar, renunciando às antigas alianças... como qualquer goblin talentoso faria.",0.50199604,0.8682636,90,63,2977,2,2020,291,54460,2,1
Ceifador de Inimigos 5000,"Os engenheiros défias dedicam-se há muitos e longos anos ao aperfeiçoamento de um protótipo de ceifador baseado no Ceifador de Inimigos 4000. Quando o novo modelo estiver pronto, a irmandade acredita que este terror mecanizado passará sobre os soldados de Ventobravo como uma foice ceifando o trigo.",0.12475067,0.75898206,91,63,2975,3,3448,292,54460,2,1
Almirante Rosnarrasga,"James Harrington, ao ser contaminado pela maldição worgen, destruiu sua amada família e sua carreira como homem do mar em uma gélida noite de sangue. Assumindo a alcunha de Rosnarrasga, o worgen fugiu para Cerro Oeste e aceitou comandar a Fortaleza Flutuante da Irmandade Défias.",0.60479087,0.38772452,92,63,2974,4,2044,292,54460,2,1
"""Capitão"" Biscoito","Biscoito se autoproclamou capitão da Fortaleza Flutuante da Irmandade Défias após a morte do comandante anterior. Biscoito ainda cumpre sua função oficial como cozinheiro de bordo, e diz-se que todos que questionaram sua liderança sofreram gravíssimos casos de intoxicação alimentar.",0.60479087,0.4550898,93,63,2973,5,2055,292,54460,2,1
Vanessa VanCleef,"Ainda muito jovem, Vanessa testemunhou a terrível morte do pai, Edwin VanCleef, o então líder dos Défias. Desde então, Vanessa tomou para si o comando da irmandade e anseia por vingança contra Ventobravo, tramando planos sórdidos por entre os sombrios corredores da fortaleza Défias, nas Minas Mortas.",0.6546913,0.40269458,95,63,1081,6,2060,292,54460,2,2
Barão Ashbury,"Assassinado por worgens e trazido à morte-viva pelos Renegados, o traiçoeiro barão Ashbury brinca com os inimigos, mantendo-os vivos para assim infligir-lhes o máximo de dor e sofrimento.",0.66467136,0.732036,96,64,1069,1,2107,310,0,0,-1
Barão Silverlaine,"O barão Silverlaine era castelão até que seu forte caiu sob os worgens de Arugal. Agora, seu espírito amaldiçoado evoca as feras mesmas que o mortificaram, para punir qualquer um que ousar invadir sua casa.",0.30439156,0.7739521,97,64,1070,2,2118,311,0,0,-1
Comandante Floraval,"Soldado leal, o fantasma do comandante Floraval assombra a sala do conselho, valendo-se de golpes profanos para vingar seu senhor, o barão Silverlaine.",0.2804395,0.5973054,98,64,1071,3,2137,310,0,0,-1
Lorde Walden,"Braço direito de Godfrey, o arrogante lorde Walden jurou defender seu conterrâneo a qualquer custo – até a morte. Agora morto-vivo, Walden mantém a palavra e ataca adversários com gelo e peçonha.",0.5449104,0.53742516,99,64,1073,4,2156,313,0,0,-1
Lorde Godfrey,"Valendo-se de sua origem aristocrática guilneana e de seu passado como agente dos Renegados, o astuto e versátil lorde Godfrey empunha duas pistolas e comanda uma tropa de implacáveis carniçais comedores de carne.",0.6846315,0.3353293,100,64,1072,5,2164,315,0,0,-1
Lady Naz'jar,"Lady Naz'jar foi o pivô da retomada de Vashj'ir dos brutais Kvaldir e caiu nas graças de Sua Majestade, a Rainha Azshara. Recentemente, Naz'jar liderou um ataque contra Neptulon e conseguiu encurralar o poderoso senhor elemental na sala do trono.",0.50499004,0.21556878,101,65,1045,1,28310,323,0,0,-1
"Comandante Ulthok, o Príncipe Infectado","Ulthok é uma criatura incrivelmente velha enviada pelos Deuses Antigos para ajudar lady Naz'jar a invadir o Trono das Marés. De posse de sinistros poderes, Ulthok comanda legiões de sem-rosto como ele nas profundas trincheiras que cercam Vashj'ir.",0.50499004,0.42514968,102,65,1044,2,28314,323,0,0,-1
Dobramentes Ghur'sha,"Após heroicas proezas na Brecha Abissal, o xamã da Harmonia Telúrica Erunak Falapedra foi sequestrado por tropas nagas e feito escravo pelo dobramentes Ghur'sha. Teme-se que essa aberração parasítica tenha dominado a mente, o corpo e os poderes xamânicos devastadores de Erunak.",0.67465144,0.19311368,103,65,1046,3,28322,322,0,0,-1
Ozumat,"As histórias de monstruosos krakens que aterrorizam os mares de Azeroth já foram consideradas mitos... Não mais, no entanto. De alguma maneira sórdida, as nagas dominaram Ozumat, o patriarca dos krakens, e o mandaram atacar Neptulon e seus seguidores.",0.3253496,0.19311368,104,65,1047,4,28318,322,0,0,-1
Rom'ogg Esmaga-ossos,"Um dos raros ogros considerados ""elos perdidos"" de Terralém, Rom'ogg Esmaga-ossos atiçou o interesse do Martelo do Crepúsculo com o tratamento cruel que dispensava aos ogros. Ele agora governa a Câmara de Incineração, saciando seu apetite sádico ao infligir dor a todos.",0.5,0.70209587,105,66,1040,1,2356,283,0,0,-1
"Corla, a Arauto do Crepúsculo","Outrora uma talentosa maga do Kirin Tor, Corla agora serve ao Martelo do Crepúsculo com resoluta devoção. Ela consagra os colegas zelotes com essência de dragões etéreos para transformá-los em ameaçadores draconídeos do crepúsculo.",0.27045947,0.16317356,106,66,1038,2,2361,284,0,0,-1
Karsh Dobraferro,"O enorme draconídeo Karsh Dobraferro labuta na Forja do Crepúsculo fazendo armas de guerra usando o raro mercúrio. As peças produzidas por Karsh são praticamente indestrutíveis em condições normais, mas sob altas temperaturas ficam quebradiças como metal enferrujado.",0.47005993,0.6646707,107,66,1039,3,2371,284,0,0,-1
Bela,"A história da Bela é tão antiga quanto o tempo, uma canção tão soturna quanto o vento. Fera, o consorte da Bela, foi morto por heróis no Pico da Rocha Negra. Desde então Bela e seus quatro filhotes juntaram forças com o Martelo do Crepúsculo em busca de vingança contra os assassinos da Fera.",0.66467136,0.8443115,108,66,1037,4,2378,284,0,0,-1
Lorde Ascendente Obsidius,"Por sua dedicação obstinada e seu pendor para a crueldade, o poderoso xamã Dessirik, o Degenerado, recebeu a graça da ascensão: um sombrio ritual infundiu-lhe poderes elementais e o transformou em uma monstruosidade conhecida como lorde ascendente Obsidius.",0.68962157,0.50748503,109,66,1036,5,2385,284,0,0,-1
Corborus,"Asa da Morte escravizou o colossal litoverme Corborus e obrigou-o a extrair a grande quantidade de elemêntio necessária para forjar a nova couraça do Aspecto Dragônico. Com a partida do Asa da Morte, no entanto, Corborus libertou-se e agora assola o Litocerne com fúria cega.",0.6297411,0.5973054,110,67,1056,1,2394,324,0,0,-1
Couro-pétreo,"Com os poderes de Aspecto da Terra amplificados pelos Deuses Antigos, Asa da Morte facilmente arregimentou as serpes de pedra para o Martelo do Crepúsculo. Couro-pétreo, umas das mais ambiciosas dessas criaturas, pretende cair nas graças do Asa da Morte exterminando todos os intrusos atrevidos o bastante para entrar no Litocerne.",0.3702597,0.44760478,111,67,1059,2,2401,324,0,0,-1
