ID,Name_lang,GarrClassSpecID,PlayerConditionID,IconFileDataID,FlavorGarrStringID,OrderIndex
9,Bando de Diabretes,102,42846,1396680,47,0
10,Enxame de Diabretes Selvagens,102,40902,1396698,48,1
11,Acólitos da Colheita Negra,103,41214,1396691,49,0
16,Evocadores da Colheita Negra,103,41213,1452660,50,1
17,Aprendizes de Tirisgarde,72,41574,1396696,20,0
18,Invocadores do Kirin Tor,72,41575,1396699,21,1
19,Elementais da Água,73,42839,1396675,18,0
20,Golens Arcanos,73,41573,1401852,19,1
21,Iniciados do Boi,67,42840,1396688,22,0
22,Adeptos do Boi,67,40092,1396705,23,1
23,Iniciados do Tigre,66,40012,1396706,25,0
24,Adeptos do Tigre,66,40138,1396707,26,1
25,Elementais Menores,97,42847,1396645,40,0
26,Elementais Maiores,97,41422,1396658,41,1
27,Círculo de Arautos da Terra,98,40260,1396708,42,0
28,Geomantes da Harmonia Telúrica,98,41421,1401884,43,1
29,Ascendentes,139,41525,1396660,44,0
30,Esquadrão de Arqueiros,86,42842,1401885,14,0
31,Atirador Perito Oculto,86,41557,1401886,15,1
32,Bando de Farejadores,85,41559,1401887,16,0
33,Desbravadores,85,41560,1401888,17,1
34,Arvorosos do Bosque Onírico,81,42843,1396694,10,0
35,Filhas de Cenarius,81,41580,1396686,11,1
36,Druidas da Garra,82,41581,1396668,12,0
37,Guardiões do Bosque,82,41582,1396684,13,1
38,Esquadrão de Escudeiros,87,42841,1396701,28,0
39,Falange de Porta-escudos,87,41588,1396702,29,1
40,Cavaleiros do Punho de Prata,88,41589,1396703,30,0
41,Templário do Punho de Prata,88,41590,1396704,31,1
42,Aspirantes Valarjares,99,42845,1401869,51,0
43,Valarjares Forjados em Tempestade,99,41592,1401871,52,1
44,Bando Guerreiro de Damas Escudeiras,100,41593,1401854,53,0
45,Damas Escudeiras Valkiras,100,41594,1401874,54,1
46,Guerreiros Grislíngua,79,42844,1401873,6,0
47,Mirmidão Naga,79,41635,1401889,7,1
48,Adeptos Illidari,80,41636,1401865,8,0
49,Adeptos Illidari Transformados,80,41637,1401883,9,1
50,Bando de Carniçais,75,42837,1401858,2,0
51,Enxame de Geists,75,42838,1401859,3,1
52,Cavaleiros de Ébano,76,41676,1401866,4,0
53,Assoladores de Ébano,76,41677,1401855,5,1
54,Gangue de Bandoleiros,93,42848,1401891,36,0
55,Ladrões Défias,93,41707,1401892,37,1
56,Duelistas Destronados,94,41705,1401893,38,0
57,Tripulação de Piratas,94,41704,1401894,39,1
58,Celestiais,105,40060,1401861,59,0
59,Grupo de Acólitos,91,42849,1086381,32,0
60,Inigualáveis de Eterluz,91,41906,1066217,33,1
61,Bando de Zelotes,92,41907,1066169,34,0
62,Zelote das Trevas,92,41908,1066121,35,1
63,Anciente da Guerra,96,42818,1452563,58,0
64,Abominação,77,43780,1401851,0,0
65,Brutamontes Serpentálio,144,47107,1551349,0,0
66,Guerreiro do Temível Totem,145,47112,1551342,80,0
67,Guardiões do Kirin Tor,147,48413,1604890,68,0
68,Friarrasas dos Cavaleiros de Ébano,148,48417,1605028,64,0
69,Tropa de Choque,149,49177,1605040,75,0
70,Guardiões do Bosque Onírico,150,48415,1589538,66,0
71,Shivarra,151,48416,1589536,65,0
72,Protetores da Harmonia Telúrica,152,48408,1589546,73,0
73,Mestres da Serenidade,153,48412,1605031,69,0
74,Guardas Vis Brutamontes,154,48407,1589549,74,0
75,Sacerdotes Encapuzados,155,48410,1589544,71,0
76,Cruzados do Punho de Prata,156,48411,1605020,70,0
77,Assassinos do Corvoforte,157,48409,1605036,72,0
78,Caçadores Filhos da Noite,158,48414,1551348,67,0
80,Tropa de Choque,149,49178,1605021,75,1
81,Espreitador do Abismo Krokul,160,50765,1712229,77,0
82,Krokul Livre de Caos,161,51511,1712228,78,0
83,Baluarte Forjado a Luz,162,51512,1694048,76,0
