Name_lang,ID,Field_9_0_1_33978_001,PlayerConditionID,ReagentType,Field_10_0_2_46091_005
,12,1,0,0,0
Modificar Nível de Item - Elevado,16,0,0,0,0
Especificar um Atributo Secundário,17,0,0,0,0
,31,0,0,0,0
Modificar Nível de Item - Menor,46,0,0,0,0
,47,0,0,0,0
,48,0,0,0,0
,49,0,0,0,0
,50,0,0,0,0
Especificar um Atributo Secundário,67,0,0,0,0
Especificar um Atributo Secundário,72,0,0,0,0
Especificar um Atributo Secundário,73,0,0,0,0
Especificar um Atributo Secundário,74,0,0,0,0
Especificar um Atributo Secundário,75,0,0,0,0
Modificar Nível de Item - Menor,77,0,0,0,0
Aumentar Nível,78,0,92156,0,0
Adicionar Aperfeiçoamento de Progenitor,79,0,95770,0,0
Test Ore (DNT),80,1,0,1,0
Draconium Ore (DNT),81,0,0,1,0
Primal Molten Alloy (DNT),82,0,0,1,0
Frostfire Alloy (DNT),83,0,0,1,0
Obsidian Seared Alloy (DNT),84,0,0,1,0
Infurious Alloy (DNT),85,0,0,1,0
Somente reagentes opcionais sem variação de qualidade,86,0,0,0,0
Somente reagentes opcionais com variação de qualidade,87,0,0,0,0
Reagentes opcionais com e sem variação de qualidade,88,0,0,0,0
Test finishing reagent (DNT),89,0,0,2,0
Test finishing reagent Slot (DNT),90,0,0,2,0
Catalisador Alquímico,91,2,0,2,2
Percepção Ilustre Inferior,92,2,0,2,2
Percepção Ilustre,93,2,0,2,2
Catalisador Alquímico,94,2,0,2,2
Hochenblume (DNT),98,0,0,1,0
Writhebark (DNT),99,0,0,1,0
Saxifrage (DNT),100,0,0,1,0
Bubble Poppy (DNT),101,0,0,1,0
Primal Convergent (DNT),102,0,0,1,0
Omnium Draconis (DNT),103,0,0,1,0
Draconic Vial (DNT),104,0,0,1,0
Elemental Potion of Power (DNT),105,0,0,1,0
Phial of Tepid Versatility (DNT),106,0,0,1,0
Phial of Elemental Chaos (DNT),107,0,0,1,0
Potion of Frozen Focus (DNT),108,0,0,1,0
Aumentar Nível,110,0,92156,0,0
Imbuir em Poder,111,2,0,0,1
Adicionar Ornamento,112,0,0,0,1
Serevite Ore (DNT),114,0,0,1,0
Potencializar com Matriz de Treinamento,116,0,0,0,1
Khaz'gorite Ore (DNT),117,0,0,1,0
Adicionar Ornamento,123,0,0,0,1
Fluido de Têmpera,124,2,0,2,2
Personalizar Atributos Secundários,125,2,0,0,0
Imbuir em Poder,126,0,0,0,1
Queen's Ruby (DNT),128,0,0,1,0
Mystic Sapphire (DNT),129,0,0,1,0
Vibrant Emerald (DNT),130,0,0,1,0
Sundered Onyx (DNT),131,0,0,1,0
Eternity Amber (DNT),132,0,0,1,0
Alexstraszite (DNT),133,0,0,1,0
Malygite (DNT),134,0,0,1,0
Ysemerald (DNT),135,0,0,1,0
Neltharite (DNT),136,0,0,1,0
