ID,Description_lang
1,Integrante do grupo
2,Integrante do raide
3,Negociar
4,Sussurrar
5,Solicitação pública atendida por outros
6,Solicitação pública atendida por você
7,Solicitação pessoal atendida por outros
8,Solicitação pessoal atendida por você
9,Solicitação da guilda atendida por outros
10,Solicitação da guilda atendida por você
11,Abate de criatura
12,Completar a masmorra
13,Matar o chefe do raide
14,Matar o chefe do LR
15,Concluir Imersão
16,Concluir Arena
17,Concluir Campo de Batalha
18,Duelar
19,Batalha de Mascotes
20,Abate JxJ
