Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,RewardItemID,Criteria_tree,Shares_criteria,CovenantID,HiddenBeforeDisplaySeason,LegacyAfterTimeEvent
Alcançar o nível 10.,Nível 10,,6,-1,-1,0,92,0,10,2097156,11,236562,0,2050,0,0,0,0
Alcançar o nível 20.,Nível 20,,7,-1,-1,6,92,0,10,2097156,12,236563,0,2683,0,0,0,0
Alcançar o nível 30.,Nível 30,,8,-1,-1,7,92,0,10,2097156,14,236564,0,1289,0,0,0,0
Alcançar o nível 40.,Nível 40,,9,-1,-1,8,92,0,10,2097156,15,236565,0,942,0,0,0,0
Nível 50 alcançado antes da expansão Shadowlands.,Nível 50 (Legado),,10,-1,-1,0,15446,0,0,2103300,1,236566,0,0,0,0,0,0
Nível 60 alcançado antes da expansão Shadowlands.,Nível 60 (Legado),,11,-1,-1,10,15446,0,0,2103300,2,236567,0,0,0,0,0,0
Nível 70 alcançado antes da expansão Shadowlands.,Nível 70 (Legado),,12,-1,-1,11,15446,0,0,2103300,3,236568,0,0,0,0,0,0
Nível 80 alcançado antes da expansão Shadowlands.,Nível 80 (Legado),,13,-1,-1,12,15446,0,0,2103300,4,236569,0,0,0,0,0,0
Obter 15 mascotes únicas.,Abundância de mascotes,,15,-1,-1,1017,15118,0,10,131072,5,132599,0,22152,0,0,0,0
Treinar a perícia de Combate Desarmado até o nível 400.,Alguém pediu uma surra?,,16,-1,-1,0,15446,0,0,2048,30,132356,0,6318,0,0,0,0
Cumprir uma missão diária todos os dias por cinco dias consecutivos.,Missão nossa de cada dia,,31,-1,-1,0,96,0,10,131072,25,236680,0,2807,0,0,0,0
Cumprir 2000 missões.,2000 missões cumpridas,,32,-1,-1,508,96,0,10,131072,8,236670,0,2810,0,0,0,0
Concluir as histórias da Tundra Boreana listadas abaixo.,"Na Tundra a diversão ""abundra""!",,33,-1,1,0,14863,0,10,131072,2,236728,0,1741,0,0,0,0
Concluir as histórias do Fiorde Uivante listadas abaixo.,Um tour pelo Fiorde,,34,-1,1,0,14863,0,10,131072,6,236787,0,5287,0,0,0,0
Concluir as histórias do Ermo das Serpes listadas abaixo.,Acampando no Ermo,,35,-1,1,0,14863,0,10,131072,10,236749,0,1745,0,0,0,0
Concluir as histórias de Zul'Drak listadas abaixo.,O Império de Zul'Drak,,36,-1,-1,0,14863,0,10,131072,17,236862,0,1881,0,0,0,0
Concluir as histórias da Serra Gris listadas abaixo.,Por um triz na Serra Gris,,37,-1,1,0,14863,0,10,131072,14,236772,0,5284,0,0,0,0
Concluir as histórias dos Picos Tempestuosos listadas abaixo.,O pico dos ventos tempestuosos,,38,-1,-1,0,14863,0,10,131072,22,236838,0,1884,0,0,0,0
Concluir as histórias da Bacia Sholazar listadas abaixo.,Bacia adentro,,39,-1,-1,0,14863,0,10,131072,20,236823,0,1887,0,0,0,0
Concluir as histórias da Coroa de Gelo listadas abaixo.,Coroa de Gelo: O destino final,,40,-1,-1,0,14863,0,10,131072,23,236799,0,3375,0,0,0,0
Obter as conquistas de missões de Nortúndria listadas abaixo.,Historiador de Nortúndria,,41,-1,-1,0,14863,0,10,131072,33,236812,0,5756,0,0,0,0
Explorar todas as regiões dos Reinos do Leste.,Explorador dos Reinos do Leste,,42,-1,-1,0,97,0,25,131072,1,236759,0,2402,0,0,0,0
Explorar todas as regiões de Kalimdor.,Explorador de Kalimdor,,43,-1,-1,0,97,0,25,131072,2,236807,0,3317,0,0,0,0
Explorar todas as regiões de Terralém.,Explorador de Terralém,,44,-1,-1,0,97,0,25,131072,3,236813,0,3340,0,0,0,0
Explorar todas as regiões de Nortúndria.,Explorador de Nortúndria,Recompensa: Tabardo do Explorador,45,-1,-1,0,97,0,25,131072,4,236812,0,12064,0,0,0,0
"Explorar os Reinos do Leste, Kalimdor, Terralém, Nortúndria, as áreas reveladas pelo Cataclismo, Pandária, Draenor, Ilhas Partidas, Kul Tiraz e Zandalar.",Explorador Universal,Título: o Explorador,46,-1,-1,0,97,0,50,131072,13,237381,0,3257,0,0,0,0
Vitórias no Vale Alterac,Vitórias no Vale Alterac,,49,30,-1,0,153,0,0,1,6,136243,0,15889,0,0,0,0
Vitórias no Olho da Tormenta,Vitórias no Olho da Tormenta,,50,566,-1,0,153,0,0,1,13,136243,0,9109,0,0,0,0
Vitórias na Bacia Arathi,Vitórias na Bacia Arathi,,51,529,-1,0,153,0,0,1,8,136243,0,5504,0,0,0,0
Batalhas na Ravina Brado Guerreiro,Batalhas na Ravina Brado Guerreiro,,52,489,-1,0,153,0,0,1,20,136243,0,5507,0,0,0,0
Batalhas no Vale Alterac,Batalhas no Vale Alterac,,53,30,-1,0,153,0,0,1,5,136243,0,5510,0,0,0,0
Batalhas no Olho da Tormenta,Batalhas no Olho da Tormenta,,54,566,-1,0,153,0,0,1,11,136243,0,1272,0,0,0,0
Batalhas na Bacia Arathi,Batalhas na Bacia Arathi,,55,529,-1,0,153,0,0,1,7,136243,0,3391,0,0,0,0
Total de mortes,Total de mortes,,60,-1,-1,0,122,0,0,1,1,136243,0,1189,0,0,0,0
Atacar 3 bases em uma mesma batalha na Bacia Arathi.,Avaria da Bacia,,73,-1,-1,0,14802,0,10,0,5,132333,0,7709,0,0,0,0
Missões abandonadas,Missões abandonadas,,94,-1,-1,0,133,0,0,1,5,136243,0,805,0,0,0,0
Média de missões cumpridas por dia,Média de missões cumpridas por dia,,95,-1,-1,0,133,0,0,65,2,136243,0,5199,98,0,0,0
Missões diárias cumpridas,Missões diárias cumpridas,,97,-1,-1,0,133,0,0,1,3,136243,0,5766,0,0,0,0
Missões cumpridas,Missões cumpridas,,98,-1,-1,0,133,0,0,1,1,136243,0,758,0,0,0,0
Partidas nas Ruínas de Lordaeron,Partidas nas Ruínas de Lordaeron,,99,-1,-1,0,152,0,0,1,35,136243,0,15898,0,0,0,0
Vitórias na Arena de Nagrand,Vitórias na Arena de Nagrand,,100,-1,-1,0,152,0,0,1,30,136243,0,836,0,0,0,0
Partidas na Arena de Nagrand,Partidas na Arena de Nagrand,,101,-1,-1,0,152,0,0,1,29,136243,0,945,0,0,0,0
Vitórias nas Ruínas de Lordaeron,Vitórias nas Ruínas de Lordaeron,,102,-1,-1,0,152,0,0,1,36,136243,0,8210,0,0,0,0
Partidas na Arena da Lâmina Afiada,Partidas na Arena da Lâmina Afiada,,103,-1,-1,0,152,0,0,1,13,136243,0,808,0,0,0,0
Vitórias na Arena da Lâmina Afiada,Vitórias na Arena da Lâmina Afiada,,104,-1,-1,0,152,0,0,1,14,136243,0,15892,0,0,0,0
