ID,Question_lang
28,O MJ deu uma resposta ou solução adequada para a sua pergunta ou problema?
29,Foi fácil entender e/ou agir de acordo com as informações dadas?
30,O MJ demonstrou ter conhecimento e foi respeitoso e cordial durante o contato?
31,Como você avalia o tempo de resposta para sua solicitação?
32,Como você avalia a experiência geral que teve com o MJ que cuidou da sua solicitação?
33,"Com base na experiência que teve com o suporte, qual seria a probabilidade de você recomendar o WoW para outras pessoas?"
35,"Com base na experiência com o serviço de atendimento ao cliente, qual a probabilidade de você recomendar produtos e serviços da Blizzard para um amigo?"
36,O seu problema foi resolvido?
37,A minha experiência geral com o Serviço de Atendimento ao Cliente da Blizzard foi:
38,O meu tempo de espera no Serviço de Atendimento ao Cliente da Blizzard foi:
39,O profissionalismo do Atendente da Blizzard foi:
40,As habilidades de comunicação do Atendente da Blizzard foram:
41,"No geral, o serviço do Atendente da Blizzard foi:"
42,"No geral, quão satisfeito você está com o World of Warcraft?"
43,Qual é a probabilidade de você continuar jogando World of Warcraft no futuro?
44,Qual é a probabilidade de você recomendar World of Warcraft para um amigo?
45,"A respeito do seu último contato com a Blizzard, quão satisfeito você está com o serviço do atendente?"
46,O atendente entendeu claramente o motivo do meu contato com a Blizzard.
47,Fui tratado como um cliente importante.
48,O atendente deu informações claras e precisas.
49,O atendente explicou como o meu problema seria tratado.
50,O seu problema foi resolvido?
51,Quão satisfeito você ficou com o tempo que teve de esperar até ser atendido?
52,Quantas vezes você entrou em contato com a Blizzard para resolver esse problema?
53,O representante era instruído e apto.
