Name_lang,ID,Flags,RoomComponentType,TextureFileDataID,Field_11_2_7_64438_005,HouseThemeID
Laje,3,1,2,7535056,2,1
Madeira Dura Artesanal,4,1,2,7535057,4,1
Viga de Madeira Artesanal,5,1,3,5658170,0,1
Estuque Artesanal,22,1,1,5658169,0,1
Pedra Rústica,24,1,1,6856592,0,2
Mármore Entalhado de Luaprata,33,1,1,6986816,0,5
Madeira Rústica,40,1,2,7535058,4,2
Mosaico de Luaprata,49,1,2,7494198,2,5
Madeira Rústica,54,1,3,6856593,0,2
Mármore de Sangue de Luaprata,60,1,3,6986850,0,5
Painel de Madeira de Bel'ameth,61,1,3,7196783,0,4
Madeira Macia de Bel'ameth,63,1,1,7114465,0,4
Madeira Dura de Bel'ameth,65,1,2,7491486,4,4
Cabana,162,1,1,7535055,0,1
Viga de Madeira Artesanal,235,0,3,5658170,0,0
Viga de Madeira de Bel'ameth,236,0,3,7196783,0,0
Viga de Madeira de Bel'ameth,237,1,3,7114460,0,0
Pelego Costurado,238,1,3,7570326,0,0
Lenhocórdis de Bel'ameth,250,1,3,7654234,0,4
