Name_lang,ID,MapID,DifficultyID,OrderIndex,CompleteWorldStateID,Bit,Flags,SpellIconFileID,Faction,Field_11_1_5_59735_010
Suprema Interrogadora Gerstahn,227,230,1,0,4625,0,4,0,-1,0
Lorde Pétror,228,230,1,1000,4626,1,4,0,-1,0
Mestre de Matilha Grebmar,229,230,1,2000,4627,2,4,0,-1,0
Círculo da Lei,230,230,1,3000,4628,3,4,0,-1,0
Piromante Sábia Semente,231,230,1,4000,4629,4,4,0,-1,0
Lorde Incendius,232,230,1,5000,4630,5,4,0,-1,0
Carcereiro Stilgiss,233,230,1,6000,4633,6,4,0,-1,0
Fineous Forçanegra,234,230,1,7000,4634,7,4,0,-1,0
Bael'gar,235,230,1,8000,4635,8,4,0,-1,0
General Forjaversa,236,230,1,9000,4636,9,4,0,-1,0
Lorde Golem Argelmach,237,230,1,10000,4637,10,4,0,-1,0
Hurley Bafonegro,238,230,1,11000,4638,11,4,0,-1,0
Falange,239,230,1,12000,4639,12,4,0,-1,0
Ribas Parafuseta,240,230,1,13000,4640,13,4,0,-1,0
Birra Guardachave,241,230,1,14000,4641,14,4,0,-1,0
Embaixador Fogaçoite,242,230,1,15000,4642,15,4,0,-1,0
Os Sete,243,230,1,16000,4643,16,4,0,-1,0
Magmus,244,230,1,17000,4644,17,4,0,-1,0
Imperador Dagran Thaurissan,245,230,1,18000,4645,18,4,0,-1,0
Yor,250,557,2,1500,4607,3,4,0,-1,0
Grão-lorde Omokk,267,229,1,0,4646,0,4,0,-1,0
Caçador Sombrio Vosh'gajin,268,229,1,1000,4647,1,4,0,-1,0
Senhor da Guerra Voone,269,229,1,2000,4648,2,4,0,-1,0
Mãe Queimateia,270,229,1,3000,4649,3,4,0,-1,0
Urok Uivo-da-ruína,271,229,1,4000,4650,4,4,0,-1,0
Intendente Zigris,272,229,1,5000,4651,5,4,0,-1,0
"Gizrul, o Subjugador",273,229,1,6000,4652,6,4,0,-1,0
Halycon,274,229,1,5500,4653,7,4,0,-1,0
Lorde Supremo Wyrmthalak,275,229,1,8000,4654,8,4,0,-1,0
Zevrim Cascardo,343,429,0,0,4669,0,4,0,-1,0
Rebentágua,344,429,0,-500,4670,1,4,0,-1,0
Letendris,345,429,0,-1000,4671,2,4,0,-1,0
"Azzin, o Selvamorfo",346,429,0,3000,4672,3,4,0,-1,0
Illyanna Corvalho,347,429,0,4000,4676,4,4,0,-1,0
Magíster Kalendris,348,429,0,5000,4675,5,4,0,-1,0
Immol'thar,349,429,0,6000,4676,6,4,0,-1,0
Gavíneo Lenhatorta,350,429,0,3500,4673,7,4,0,-1,0
Príncipe Tortheldrin,361,429,0,7000,4677,8,4,0,-1,0
Guarda Mol'dar,362,429,1,8000,4678,9,4,0,-1,0
Pisoteador Kreeg,363,429,1,9000,4679,10,4,0,-1,0
Guarda Fengus,364,429,1,10000,4680,11,4,0,-1,0
Guarda Kishutt,365,429,1,11000,4681,12,4,0,-1,0
Capitão Kebrapaw,366,429,1,12000,4682,13,4,0,-1,0
"Ez'Magg, o Observador",367,429,1,13000,4683,14,4,0,-1,0
Rei Gordok,368,429,1,14000,1544,15,4,0,-1,0
Precipitação Radioativa Viscosa,378,90,1,2500,4693,1,4,0,-1,0
Grúdio,379,90,1,2000,4694,2,4,0,-1,0
Eletrocutor 6000,380,90,1,3000,4695,3,4,0,-1,0
Espanca-gente 9-60,381,90,1,4000,4696,4,4,0,-1,0
