ID,FeatureDescription_lang,FeatureIcon,ParentID
1,Domine a nova classe Caçador de Demônios,1260827,2
2,Avance até o nível 110 nas Ilhas Partidas,1064187,2
4,Embarque em milhares de novas missões!,236669,5
5,Avance até o Nível 100 no mundo de Draenor,1033987,5
6,Construa e aprimore sua guarnição,1033989,5
7,Embarque em milhares de novas missões!,236669,4
8,Avance até o nível 70,236567,4
9,"Desbloqueie nove expansões, inclusive Dragonflight",1064187,4
10,Recrute Raças Aliadas,413576,6
11,Batalhe até o nível 120 em Kul Tiraz e Zandalar,1064187,6
12,Avance rapidamente um personagem para o nível 110,1033988,6
116,Avance até o nível 60 nas Terras Sombrias,236567,115
117,Entre para um Pacto e ganhe o poder dele,3726261,115
118,"Suba em Thanator, a Torre dos Malditos",3257863,115
122,Avance até o nível 70 nas Ilhas do Dragão,1064187,135
123,Domine a nova classe Conjurante Dracthyr,4696175,135
124,Vivencie a emoção da dragonaria,4640496,135
125,Comece a Saga da Alma do Mundo,1064187,143
126,Batalhe até o Nível 80 ganhando novos Talentos Heroicos poderosos,135981,143
127,Explore as Imersões com seu companheiro PNJ,1786405,143
131,Compre Midnight na pré-venda e dê continuidade à épica Saga da Alma do Mundo,1778229,149
132,"Mergulhe já em The War Within com novas Imersões, masmorras e raides",6025441,149
133,Pegue as chaves da sua casa e colecione itens de decoração para deixá-la com a sua cara,7252953,149
