Name_lang,ID,Parent,Ui_order
Estatísticas,1,-1,16
Jogador x Jogador,21,1,10
Proezas Memoráveis,81,-1,13
Personagens,92,-1,1
Jogador x Jogador,95,-1,5
Missões,96,-1,2
Exploração,97,-1,3
Mortes,122,1,3
Abates,128,1,2
Personagem,130,1,1
Social,131,1,7
Perícias,132,1,5
Missões,133,1,4
Viagem,134,1,6
Criaturas,135,128,1
Jogadores Abatidos Honrosamente,136,128,2
Golpes Fatais,137,128,3
Riqueza,140,130,1
Consumíveis,145,130,2
Arenas Ranqueadas,152,21,1
Campos de Batalha,153,21,2
Mundo,154,21,3
Eventos Mundiais,155,-1,9
Véu de Inverno,156,155,9
Noturnália,158,155,7
Jardinova,159,155,3
Festival da Lua,160,155,1
Solstício,161,155,5
CervaFest,162,155,6
A Semana das Crianças,163,155,4
Arena,165,95,17
Masmorras e Raides,168,-1,6
Profissões,169,-1,7
Culinária,170,169,12
Pesca,171,169,13
Profissões,172,15234,6
Profissões,173,132,2
Profissões secundárias,178,132,1
O Amor Está no Ar,187,155,2
Reputação,201,-1,8
Reinos do Leste,14777,97,1
Kalimdor,14778,97,2
Terralém,14779,97,3
Nortúndria,14780,97,4
Vale Alterac,14801,95,5
Bacia Arathi,14802,95,3
Olho da Tormenta,14803,95,4
Ravina Brado Guerreiro,14804,95,2
The Burning Crusade,14805,168,2
Masmorra de Wrath of the Lich King,14806,168,3
Masmorras e Raides,14807,1,9
Clássico,14808,168,1
Clássico,14821,14807,1
The Burning Crusade,14822,14807,2
Wrath of the Lich King,14823,14807,3
Reinos do Leste,14861,96,1
Terralém,14862,96,3
Nortúndria,14863,96,4
Clássico,14864,201,1
The Burning Crusade,14865,201,2
Wrath of the Lich King,14866,201,3
Invérnia,14901,95,8
Raide de Wrath of the Lich King,14922,168,4
Torneio Argênteo,14941,15301,1
Festa da Fartura,14981,155,8
Ilha da Conquista,15003,95,7
Masmorra de Cataclysm,15067,168,5
Raide de Cataclysm,15068,168,6
Cataclysm,15069,97,5
Cataclysm,15070,96,5
Arqueologia,15071,169,14
Cataclysm,15072,201,4
Batalha por Guilnéas,15073,95,9
Montes Gêmeos,15074,95,10
Tol Barad,15075,15301,2
Guilda,15076,-1,15
Missões,15077,15076,2
Jogador x Jogador,15078,15076,3
Masmorras e Raides,15079,15076,4
Profissões,15080,15076,5
Kalimdor,15081,96,2
Clássico,15082,15079,1
Masmorra de Cataclysm,15083,15079,5
The Burning Crusade,15084,15079,2
Masmorra de Wrath of the Lich King,15085,15079,3
Raide de Wrath of the Lich King,15086,15079,4
Raide de Cataclysm,15087,15079,6
Geral,15088,15076,1
Reputação,15089,15076,6
Campos de Batalha,15090,15078,1
Arena,15091,15078,2
Campo de Batalha Ranqueado,15092,95,16
Proezas Memoráveis da Guilda,15093,15076,7
Cataclysm,15096,14807,4
Feira de Negraluna,15101,155,10
Masmorra de Pandária,15106,168,7
Raide de Pandária,15107,168,8
Pandária,15110,96,6
Pandária,15113,97,6
Pandária,15114,201,5
Batalhas de Mascotes,15117,-1,10
Coletado,15118,15117,1
Batalha,15119,15117,2
Nível,15120,15117,3
Masmorra de Pandária,15153,15079,7
Raide de Pandária,15154,15079,8
Minas Estilhaço Prateado,15162,95,11
Templo de Kotmogu,15163,95,12
Mists of Pandaria,15164,14807,5
Legado,15176,1,13
Desfiladeiro do Vendaval,15218,95,14
Batalhas de Mascotes,15219,1,11
Draenor,15220,96,7
Campo de testes,15222,15301,4
Campo de Testes,15227,1,12
Masmorra de Draenor,15228,168,9
Raide de Draenor,15231,168,10
Draenor,15232,201,6
Warlords of Draenor,15233,14807,6
Legado,15234,-1,14
Draenor,15235,97,7
Masmorra de Draenor,15243,15079,9
Raide de Draenor,15244,15079,10
Coleções,15246,-1,11
Caixa de Brinquedo,15247,15246,1
Montarias,15248,15246,2
Legion,15252,96,8
Masmorra de Legion,15254,168,11
Raide de Legion,15255,168,12
Legion,15257,97,8
Legion,15258,201,7
Aparências,15259,15246,3
Masmorra de Legion,15262,15079,11
Raide de Legion,15263,15079,12
Legion,15264,14807,7
Honra,15266,95,1
Promoções,15268,81,8
Montarias,15269,81,1
Jogador x Jogador,15270,81,5
Raides,15271,81,4
Masmorras,15272,81,3
Reputação,15273,81,6
Eventos,15274,81,7
Masmorras,15277,15234,4
Raides,15278,15234,5
Jogador x Jogador,15279,15234,3
Moedas,15280,15234,7
Mundo,15283,95,18
Battle for Azeroth,15284,96,9
Masmorra de Battle,15285,168,13
Raide de Battle,15286,168,14
Praia Fervilhante,15292,95,13
Battle for Azeroth,15298,97,9
Masmorra de Battle,15299,15079,13
Raide de Battle,15300,15079,14
Características da Expansão,15301,-1,12
Cenários de Pandária,15302,15301,3
Guarnição de Draenor,15303,15301,5
Salão de Classe de Legion,15304,15301,6
Battle for Azeroth,15305,201,8
Expedições Insulares,15307,15301,7
Esforço de Guerra,15308,15301,8
Battle for Azeroth,15409,14807,8
Características da Expansão,15411,15234,9
Ashran,15414,95,6
Eventos Mundiais,15416,15234,8
Coração de Azeroth,15417,15301,9
Shadowlands,15422,96,10
Visões de N'Zoth,15426,15301,10
Masmorra de Shadowlands,15428,168,15
Masmorra de Shadowlands,15429,15079,15
Shadowlands,15430,14807,9
Shadowlands,15436,97,10
Raide de Shadowlands,15438,168,16
Shadowlands,15439,201,9
Thanator,15440,15301,11
Santuários dos Pactos,15441,15301,12
Raide de Shadowlands,15442,15079,16
Personagem,15446,15234,1
Missões,15447,15234,2
Caminhada Temporal,15454,155,11
Revoada Dragônica,15455,96,11
Pilotagem Aérea,15462,15301,13
Ilhas do Dragão,15465,97,11
Dragonflight,15466,201,10
Masmorra de Dragonflight,15467,168,17
Raide de Dragonflight,15468,168,18
Dragonflight,15469,14807,10
Masmorra de Dragonflight,15470,15079,17
Raide de Dragonflight,15471,15079,18
Itens cosméticos de Draco das Ilhas do Dragão,15478,15246,4
Alquimia,15489,169,1
Ferraria,15490,169,2
Encantamento,15491,169,3
Engenharia,15492,169,4
Escrivania,15493,169,5
Joalheria,15494,169,6
Couraria,15495,169,7
Alfaiataria,15496,169,8
Mineração,15497,169,10
Esfolamento,15498,169,11
Herborismo,15499,169,9
War Within,15506,96,12
The War Within,15520,14807,11
War Within,15521,97,12
Imersões,15522,-1,4
The War Within,15523,15522,1
Masmorra de War Within,15524,168,19
Ravina Cargafunda,15525,95,15
Raide de War Within,15526,168,20
Masmorra de War Within,15528,15079,19
Raide de War Within,15529,15079,20
War Within,15530,201,11
Imersões,15531,81,2
Celebração de Aniversário,15532,155,12
Imersões,15533,1,8
The War Within,15534,15533,1
Remix: Pandária,15536,15234,10
Duplas da Discórdia,15545,155,13
Visões de N'Zoth Revividas,15546,15301,14
Eventos Mundiais,15549,1,14
Duplas da Discórdia,15550,15549,1
