ID,Name_lang,MinScale,MinScaleLevel,MaxScale,MaxScaleLevel,PetFoodMask,PetTalentType,IconFileID,SkillLine[0],SkillLine[1]
1,Lobo,0.7,1,1,50,1,0,132203,208,270
2,Gato,0.7,1,1.1,50,3,0,132185,209,270
3,Aranha,0.4,1,0.6,50,1,0,132196,203,270
4,Urso,0.6,1,1,50,63,1,132183,210,270
5,Javali,0.6,1,1,50,63,2,132184,211,270
6,Crocolisco,0.4,1,0.6,50,3,0,132187,212,270
7,Ave Carniceira,0.5,1,0.9,50,3,0,132200,213,270
8,Caranguejo,0.7,1,1.4,50,58,1,132186,214,270
9,Gorila,0.7,1,1,50,56,0,132189,215,270
11,Raptor,0.5,1,0.8,50,1,2,132193,217,270
12,Moa,0.5,1,0.8,50,60,0,132198,218,270
15,Caçador Vil,0.35,1,0.7,60,0,-1,0,189,0
16,Emissário do Caos,0.5,1,0.8,60,0,-1,0,204,0
17,Súcubo,0.5,1,1,60,0,-1,0,205,0
19,Demonarca,0.64,1,1,60,0,-1,0,207,0
20,Escorpídeo,0.7,1,1,50,1,0,132195,236,270
21,Tartaruga,0.5,1,0.72,50,58,1,132199,251,270
23,Diabrete,0.45,1,0.5,60,0,-1,0,188,0
24,Morcego,0.4,1,0.63,50,49,0,132182,653,270
25,Hiena,0.7,1,0.9,50,1,2,132190,654,270
26,Ave de Rapina,0.5,1,0.8,50,3,2,132192,655,270
27,Serpente Alada,0.5,1,0.7,50,14,0,132202,656,270
28,Controle Remoto,0.9,1,1,60,0,-1,0,758,0
29,Guarda Vil,0.45,1,0.9,60,0,-1,0,761,0
30,Falcodrago,0.35,1,0.65,50,35,1,132188,763,270
31,Assolador,0.45,1,0.65,50,1,0,132194,767,270
32,Espreitador Dimens.,0.45,1,0.6,50,34,2,132201,766,270
33,Quirósporo,0.6,1,0.9,50,60,2,132197,765,270
34,Arraia,0.35,1,0.55,50,17,0,132191,764,270
35,Serpente,0.6,1,0.8,50,1,2,136040,768,270
37,Mariposa,0.35,1,0.65,50,60,2,236193,775,270
38,Quimera,0.5,1,0.63,50,1,0,236190,780,270
39,Demossauro,0.3,1,0.5,50,1,0,236192,781,270
40,Carniçal,1,1,1.01,80,0,-1,132097,782,0
41,Aqir,0.6,1,0.8,50,17,2,236195,783,270
42,Verme,0.7,1,1,50,28,1,236197,784,270
43,Fenoceronte,0.35,1,0.56,50,60,0,1044794,786,270
44,Vespa,0.4,1,0.6,50,60,0,236196,785,270
45,Cão-magma,0.3,1,0.5,50,1,0,236191,787,270
46,Fera Espiritual,0.7,1,1.1,50,3,1,236165,788,270
49,Elemental da Água,0.8,1,0.81,60,0,-1,0,805,0
50,Raposa,0.6,1,0.9,50,35,2,458223,808,270
51,Macaco,0.3,1,0.5,50,48,2,877482,815,270
52,Canaz,0.6,1,0.8,50,63,2,877481,811,270
53,Besouro,0.5,1,0.7,50,48,1,133570,818,270
55,Fera Xistosa,1,1,1.45,50,195,2,877478,817,270
56,Zumbi,0.8,1,1,80,0,-1,298667,236,0
57,Beetle <zzOLD>,1,1,1.25,60,48,-1,134936,818,270
68,Hidra,0.5,0,0.63,50,195,1,463493,824,270
100,Diabrete Vil,0.5,1,0.6,60,0,-1,0,188,0
101,Senhor do Caos,0.5,1,0.9,60,0,-1,0,204,0
102,Shivarra,0.45,1,0.65,60,0,-1,0,205,0
103,Observador,0.12,1,0.225,60,0,-1,0,189,0
104,Guardião Colérico,0.45,1,0.85,60,0,-1,0,761,0
108,Infernal,0.25,1,0.3,60,0,-1,0,206,0
116,Elemental do Fogo,1,1,1.01,60,0,-1,135790,962,0
117,Elemental da Terra,1,1,1.01,60,0,-1,136024,963,0
125,Ave d'Água,0.2,1,0.7,50,138,1,877479,984,270
126,Caminhante das Águas,0.3,1,0.5,50,48,2,643423,985,270
127,Roedor,0.6,1,1,50,16,2,644001,983,270
128,Canaz Pétreo,0.7,1,1.1,50,195,1,625905,986,270
129,Rabujo,0.5,1,0.8,50,255,2,877477,987,270
130,Basilisco,0.4,1,0.6,50,3,2,877476,988,270
138,Escornante,0.4,1,0.6,50,48,1,877480,1305,270
145,Elemental Tempestade,1,1,1.01,60,0,-1,236154,1748,0
147,Deimoguarda,0.64,1,1,60,0,-1,0,1981,0
148,Abissal,0.8,1,1,60,0,-1,0,1982,0
150,Fera-do-rio,0.6,1,0.8,50,56,1,1044490,1819,270
151,Cervo,0.5,1,0.8,50,60,1,1044501,1993,270
154,Mecânico,0.7,1,1,60,256,2,132247,2189,270
155,Abominação,0.6,1,0.8,80,0,-1,136118,2216,0
156,Courescama,0.5,1,0.8,50,60,0,646378,2280,270
157,Boi,0.5,1,0.8,50,60,1,616693,2279,270
160,Aquifélix,0.5,1,0.8,50,255,1,929300,2361,270
288,Lagarto,0.5,1,1,50,243,1,2027936,2703,270
290,Pterrordax,0.2,1,0.3,50,227,2,1624590,2705,270
291,Pulante,0.3,1,0.6,50,243,1,804969,2706,270
292,Carapídeo,0.5,1,0.75,50,65,1,2011146,2707,270
296,Fera Sangrenta,0.45,1,0.65,50,195,1,1687702,2719,270
298,Camelo,0.5,1,0.8,50,56,2,454771,2807,270
299,Ginete,0.5,1,0.8,50,48,0,2143073,2806,270
300,Mamute,0.5,1,0.8,50,60,1,132254,2805,270
302,Íncubo,0.5,1,1,60,0,-1,0,205,0
303,Draconiano inferior,0.5,1,0.8,50,195,0,797547,2850,270
