Name_lang,Description_lang,ID,StoreFrontID,AccountStoreCategoryID,OrderIndex,Price,CurrencyTypesID,Field_11_0_7_57361_008,RefundDuration,Field_11_0_7_57361_010,Field_11_0_7_57361_011,SpellID,TransmogSetID,CreatureDisplayInfoID,UiModelSceneID,Icon,Field_12_0_0_63534_017,Field_12_0_0_63534_018,Field_12_0_0_63534_019
Feliz,"|cFF00ccffMascote de The War Within|r|n|cFF1eff00Mascote de Plunderstorm|r|n|nDesbloqueia a mascote Feliz. Em Plunderstorm, Da'kash Daka'omeu pode evocar a mascote para você.|n|n""Ele só está feliz por estar aqui.""",1,1,1,10,250,3139,0,14400,0,0,439475,0,118654,0,0,0,0,0
Bolhas,"|cFF00ccffMascote de The War Within|r|n|cFF1eff00Mascote de Plunderstorm|r|n|nDesbloqueia a mascote Bolhas. Em Plunderstorm, Da'kash Daka'omeu pode evocar sua mascote para você.|n|n""Te seguiu até em casa!""|n|n|cFFFFFFFFMascote Bônus: Belisco|r|n|n|CFFa335eeMascote clássica|r|n|nDesbloqueia a mascote Belisco, o Saqueador, em Cataclysm Classic.|n|n""Cuidado com a parte pontiaguda!""",2,1,1,20,500,3139,0,0,0,0,439477,0,118078,0,0,0,0,0
Glamurok,"|cFF00ccffMascote de The War Within|r|n|cFF1eff00Mascote de Plunderstorm|r|n|nDesbloqueia a mascote Glamurok. Em Plunderstorm, Da'kash Daka'omeu pode evocar sua mascote para você.|n|n""Um entusiasta da pilhagem, como você.""",3,1,1,30,1000,3139,0,14400,0,0,439478,0,118606,0,0,0,0,0
Estalachispa,"|cFF00ccffMascote de The War Within|r
|cFF1eff00Mascote de Plunderstorm|r

Desbloqueia a mascote Estalachispa. Em Plunderstorm, Da'kash Daka'omeu pode evocar sua mascote para você.

""Estala as garrinhas sempre que vê uma chispa de valor.""",4,1,1,40,2000,3139,0,14400,4,0,0,0,124130,0,0,0,0,0
Corcel da Maré Prateado,"|cFF00ccffMontaria de The War Within|r|n|nDesbloqueia a montaria subaquática Corcel da Maré Prateado.|n|n""Tem cheiro de camarão.""",5,1,2,10,1500,3139,0,14400,0,0,437516,0,92255,965,0,0,0,0
Plumarinha Real,"|cFF00ccffMontaria de The War Within|r|n|nDesbloqueia a montaria voadora Plumarinha Real.|n|n""Com esse tanto de butim, seria um crime não ter um papagaio gigante.""",6,1,2,20,5000,3139,0,14400,0,0,437517,0,117981,80,0,0,0,0
Louro Rogério,"|cFF00ccffMontaria de The War Within|r|n|nDesbloqueia a montaria de dragonaria Louro Rogério.|n|n""O capitão deu a você o papagaio gigante e temperamental dele. Boa sorte!""|n|n|cFFFFFFFFMontaria bônus: Louro Rogério|r|n|n|CFFa335eeMontaria clássica|r|n|nDesbloqueia a montaria voadora Louro Rogério em Cataclysm Classic.",7,1,2,30,5000,3139,0,0,0,0,437164,0,117262,80,0,0,0,0
Crocolisco da Meia-noite do Senhor da Pilhagem,"|cFF00ccffMontaria de The War Within|r|n|nDesbloqueia a montaria Crocolisco da Meia-noite do Senhor da Pilhagem.|n|n""Com banco luxuoso de couro preto de alta qualidade.""",8,1,2,40,5000,3139,0,14400,4,0,0,0,121170,80,0,0,0,0
Parolo,"|cFF00ccffMascote de The War Within|r|n|n|cFF1eff00Mascote de Plunderstorm|rDesbloqueia a mascote Parolo. Em Plunderstorm, Da'kash Daka'omeu pode evocar sua mascote para você.|n|n""Ironicamente, não é lá muito de negociar.""",9,1,1,50,2000,3139,0,14400,4,0,0,0,124174,0,0,0,0,0
Adaga Mortal,"|cFF00ccffAparência de The War Within|r|n|cFF1eff00Aparência de Plunderstorm|r|n|nDesbloqueia a aparência da Adaga Mortal. Para trocar de aparência em Plunderstorm, procure Da'kash Daka'omeu.|n|n""Você está na Tripulação de Barrileiro agora, grumete. Aqui está sua adaga. Ao saque!""",10,1,4,10,250,3139,0,14400,1,0,439389,3468,0,0,0,0,0,0
Sabre de Aço Negro,"|cFF00ccffAparência de The War Within|r|n|cFF1eff00Aparência de Plunderstorm|r|n|nDesbloqueia a aparência Sabre de Aço Negro. Para trocar de aparência em Plunderstorm, procure Da'kash Daka'omeu.|n|n""Forjado para o calor das brigas de espada.""",11,1,4,20,250,3139,0,14400,1,0,439391,3470,0,0,0,0,0,0
Cutelo de Ferro Sangrento,"|cFF00ccffAparência de The War Within|r|n|cFF1eff00Aparência de Plunderstorm|r|n|nDesbloqueia a aparência Cutelo de Ferro Sangrento. Para trocar de aparência em Plunderstorm, procure Da'kash Daka'omeu.|n|n""Um machado sangrento para um pirata sangue bom!""",12,1,4,30,250,3139,0,14400,1,0,439392,3471,0,0,0,0,0,0
Espadão Calcificado,"|cFF00ccffAparência de The War Within|r|n|cFF1eff00Aparência de Plunderstorm|r|n|nDesbloqueia a aparência Espadão Calcificado. Para trocar de aparência em Plunderstorm, procure Da'kash Daka'omeu.|n|n""Uma espada é como uma adaga, só que maior.""",13,1,4,40,250,3139,0,14400,1,0,439390,3469,0,0,0,0,0,0
Pá de Grumete,"|cFF00ccffAparência de The War Within|r|n|n|cFF1eff00Aparência de Plunderstorm|rDesbloqueia a aparência Pá de Grumete. Para trocar de aparência em Plunderstorm, procure Da'kash Daka'omeu.|n|n""As mina pá.""",14,1,4,50,1000,3139,0,14400,5,0,0,4154,0,0,0,0,0,0
Remo de Grumete,"|cFF00ccffAparência de The War Within|r|n|n|cFF1eff00Aparência de Plunderstorm|rDesbloqueia a aparência Remo de Grumete. Para trocar de aparência em Plunderstorm, procure Da'kash Daka'omeu.|n|n""Rema, rema, remadooor...""",15,1,4,60,1000,3139,0,14400,5,0,0,4155,0,0,0,0,0,0
Degolador do Senhor da Pilhagem,"|cFF00ccffAparência de The War Within|r|n|cFF1eff00Aparência de Plunderstorm|r|n|nDesbloqueia a aparência Degolador do Senhor da Pilhagem. Para trocar de aparência em Plunderstorm, procure Da'kash Daka'omeu.|n|n""Uma ferramenta necessária no arsenal do senhor dos piratas.""",16,1,4,70,1000,3139,0,14400,1,0,439386,3466,0,0,0,0,0,0
Florete Refinado do Senhor da Pilhagem,"|cFF00ccffAparência de The War Within|r|n|cFF1eff00Aparência de Plunderstorm|r|n|nDesbloqueia a aparência Florete Refinado do Senhor da Pilhagem. Para trocar de aparência em Plunderstorm, procure Da'kash Daka'omeu.|n|n""Para esfaquear.""",17,1,4,80,1000,3139,0,14400,1,0,439383,3464,0,0,0,0,0,0
Alfanje de Prata do Senhor da Pilhagem,"|cFF00ccffAparência de The War Within|r|n|cFF1eff00Aparência de Plunderstorm|r|n|nDesbloqueia a aparência Alfanje de Prata do Senhor da Pilhagem. Para trocar de aparência em Plunderstorm, procure Da'kash Daka'omeu.|n|n""Emite um brilho perfeito quando você o ergue sob o sol.""",18,1,4,90,1000,3139,0,14400,1,0,439384,3465,0,0,0,0,0,0
Signo Dourado do Senhor da Pilhagem,"|cFF00ccffAparência de The War Within|r|n|cFF1eff00Aparência de Plunderstorm|r|n|nDesbloqueia a aparência Signo Dourado do Senhor da Pilhagem. Para trocar de aparência em Plunderstorm, procure Da'kash Daka'omeu.|n|n""Erga o cajado do Senhor da Pilhagem e convoque uma tripulação para pilhar!""",19,1,4,100,1000,3139,0,14400,1,0,439382,3463,0,0,0,0,0,0
Degolador Tempéstio do Senhor da Pilhagem,"|cFF00ccffAparência de The War Within|r|n|cFF1eff00Aparência de Plunderstorm|r|n|nDesbloqueia a aparência Degolador Tempéstio do Senhor da Pilhagem. Para trocar de aparência em Plunderstorm, procure Da'kash Daka'omeu.",20,1,4,110,1500,3139,0,14400,5,0,0,4157,0,0,0,0,0,0
Florete Tempéstio do Senhor da Pilhagem,"|cFF00ccffAparência de The War Within|r|n|cFF1eff00Aparência de Plunderstorm|r|n|nDesbloqueia a aparência Florete Tempéstio do Senhor da Pilhagem. Para trocar de aparência em Plunderstorm, procure Da'kash Daka'omeu.",21,1,4,120,1500,3139,0,14400,5,0,0,4158,0,0,0,0,0,0
Alfanje Tempéstio do Senhor da Pilhagem,"|cFF00ccffAparência de The War Within|r|n|cFF1eff00Aparência de Plunderstorm|r|n|nDesbloqueia a aparência Alfanje Tempéstio do Senhor da Pilhagem. Para trocar de aparência em Plunderstorm, procure Da'kash Daka'omeu.",22,1,4,130,1500,3139,0,14400,5,0,0,4159,0,0,0,0,0,0
Signo Tempéstio do Senhor da Pilhagem,"|cFF00ccffAparência de The War Within|r|n|cFF1eff00Aparência de Plunderstorm|r|n|nDesbloqueia a aparência Signo Tempéstio do Senhor da Pilhagem. Para trocar de aparência em Plunderstorm, procure Da'kash Daka'omeu.",23,1,4,140,1500,3139,0,14400,5,0,0,4160,0,0,0,0,0,0
Canhão de Cobre,"|cFF00ccffAparência de The War Within|r|n|cFF1eff00Aparência de Plunderstorm|r|n|nDesbloqueia a aparência Canhão de Cobre. Para trocar de aparência em Plunderstorm, procure Da'kash Daka'omeu.|n|n""Saquear é mais fácil com um canhão ao lado.""",24,1,3,10,250,3139,0,14400,1,0,439393,3472,0,0,0,0,0,0
Tiro Múltiplo Maravilhoso,"|cFF00ccffAparência de The War Within|r|n|cFF1eff00Aparência de Plunderstorm|r|n|nDesbloqueia a aparência Tiro Múltiplo Maravilhoso. Para trocar de aparência em Plunderstorm, procure Da'kash Daka'omeu.|n|n""Mantenha longe do rosto.""",25,1,3,20,500,3139,0,14400,1,0,439394,3473,0,0,0,0,0,0
Canhão Portátil do Senhor da Pilhagem,"|cFF00ccffAparência de The War Within|r|n|cFF1eff00Aparência de Plunderstorm|r|n|nDesbloqueia a aparência Canhão Portátil do Senhor da Pilhagem. Para trocar de aparência em Plunderstorm, procure Da'kash Daka'omeu.|n|n""Tem cheiro de ouro e pólvora.""",26,1,3,30,1000,3139,0,14400,1,0,439388,3467,0,0,0,0,0,0
Canhão Portátil Tempéstio do Senhor da Pilhagem,"|cFF00ccffAparência de The War Within|r|n|cFF1eff00Aparência de Plunderstorm|r|n|nDesbloqueia a aparência Canhão Portátil Tempéstio do Senhor da Pilhagem. Para trocar de aparência em Plunderstorm, procure Da'kash Daka'omeu.",27,1,3,40,1500,3139,0,14400,5,0,0,4161,0,0,0,0,0,0
Casquete de Lã Quentinho,"|cFF00ccffAparência de The War Within|r|n|nDesbloqueia a aparência Casquete de Lã Quentinho.|n|n""Até o pirata mais bronzeado fica com frio.""",28,1,7,10,250,3139,0,14400,1,0,439445,3484,0,0,0,0,0,0
Chapéu do Capitão da Tempestade,"|cFF00ccffAparência de The War Within|r|n|nDesbloqueia a aparência Chapéu do Capitão da Tempestade.|n|n""Um belo chapéu para o capitão na tempestade!""",29,1,7,20,250,3139,0,14400,1,0,439446,3483,0,0,0,0,0,0
Casquete Arrojado do Imediato,"|cFF00ccffAparência de The War Within|r|n|nDesbloqueia a aparência Casquete Arrojado do Imediato.|n|n""O casquete é bom para guardar sorrateiramente um butinzinho a mais.""",30,1,7,30,1000,3139,0,14400,5,0,0,4162,0,0,0,0,0,0
