ID,Name_lang,TotemCategoryType,TotemCategoryMask
1,Skinning Knife (OLD),1,1
2,Totem da Terra,2,1
3,Totem do Ar,2,2
4,Totem do Fogo,2,4
5,Totem da Água,2,8
6,Bastão Rúnico de Encantamento,24,65536
7,Bastão Rúnico de Encantamento,24,65536
8,Bastão Rúnico de Encantamento,24,65536
9,Bastão Rúnico de Encantamento,24,65536
10,Bastão Rúnico de Encantamento,24,65536
11,Mining Pick (OLD),21,1
12,Pedra Filosofal,22,1
13,Blacksmith Hammer (OLD),23,1
14,Chave de Arco Voltaico,24,1
15,Micro-ajustador Giromático,24,2
21,Totem Principal,2,15
41,Bastão Rúnico de Encantamento,24,65536
62,Bastão Rúnico de Encantamento,24,65536
63,Bastão Rúnico de Encantamento,24,65536
81,Cálamo Oco,22,4
101,Bastão Rúnico de Encantamento,24,69631
121,Estojo de Tintas do Virtuose,24,-2147483648
141,Tambores,24,1073741824
161,"Canivete ""Só-isso?"" Gnômico",24,127
162,Martelo de Ferreiro,24,4
165,Picareta de Mineração,24,8
166,Faca de Esfolamento,24,16
167,Picareta-martelo,24,12
168,Picareta Laminada,24,24
169,Pederneira e Lenha,24,32
189,Bastão Rúnico de Encantamento,24,65536
190,Bastão Rúnico de Encantamento,24,65536
209,Bastão Rúnico de Encantamento,24,65536
210,Rebitadeira de Alta Potência,24,64
230,Bastão Rúnico de Encantamento,24,65536
238,Ferramentas de Joalheiro,24,64
250,"Ultra Canivete ""Só-isso?"" Gnômico",24,-2147417985
253,Pena Sanguínea de Lana'thel,61,1
354,Ub3r-chave,24,1
355,Foco do Caos,162,1
356,Foco do Caos Potencializado,162,3
357,Foco do Caos Libertado,162,7
358,Mestre Artífice,24,-2147483553
359,Conjunto de Entalhe do Virtuose,24,-2147483648
362,Multiferramenta de Engenharia,24,71
369,Tudo do Exército Gnômico,164,-1
