Name_lang,EntryOffset[0],EntryOffset[1],EntryOffset[2],ID,Size,HouseExteriorWmoDataID,ParentComponentID,ModelFileDataID,Flags,Field_12_0_0_63534_007,Type,Field_12_0_0_63534_009,GameObjectID,Field_11_2_7_64044_011,ItemID
[DNT] rt_hook01,0,0,0,129,1,9,0,0,0,1,13,1,0,0,0
Estuque,0,0,0,141,2,9,0,6648736,3,1,9,1,0,0,0
Trabalho em Pedra,0,0,0,142,2,9,0,6648737,2,1,9,1,0,0,0
Estuque,0,0,0,144,3,9,0,6648733,3,1,9,1,0,0,0
Cabana,0,0,0,145,3,9,0,6648734,2,1,9,1,0,0,0
Estuque,0,0,0,147,4,9,0,6648730,3,1,9,1,0,0,0
Cabana,0,0,0,148,4,9,0,6648731,2,1,9,1,0,0,0
Telhado Adornado,0,0,0,568,4,55,0,6892531,2,4,10,1,0,36,267925
Telhado do Bosque,0,0,0,569,4,55,0,6892530,3,4,10,1,0,36,267919
Pedra,0,0,0,570,3,55,0,6892517,2,4,9,1,0,0,267867
Adornado,0,0,0,571,3,55,0,6892516,2,4,9,1,0,0,267866
Telhado do Bosque,0,0,0,572,3,55,0,6892524,3,4,10,1,0,36,267937
Telhado Adornado,0,0,0,573,3,55,0,6892525,2,4,10,1,0,36,267943
Bosque,0,0,0,574,3,55,0,6892497,3,4,9,1,0,0,267865
Telhado Rústico,0,0,0,575,3,55,0,6892526,2,4,10,1,0,36,267949
Telhado Rústico,0,0,0,576,4,55,0,6892532,2,4,10,1,0,36,267931
Pedra,0,0,0,577,4,55,0,6892523,2,4,9,1,0,0,267864
Bosque,0,0,0,578,4,55,0,6892521,3,4,9,1,0,0,267862
Telhado Rústico,0,0,0,579,2,55,0,6892529,2,4,10,1,0,36,267967
Pedra,0,0,0,580,2,55,0,6892520,2,4,9,1,0,0,267870
Adornado,0,0,0,581,2,55,0,6892519,2,4,9,1,0,0,267869
Telhado do Bosque,0,0,0,582,2,55,0,6892527,3,4,10,1,0,36,267955
Bosque,0,0,0,583,2,55,0,6892518,3,4,9,1,0,0,267868
Telhado Adornado,0,0,0,584,2,55,0,6892528,2,4,10,1,0,36,267961
Adornado,0,0,0,585,4,55,0,6892522,2,4,9,1,0,0,267863
Chaminé Adornada - Violeta,0,0,0,586,1,55,0,6892547,2,4,16,1,0,36,267889
Chaminé Antiquada Alta - Violeta,0,0,0,587,1,55,0,6892545,2,4,16,1,0,36,267877
Chaminé do Bosque - Violeta,0,0,0,588,1,55,0,6892544,2,4,16,1,0,36,267871
Janela do Bosque,0,0,0,589,1,55,0,6892536,2,4,12,1,0,0,268016
Entrada do Bosque - Violeta,5.2331,0.0432,1.6591,590,1,55,0,6892533,3,4,11,1,613904,36,267901
Torre do Bosque - Violeta,0,0,0,591,1,55,0,6892550,2,4,15,1,0,36,267986
Torre Adornada - Violeta,0,0,0,592,1,55,0,6892551,2,4,15,1,0,36,267992
Torre Rústica - Violeta,0,0,0,593,1,55,0,6892553,2,4,15,1,0,36,268004
Torre de Pedra - Violeta,0,0,0,594,1,55,0,6892552,2,4,15,1,0,36,267998
Torre de Pedra Adornada - Violeta,0,0,0,595,1,55,0,6892554,2,4,15,1,0,36,268010
Entrada Rústica - Violeta,2.9381,0.0423,1.6541,596,1,55,0,6892535,2,4,11,1,613906,36,267913
Entrada Adornada - Violeta,2.8441,0.0423,1.6625,597,1,55,0,6892534,2,4,11,1,613905,36,267907
Chaminé Rústica - Violeta,0,0,0,598,1,55,0,6892546,2,4,16,1,0,36,267883
Chaminé Antiquada - Violeta,0,0,0,599,1,55,0,6892548,2,4,16,1,0,36,267895
Janela Antiquada,0,0,0,600,1,55,0,6892537,2,4,12,1,0,0,268017
Luzerna Antiquada,0,0,0,601,1,55,0,6892542,2,4,14,1,0,0,267979
Luzerna do Bosque - Violeta,0,0,0,602,1,55,0,6892541,2,4,14,1,0,36,267973
Luzerna Adornada - Violeta,0,0,0,603,1,55,0,6892543,2,4,14,1,0,36,267980
Janela Arqueada,0,0,0,604,1,55,0,6892538,2,4,12,1,0,0,268018
Janela de Treliça,0,0,0,605,1,55,0,6892539,2,4,12,1,0,0,268019
Janela Adornada,0,0,0,606,1,55,0,6892540,2,4,12,1,0,0,268020
