Name_lang,SourceText_lang,Description_lang,ID,MountTypeID,Flags,SourceTypeEnum,SourceSpellID,PlayerConditionID,MountFlyRideHeight,UiModelSceneID,MountSpecialRiderAnimKitID,MountSpecialSpellVisualKitID
Cavalo Castanho,|cFFFFD200Comerciante: |rUngro Persevero|n|cFFFFD200Zona: |rPantanal|n|cFFFFD200Custo: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Um dos favoritos dos guardas de Ventobravo por causa da sua paciência e do seu vigor.,6,230,0,2,458,0,0,4,0,0
Lobo Cinza,|cFFFFD200Comerciante: |rOgunaro Correlobos|n|cFFFFD200Zona: |rOrgrimmar|n|cFFFFD200Custo: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Raça de lobo que prefere caçar na neblina, ocultando-se das presas com sua pelagem acinzentada.",7,230,64,2,459,0,0,4,0,0
Garanhão Branco,|cFFFFD200Legado|r,O poderoso e incansável garanhão branco aparece em diversos mitos das tribos humanas antigas.,8,230,64,2,468,0,0,4,0,0
Garanhão Preto,|cFFFFD200Comerciante: |rKatie Stokx|n|cFFFFD200Zona: |rVentobravo|n|cFFFFD200Custo: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Dizem os boatos que é o cavalo favorito da AVIN para as missões noturnas devido ao seu pelo negro.,9,230,0,2,470,0,0,4,0,0
Cavalo Tobiano,|cFFFFD200Comerciante: |rKatie Stokx|n|cFFFFD200Zona: |rVentobravo|n|cFFFFD200Custo: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,O temperamento calmo faz dele a montaria ideal para ensinar crianças a cavalgar.,11,230,0,2,472,0,0,4,0,0
Lobo Preto,|cFFFFD200Comerciante: |rOgunaro Correlobos|n|cFFFFD200Área: |rOrgrimmar|n|cFFFFD200Custo: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Seu uivo pode ser ouvido a quilômetros de distância.,12,230,64,2,578,0,0,4,0,0
Lobo Vermelho,|cFFFFD200Legado|r,Quase não restam lobos vermelhos em Azeroth. Somente os aventureiros mais viajados têm a chance de ver um.,13,230,64,2,579,0,0,4,0,0
Lobo Silvestre,|cFFFFD200Comerciante: |rOgunaro Correlobos|n|cFFFFD200Zona: |rOrgrimmar|n|cFFFFD200Custo: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Seu uivo pode ser ouvido a quilômetros de distância.,14,230,0,2,580,0,0,4,0,0
Lobo Invernal,|cFFFFD200Legado|r,Rezam as lendas ancestrais dos pelursos que os lobos de pelo branco são abençoados pelas duas luas de Azeroth.,15,230,64,2,581,0,0,4,0,0
Corcel Vil,|cFFFFD200Classe: |rBruxo,Corcel corrompido por poderes demoníacos e forçado a servir o Concílio das Sombras.,17,230,0,1,5784,31504,0,4,0,0
Égua Baia,|cFFFFD200Comerciante: |rKatie Stokx|n|cFFFFD200Zona: |rVentobravo|n|cFFFFD200Custo: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Veloz e valente, a montaria que construiu Ventobravo.",18,230,0,2,6648,0,0,4,0,0
Lobo Hediondo,|cFFFFD200Comerciante:|r Ogunaro Correlobos|n|cFFFFD200Local:|r Orgrimmar|n|cFFFFD200Custo: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Pensava-se que o lobo hediondo estava extinto, exceto no extremo norte. É altamente procurado nas preparações invernais.",19,230,0,2,6653,0,0,4,0,0
Lobo Marrom,|cFFFFD200Comerciante: |rOgunaro Correlobos|n|cFFFFD200Zona: |rOrgrimmar|n|cFFFFD200Custo: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Seu uivo pode ser ouvido a quilômetros de distância.,20,230,0,2,6654,0,0,4,0,0
