ID,SourceAlliance_lang,SourceHorde_lang,AzeriteEssenceID,Tier,MajorPowerDescription,MinorPowerDescription,MajorPowerActual,MinorPowerActual
5,"Raide Palácio Eterno|n|cFFFFD200Combinar:|r Relicário Aquoso|n|cFFFFD200Saque:|r Luz de Azshara, Corte da Rainha ou Rainha Azshara",,2,1,293019,294668,293019,294668
6,"Raide Palácio Eterno|n|cFFFFD200Combinar:|r Relicário Aquoso|n|cFFFFD200Saque:|r Luz de Azshara, Corte da Rainha ou Rainha Azshara",,2,2,294653,294687,298080,298082
7,"Raide Palácio Eterno|n|cFFFFD200Combinar:|r Relicário Aquoso|n|cFFFFD200Saque:|r Luz de Azshara, Corte da Rainha ou Rainha Azshara",,2,3,294650,294688,298081,298083
8,Raide Palácio Eterno|n|cFFFFD200Saque:|r Rainha Azshara (Mítico),,2,4,294655,294689,298081,298083
9,"Campos de Batalha|n|cFFFFD200Missão:|r ""Invasão dos campos de batalha""|n|cFFFFD200PNJ:|r Marechal Gabriel|n|cFFFFD200Local:|r Docas Grimpagris, Boralus","Campos de Batalha|n|cFFFFD200Missão:|r ""Invasão dos campos de batalha""|n|cFFFFD200PNJ:|r Xander Pratalha|n|cFFFFD200Local:|r Mugambala",3,1,293031,294910,293031,294910
10,"Campos de Batalha|n|cFFFFD200Conquista:|r ""Brigão do campo de batalha""|n|cFFFFD200Comerciante:|r Marechal Gabriel|n|cFFFFD200Local:|r Docas Grimpagris, Boralus|n|cFFFFD200Custo:|r 25 Marcas de Honra","Campos de Batalha|n|cFFFFD200Conquista:|r ""Brigão do campo de batalha""|n|cFFFFD200Comerciante:|r Xander Pratalha|n|cFFFFD200Local:|r Docas Mugambala|n|cFFFFD200Custo:|r 25 Marcas de Honra",3,2,294906,294919,300009,300012
11,"Campos de Batalha|n|cFFFFD200Conquista:|r ""Estrategista do campo de batalha""|n|cFFFFD200Comerciante:|r Marechal Gabriel|n|cFFFFD200Local:|r Docas Grimpagris, Boralus|n|cFFFFD200Custo:|r 25 Marcas de Honra","Campos de Batalha|n|cFFFFD200Conquista:|r ""Estrategista do campo de batalha""|n|cFFFFD200Comerciante:|r Xander Pratalha|n|cFFFFD200Local:|r Docas Mugambala|n|cFFFFD200Custo:|r 25 Marcas de Honra",3,3,294907,294920,300010,300013
12,"Campos de Batalha|n|cFFFFD200Conquista:|r ""Mestre do campo de batalha""|n|cFFFFD200Comerciante:|r Marechal Gabriel|n|cFFFFD200Local:|r Docas Grimpagris, Boralus","Campos de Batalha|n|cFFFFD200Conquista:|r ""Mestre do campo de batalha""|n|cFFFFD200Comerciante:|r Xander Pratalha|n|cFFFFD200Local:|r Mugambala",3,4,294908,294922,300010,300013
13,"Expedições Insulares|n|cFFFFD200Missão:|r ""Azerita para a Aliança""|n|cFFFFD200PNJ:|r Filinto Belvento|n|cFFFFD200Local:|r Docas de Boralus|n","Expedições Insulares|n|cFFFFD200Missão:|r ""Azerita para a Horda""|n|cFFFFD200PNJ:|r Capitão Rez'okum|n|cFFFFD200Local:|r Porto de Zandalar",4,1,295186,295078,295186,295078
14,"Expedições Insulares|n|cFFFFD200Combinar:|r Fragmentos do Mapa do Tesouro Perdido de Zem'lan|n|cFFFFD200Saque:|r Expedições Insulares|n|cFFFFD200Mural de Missões:|r ""Tesouro perdido do Rei-pirata""|n|cFFFFD200Local:|r Docas de Boralus","Expedições Insulares|n|cFFFFD200Combinar:|r Fragmentos do Mapa do Tesouro Perdido de Zem'lan|n|cFFFFD200Saque:|r Expedições Insulares|n|cFFFFD200Mural de Missões:|r ""Tesouro perdido do Rei-pirata""|n|cFFFFD200Local:|r Porto de Zandalar",4,2,295209,295208,298628,298627
15,"Expedições Insulares|n|cFFFFD200Coletar:|r Relatórios de Inteligência de Veia do Mundo|n|cFFFFD200Recompensa da Missão:|r ""Azerita para a Aliança""|n|cFFFFD200PNJ:|r Filinto Belvento|n|cFFFFD200Mural de Missões:|r ""No rastro da Veia do Mundo""|n|cFFFFD200Local:|r Docas de Boralus","Expedições Insulares|n|cFFFFD200Coletar:|r Relatórios de Inteligência de Veia do Mundo|n|cFFFFD200Recompensa da Missão:|r ""Azerita para a Aliança""|n|cFFFFD200PNJ:|r Capitão Rez'okum|n|cFFFFD200Mural de Missões:|r ""No rastro da Veia do Mundo""|n|cFFFFD200Local:|r Porto de Zandalar",4,3,295160,295165,299334,299333
16,"Expedições Insulares|n|cFFFFD200Missão:|r ""Azerita para a Aliança""|n|cFFFFD200PNJ:|r Filinto Belvento|n|cFFFFD200Mural de Missões:|r ""A última veia do mundo""|n|cFFFFD200Local:|r Docas de Boralus|n","Expedições Insulares|n|cFFFFD200Missão:|r ""Azerita para a Horda""|n|cFFFFD200PNJ:|r Capitão Rez'okum|n|cFFFFD200Mural de Missões:|r ""A última veia do mundo""|n|cFFFFD200Local:|r Porto de Zandalar",4,4,295210,295166,299334,299333
17,Masmorras Míticas|n|cFFFFD200Combinação:|r Ânima da Vida Concentrada|n|cFFFFD200Saque:|r Chefes de Fim de Masmorra,,5,1,295258,295246,295258,295246
18,Masmorras Míticas|n|cFFFFD200Combinação:|r Ânima da Vida Concentrada|n|cFFFFD200Saque:|r Chefes de Fim de Masmorra,,5,2,295262,295251,299336,299335
19,Masmorras Míticas|n|cFFFFD200Combinação:|r Ânima da Vida Concentrada|n|cFFFFD200Saque:|r Chefes de Fim de Masmorra,,5,3,295263,295252,299338,299337
20,"Masmorras Míticas+|n|cFFFFD200Série:|r 3 ou acima|n|cFFFFD200Conquista:|r ""Mestre da Pedra-chave de Battle for Azeroth""|n|cFFFFD200Comerciante:|r Taumaturgo Vashreen|n|cFFFFD200Local:|r Entreposto do Vento Mercante, em Boralus","Masmorras Míticas+|n|cFFFFD200Série:|r 3 ou acima|n|cFFFFD200Conquista:|r ""Mestre da Pedra-chave de Battle for Azeroth""|n|cFFFFD200Comerciante:|r Taumaturgo Vashreen|n|cFFFFD200Local:|r Grande Bazar, em Dazar'alor",5,4,295264,295253,299338,299337
21,Masmorras Míticas|n|cFFFFD200Combinação:|r Ânima da Vida Concentrada|n|cFFFFD200Saque:|r Chefes de Fim de Masmorra,,7,1,294926,294964,294926,294964
22,Masmorras Míticas|n|cFFFFD200Combinação:|r Ânima da Vida Concentrada|n|cFFFFD200Saque:|r Chefes de Fim de Masmorra,,7,2,295307,294970,300002,300004
23,"Masmorras Míticas+|n|cFFFFD200Série:|r 3 ou acima|n|cFFFFD200Conquista:|r ""Mestre da Pedra-chave de Battle for Azeroth""|n|cFFFFD200Comerciante:|r Taumaturgo Vashreen|n|cFFFFD200Local:|r Entreposto do Vento Mercante, em Boralus","Masmorras Míticas+|n|cFFFFD200Série:|r 3 ou acima|n|cFFFFD200Conquista:|r ""Mestre da Pedra-chave de Battle for Azeroth""|n|cFFFFD200Comerciante:|r Taumaturgo Vashreen|n|cFFFFD200Local:|r Grande Bazar, em Dazar'alor",7,4,295306,294972,300003,300005
24,Masmorras Míticas|n|cFFFFD200Combinação:|r Ânima da Vida Concentrada|n|cFFFFD200Saque:|r Chefes de Fim de Masmorra,,7,3,294945,294969,300003,300005
29,Gnomecan|n|cFFFFD200Reputação:|r Resistência Ferrúgia - Respeitado|n|cFFFFD200Comerciante:|r Vendamatiq Real Roubada|n|cFFFFD200Local:|r Ferrúgia|n|cFFFFD200Custo:|r 1 Oscilador Galvânico e 2 Caixotes de Peças Sobressalentes,,6,1,295337,295293,295337,295293
30,Gnomecan|n|cFFFFD200Reputação:|r Resistência Ferrúgia - Honrado|n|cFFFFD200Comerciante:|r Vendamatiq Real Roubada|n|cFFFFD200Local:|r Ferrúgia|n|cFFFFD200Custo:|r 5 Osciladores Galvânicos e 10 Caixotes de Peças Sobressalentes,,6,2,295364,295363,299345,299343
31,Gnomecan|n|cFFFFD200Reputação:|r Resistência Ferrúgia - Reverenciado|n|cFFFFD200Comerciante:|r Vendamatiq Real Roubada|n|cFFFFD200Local:|r Ferrúgia|n|cFFFFD200Custo:|r 8 Osciladores Galvânicos e 20 Caixotes de Peças Sobressalentes,,6,3,295352,295351,299347,299346
