ID,Description_lang,Color
2,Agora com descrição extra,16777215
20,Série 10,-16711936
226,Série 10 Elite,-16711936
525,Série 9 Elite,-16711936
653,Série 9,-16711936
1013,Série 11,-16711936
1208,Série 11 Elite,-16711936
1591,Série 19,-16711936
1593,Essa Cor Me Dói Os Olhos,-65536
1641,Localizador de Raides,-16711936
2015,Heroico,65280
2023,Série 10 Elite,-1
2255,Série 12,65280
2667,Série 12 Elite,65280
3564,,65280
3759,Material de Ofício,-10044417
3765,Bolsa de 100 Compartimentos,-1
3845,Heroico de Elite,65280
3859,Elite,65280
3933,Série 13,65280
3934,Série 13 Elite,65280
4918,Grau 1,-16711681
4949,Grau 2,-16711681
4953,Grau 3,-16711681
4957,Grau 4,-16711681
4961,Grau 5,-16711681
4965,Grau 7,-16711681
4969,Grau 8,-16711681
4970,Grau 6,-16711681
5213,Item de Cenário,-1
5616,Forjado pelo Trovão,65280
6360,Forjado pelo Trovão Heroico,65280
6798,Grau 9,-16711681
6842,Ranque ??,-16711681
6843,Série 8,65280
6894,Série 8 Elite,65280
7052,Série 7,65280
7225,Série 7 Elite,65280
7261,Série 6,65280
7434,Série 6 Elite,65280
7463,Série 5,65280
7636,Série 4,65280
7775,Série 3,65280
7906,Série 2,65280
8027,Série 1,65280
8869,Flexível,65280
9059,Série 14,65280
9459,Série 14 Elite,65280
10066,Forjado pelo Trovão Heroico,16711680
10126,Série 15,65280
10520,Série 15 Elite,65280
11080,Perene,65280
11179,Forjado para a Guerra Heroico,65280
11428,Forjado para a Guerra,65280
12743,Troféu,-10044417
12790,Impecável,-16711936
12934,Material de Alquimia,-10044417
13021,Matéria-prima de Criação,-7820545
13111,do Poder,0
13145,Mítico,-16711936
13149,Matéria-prima de Engenharia,-10044417
13150,do Clarão de Fogo,0
13151,do Inigualável,0
13152,do Gumepresto,0
13153,do Selvagem,0
13154,do Fanático,0
13155,do Astuto,0
13156,da Febre Ardente,0
13157,da Aurora,0
13158,do Primor,0
13159,do Zelote,0
13160,do Moldador de Ventos,0
13161,do Harmonioso,0
13162,do Impiedoso,0
13163,do Vaticinador,0
13164,do Nobre,0
13165,do Estrategista,0
13166,do Áugure,0
13167,do Impávido,0
13168,do Arauto,0
13169,do Rompe-procelas,0
13170,do Impaciente,0
13171,do Erudito,0
13172,do Adaptável,0
13173,do Incansável,0
13174,do Pio,0
13175,do Inquebrantável,0
13176,do Dizimador,0
13178,Torneio de Warlords,65280
13181,Ingrediente de Culinária,-10044417
13184,Reagente de criação,-10044417
13185,Estágio 2 de 6,65280
13186,Estágio 3 de 6,65280
13187,Estágio 1 de 6,65280
13188,Mítico Forjado em Guerra,-16711936
13190,Equipamento de Seguidor,-9316865
13191,Recurso da Guarnição,-10044417
13192,Parte do Posto Comercial,-16724737
13193,Normal,65280
13194,Módulo de Posto Comercial,-16724737
13195,Impecável,-10044417
13196,Série 1 de Warlords,65280
13197,Ficha de JxJ Racial,-7820545
13198,Elite da Série 1 de Warlords,65280
13201,Tipo 0,65280
13202,Tipo 1 - Sagrado,65280
13203,Tipo 1 - Fogo,65280
13204,Tipo 1 - Corrompido,65280
13205,Tipo 2 - Sagrado,65280
13206,Tipo 2 - Fogo,65280
13207,Tipo 2 - Corrompido,65280
13208,Estágio 4 de 6,65280
13209,Diagrama da Guarnição,-10044417
13210,Andarilho do Tempo,-1651584
13211,Série 2 de Warlords,65280
13212,Elite da Série 2 de Warlords,65280
13213,Série 3 de Warlords,65280
13214,Elite da Série 3 de Warlords,65280
13215,Batedor de Carteira,-16724737
13216,Transtemporal,-16711936
13217,Estágio 5 de 6,65280
13218,Estágio 6 de 6,65280
13219,Poder do Artefato,-1651584
13220,Forjado para a Guerra Transtemporal,-16711936
13222,Potencializado,65280
13223,Mana Ancestral,-10044417
13224,Equipamento Naval,65280
13225,do Infortúnio,-16711936
13226,Série 1 de Legion,65280
13227,Série 1 de Legion - Elite,65280
13228,Equipamento de Campeão,-12288
13230,Fase 1 de 9,65280
13231,Fase 2 de 9,65280
13232,Fase 3 de 9,65280
13233,Fase 4 de 9,65280
13234,Fase 5 de 9,65280
