Description_lang,SortedProperty_lang,ID,ItemClass,ItemSubClass,InventoryType,OrderIndex,ParentCategory,DefaultAuctionHouseFilter,AuctionHouseExtraColumn
Armas,Nvl-i,1,3,0,13,100,0,0,1
Uma Mão,Nvl-i,2,0,0,0,10,1,0,1
Machados de Uma Mão,Nvl-i,3,3,3,0,10,2,0,1
Maças de Uma Mão,Nvl-i,4,3,7,0,20,2,0,1
Espadas de Uma Mão,Nvl-i,5,3,10,0,30,2,0,1
Glaives de Guerra,Nvl-i,6,3,12,0,40,2,0,1
Adagas,Nvl-i,7,3,18,0,50,2,0,1
Armas de Punho,Nvl-i,8,3,16,0,60,2,0,1
Varinhas,Nvl-i,9,3,56,0,70,2,0,1
Duas Mãos,Nvl-i,10,0,0,0,20,1,0,1
Machados de Duas Mãos,Nvl-i,11,3,4,0,10,10,0,1
Maças de Duas Mãos,Nvl-i,12,3,8,0,20,10,0,1
Espadas de Duas Mãos,Nvl-i,13,3,11,0,30,10,0,1
Armas de Haste,Nvl-i,14,3,9,0,40,10,0,1
Cajados,Nvl-i,15,3,13,0,50,10,0,1
Longo Alcance,Nvl-i,16,0,0,0,30,1,0,1
Arcos,Nvl-i,17,3,5,0,10,16,0,1
Bestas,Nvl-i,18,3,55,0,20,16,0,1
Armas de Fogo,Nvl-i,19,3,6,0,30,16,0,1
Arremesso,Nvl-i,20,3,34,0,40,16,0,1
Diversos,Nvl-i,21,0,0,0,40,1,0,1
Varas de Pescar,Nvl-i,22,3,57,0,10,21,0,1
Outros,Nvl-i,23,3,17,0,20,21,0,1
Armadura,Nvl-i,24,5,0,0,200,0,0,1
Placas,Nvl-i,25,5,23,0,10,24,0,1
Runogravura,Nvl-i,26,5,23,0,10,25,13,1
Cabeça,Nvl-i,27,5,23,1,20,25,0,1
Ombros,Nvl-i,28,5,23,3,30,25,0,1
Torso,Nvl-i,29,5,23,5,40,25,0,1
Cintura,Nvl-i,30,5,23,6,50,25,0,1
Pernas,Nvl-i,31,5,23,7,60,25,0,1
Pés,Nvl-i,32,5,23,8,70,25,0,1
Pulsos,Nvl-i,33,5,23,9,80,25,0,1
Mãos,Nvl-i,34,5,23,10,90,25,0,1
Malha,Nvl-i,35,5,22,0,20,24,0,1
Runogravura,Nvl-i,36,5,22,0,10,35,13,1
Cabeça,Nvl-i,37,5,22,1,20,35,0,1
Ombros,Nvl-i,38,5,22,3,30,35,0,1
Torso,Nvl-i,39,5,22,5,40,35,0,1
Cintura,Nvl-i,40,5,22,6,50,35,0,1
Pernas,Nvl-i,41,5,22,7,60,35,0,1
Pés,Nvl-i,42,5,22,8,70,35,0,1
Pulsos,Nvl-i,43,5,22,9,80,35,0,1
Mãos,Nvl-i,44,5,22,10,90,35,0,3
Couro,Nvl-i,45,5,21,0,30,24,0,1
Runogravura,Nvl-i,46,5,21,0,10,45,13,1
Cabeça,Nvl-i,47,5,21,1,20,45,0,1
Ombros,Nvl-i,48,5,21,3,30,45,0,1
Torso,Nvl-i,49,5,21,5,40,45,0,1
Cintura,Nvl-i,50,5,21,6,50,45,0,1
Pernas,Nvl-i,51,5,21,7,60,45,0,1
Pés,Nvl-i,52,5,21,8,70,45,0,1
Pulsos,Nvl-i,53,5,21,9,80,45,0,1
Mãos,Nvl-i,54,5,21,10,90,45,0,1
Tecido,Nvl-i,55,5,20,0,40,24,0,1
Runogravura,Nvl-i,56,5,20,0,10,55,13,1
Cabeça,Nvl-i,57,5,20,1,20,55,0,1
Ombros,Nvl-i,58,5,20,3,30,55,0,1
Torso,Nvl-i,59,5,20,5,40,55,0,1
Cintura,Nvl-i,60,5,20,6,50,55,0,1
Pernas,Nvl-i,61,5,20,7,60,55,0,1
Pés,Nvl-i,62,5,20,8,70,55,0,1
Pulsos,Nvl-i,63,5,20,9,80,55,0,1
Mãos,Nvl-i,64,5,20,10,90,55,0,1
Diversos,Nvl-i,65,5,19,0,50,24,0,1
Runogravura,Nvl-i,66,5,19,0,10,65,13,1
Pescoço,Nvl-i,67,5,19,2,20,65,0,1
Manto,Nvl-i,68,5,20,16,30,65,0,1
Dedo,Nvl-i,69,5,19,11,40,65,0,1
Berloque,Nvl-i,70,5,19,12,50,65,0,1
Empunhado na mão secundária,Nvl-i,71,5,19,23,60,65,0,1
Escudos,Nvl-i,72,5,25,14,70,65,0,3
Camisa,Nvl-i,73,5,19,4,80,65,0,1
Cabeça,Nvl-i,74,5,19,1,90,65,0,1
Cosmético,Nvl-i,75,5,24,0,60,24,0,1
Recipientes,Espaços,76,2,0,0,300,0,0,2
Bolsa,Espaços,77,2,2,0,10,76,0,2
Bolsa de Mineração,Espaços,78,2,118,0,20,76,0,2
Caixa de Pesca,Espaços,79,2,171,0,30,76,0,2
Bolsa de Escrivania,Espaços,80,2,167,0,40,76,0,2
Bolsa de Couraria,Espaços,81,2,149,0,50,76,0,2
Bolsa de Herborismo,Espaços,82,2,109,0,60,76,0,2
Bolsa de Encantamento,Espaços,83,2,110,0,70,76,0,2
Bolsa de Engenharia,Espaços,84,2,111,0,80,76,0,2
Bolsa de Gemas,Espaços,85,2,116,0,90,76,0,2
Bolsa de Culinária,Espaços,86,2,179,0,100,76,0,2
Gemas,Nvl-i,87,4,0,0,400,0,0,1
Relíquia de Artefato,Nvl-i,88,4,187,0,10,87,0,1
Intelecto,Nvl-i,89,4,36,0,20,87,0,1
Agilidade,Nvl-i,90,4,119,0,30,87,0,1
Força,Nvl-i,91,4,120,0,40,87,0,1
Vigor,Nvl-i,92,4,121,0,50,87,0,1
Acerto Crítico,Nvl-i,93,4,123,0,60,87,0,1
Maestria,Nvl-i,94,4,124,0,70,87,0,1
Aceleração,Nvl-i,95,4,125,0,80,87,0,1
Versatilidade,Nvl-i,96,4,126,0,90,87,0,1
Outros,Nvl-i,97,4,169,0,100,87,0,1
Vários atributos,Nvl-i,98,4,170,0,110,87,0,1
