ID,Name_lang,Tooltip_lang,Field_10_1_0_48776_002_lang,Field_8_2_0_30430_003
57,Capturas de bandeira,Número de vezes que você capturou a bandeira,Capturas de bandeira,0
58,Muralhas destruídas,Número de vezes que você destruiu muralhas inimigas.,Muralhas destruídas,0
59,Prédios destruídos,Número de vezes que você destruiu prédios inimigos.,Prédios destruídos,0
60,Portões destruídos,Número de vezes que você destruiu portões.,Portões destruídos,0
61,Cemitérios defendidos,Número de vezes que a captura de cemitérios foi impedida.,Cemitérios defendidos,0
62,Recuperações de bandeira,Número de vezes em que você pegou a Bandeira no campo e a devolveu à base,Recuperações de bandeira,0
63,Torres atacadas,Número de vezes que estandartes de torres inimigas foram removidos,Torres atacadas,0
64,Objetivos secundários,Número de unidades secundárias ativadas,Objetivos secundários,0
65,Bases atacadas,Número de vezes que estandartes de bases inimigas foram removidos,Bases atacadas,0
67,Torres defendidas,Número de vezes que a captura de torres foi impedida,Torres defendidas,0
69,Bases defendidas,Número de vezes que a captura de bases foi impedida,Bases defendidas,0
70,Demolidores destruídos,Número de vezes que você destruiu demolidores,Demolidores destruídos,0
71,Cemitérios atacados,Número de vezes que estandartes de cemitérios inimigos foram removidos,Cemitérios atacados,0
75,Vagonetes controlados,Número de vagonetes dos quais você ajudou a assumir o controle,Vagonetes controlados,0
78,Vagonetes capturados,Número de vezes em que você capturou o vagonete inimigo,Vagonetes capturados,0
79,Vagonetes recuperados,Número de vezes em que você pegou o vagonete no campo e o devolveu à base,Vagonetes recuperados,0
81,Minas defendidas,Número de vezes em que a captura de uma mina foi impedida,Minas defendidas,0
87,Posses do orbe,Número de vezes em que você controlou um orbe,Posses do orbe,0
88,Pontos de Vitória,Número de Pontos de Vitória recebidos,Pontos de vitória,0
89,Pontuação,Contribuição para a vitória,Pontuação,0
98,Artefatos coletados,Total de Fragmentos de Artefato que você coletou e entregou.,Artefatos coletados,0
99,Azerita coletada,Total de Azerita coletada.,Azerita coletada,0
102,Ingredientes coletados,Número de ingredientes coletados,Ingredientes coletados,0
1092,Minas atacadas,Número de vezes que estandartes de bases inimigas foram removidos,Minas atacadas,0
1093,Capturas de bandeira,Número de vezes que você capturou a bandeira,Capturas de bandeira,0
1097,Rodadas vencidas,,Rodadas|nvencidas,0
1100,Capturas de Cristal,Número de vezes que você capturou o cristal,Capturas de Cristal,0
