ID,Description_lang,SoulbindID,CreatureDisplayInfoID,ModelSceneActorID,TextureKitID,OrderIndex,GlobalOrderIndex,ActivationSoundKitID
1,"Niya é uma silvar incumbida de proteger e cuidar das sementes selvagens de seu bosque. Você a encontrou em um momento trágico: sua mata foi deixada à mingua, para que a ânima fosse levada. Aventurando-se ao seu lado, Niya aprendeu a verdade nua e crua sobre a sobrevivência em meio à seca. Uma exímia caçadora e rastreadora, ela vai ajudar a resolver a seca e combater outras ameaças a Ardena.",1,95232,1030,5312,0,6,171896
2,"Sereno e fleumático, o Tece-sonhos perscruta como ninguém os sonhos dos espíritos da natureza que dormem nas sementes selvagens da floresta, à espera do renascimento. O Tece-sonhos ajudou você a estabelecer um vínculo com uma semente selvagem em particular, cujo espírito adormecido começa a se manifestar. Os poderes curativos que ele domina oferecem apoio a Ardena, que se encontra sob o cerco de um inimigo exterior.",2,94430,1029,5313,1,7,171898
3,"O General Draven serviu Revendreth por eras como comandante da Legião de Pedra. Ele está na linha de frente de qualquer campo de batalha, lutará com honra até o fim e nunca deixa um soldado para trás. Quando Denathrius escolheu o Carcereiro, Draven escolheu a rebelião de Renathal. Afinal, Revendreth deve sempre vir em primeiro lugar.",3,92399,1031,5314,2,11,171889
4,"Tão excêntrico quanto brilhante, Marileth criou algumas das poções mais eficazes de toda Maldraxxus. Quando a Casa das Pestes foi sabotada e destruída, ele enlouqueceu. As soluções criativas de Marileth se provam vitais ao esforço de guerra... a despeito de um ou outro efeito colateral.",4,94122,1035,5315,0,3,171890
5,"O corpo de Emeni foi construído nas suturarias de Maldraxxus. Uma nobre poderosa em vida, ela assassinou centenas de irmãos, para reivindicar o trono. Vendo você se empenhar em exterminar inimigos mútuos, ela respeita sua força. Trata-se de uma lenda, cuja notoriedade aumenta ainda mais quando se vincula ao Caminhante da Gorja.",5,93825,1036,5316,1,4,171892
7,"Caçadora da Caçada Selvagem, Korayn é uma lutadora aguerrida e líder de gênio forte. Incumbida de proteger a floresta das mais perigosas e esquivas ameaças, ela não descansará enquanto o inimigo não for eliminado e a segurança de Ardena, garantida. Diante do ataque contra o Vale do Inverno, a liderança e a determinação de Korayn permitiram a vitória.",6,95248,1037,5317,2,8,171899
9,"Como aspirante no Bastião, Pelagos continua treinando com afinco para ascender mesmo diante de desafios e adversidades. Assim como Kleia, a outra Alma Vinculada dele, Pelagos logo vira seu amigo quando você busca uma audiência com a Arconte e enfrenta a ameaça dos Perjuros. Ainda que o caminho dele esteja repleto de dúvidas e lembranças do passado mortal, Pelagos permanece radiante e esperançoso.",7,94137,1039,5318,0,0,171883
10,"Aprendiz do próprio Prócer, Heirmir está entre as almas mortais mais longevas de Maldraxxus. Após eras de treinamento, ela é a mais proeminente perita na forja de armas e armaduras de aço e ossos. Os arsenais que ela cria mantêm a Casa dos Escolhidos e você plenamente equipados para enfrentar os inimigos que os cercam.",10,96102,1038,5319,2,5,171894
11,"Kleia, uma kyriana ascendida, encontrou você quando era apenas uma aspirante. Ela provou a Pelagos, seu vínculo de almas, bem como aos demais kyrianos, que estava disposta a progredir e superar qualquer provação. Uma mentora atenciosa para você e Pelagos, ela fará o que puder para proteger seus amigos e o Bastião.",13,94873,1040,5320,1,1,171885
12,"Mikâniko, um comissário do Bastião, se mostrou promissor desde a mais tenra idade, ascendendo rapidamente ao posto de Primeiro Forjalita. Muitas das criações mais memoráveis do Bastião são invenções dele. Reconhecendo o potencial de um Caminhante da Gorja, ele se mostra um aliado formidável no combate à seca de ânima e outras ameaças.",18,96348,1041,5322,2,2,171886
14,"Autoproclamada maior duelista de todos os tempos a empunhar uma lâmina, Nadjia se rebela contra a estagnação e anseia por novas experiências. Sempre que há confusão, é certo que Nadjia estará no meio. Ela está pronta para lançar mão de suas habilidades, tanto para defender Revendreth ao seu comando quanto para se divertir.",8,93210,1042,5327,0,9,171887
15,"Insanidade não é desculpa para maus modos! Exilado dos círculos aristocráticos mais tradicionais, Theotar formou sua própria corte de proscritos para ter com quem mexericar. Seja urdindo magias poderosas por meio de sua chaleira favorita ou animando dragadores para carregar sua sombrinha, Theotar tem nas mãos o poder descomunal de Revendreth, ainda que de forma um tanto excêntrica.",9,93223,1043,5328,1,10,171888
