ActivityName_lang,Description_lang,ID,CriteriaTreeID,ThresholdContributionAmount,Supersedes,Priority
Cumprir 30 Missões,Concluir missões que concedam experiência.,3,135693,200,0,0
Derrotar 50 Chefes de Masmorra,Derrotar chefes de masmorra que concedem experiência.,4,135695,200,0,0
Festa do Véu de Inverno: obter um Chapéu Festivo Feito Cuidadosamente Sob Medida,"De {EventStartDate} a {EventEndDate}, obter um Chapéu Festivo Feito Cuidadosamente Sob Medida.",5,135697,50,0,-100
Concluir 5 Masmorras Míticas+,,6,135699,200,0,7
Concluir 15 Missões Mundiais,,7,136176,150,0,0
Derrotar 10 chefes de raide de Dragonflight,,8,136202,200,0,0
Matar Qualquer Chefe de Raide em Dragonflight no Modo Mítico,,9,136211,200,0,0
Ganhar 7.500 de Honra,,10,136220,200,0,0
Vencer 5 Campos de Batalha.,,11,136222,200,0,0
Vencer 10 partidas em uma Arena que Não Seja de Escaramuça,,12,136224,200,0,0
Atender Pedidos de Criação,Falar com um Atendente de Pedidos de Criação para atender a Pedidos de Criação.,13,136242,200,0,0
Vencer 15 Batalhas de Mascotes,,14,136244,200,0,0
Derrotar chefes de masmorra em um grupo interfacção,Derrotar chefes de masmorra que concedem experiência em um grupo de interfacções.,16,136248,150,0,0
Concluir missões em Nortúndria,,17,136250,100,0,0
Concluir 5 Masmorras de Caminhada Temporal da Wrath of the Lich King,,18,136265,250,0,0
Derrotar o Lich Rei,Matar o Lich Rei na Cidadela da Coroa de Gelo.,19,136286,50,0,0
Concluir Campos de Batalha do Vale Alterac,,20,136288,100,0,0
Semana da Mascote de Batalha: derrotar mestres domadores de Nortúndria com um ajudante do inverno,"De {EventStartDate} a {EventEndDate}, usar pelo menos um ajudante de inverno para derrotar todos os Mestres Domadores de Nortúndria.",21,136291,75,0,-110
Caminhada Temporal: pescar em Nortúndria,"De {EventStartDate} a {EventEndDate}, pescar itens em Nortúndria.",22,136300,100,0,0
Calafrio de Ragnaros,Mandar a expressão /frio para Ragnaros no Núcleo Derretido.,23,136323,25,0,0
Festa do Véu de Inverno: dançar em volta da árvore com um Vestido Elegante,"De {EventStartDate} a {EventEndDate}, dançar com outro jogador perto da árvore da festa usando o Traje de Inverno.",24,136325,50,0,-100
Matar 100 Elementais de Gelo,,25,136327,100,0,0
Feira de Negraluna: concluir Alvo: Tartaruga,"De 4/5 a 10/5, concluir a missão ""Alvo: Tartaruga"" na Ilha da Feira de Negraluna.",26,136357,75,0,0
Festa do Véu de Inverno: matar 3 chefes festivos,"De {EventStartDate} a {EventEndDate}, matar três dos chefes a seguir:",27,136359,50,0,-100
Festival do Andarilho: ir ao festival,"De {EventStartDate} a {EventEndDate}, participar do Festival do Andarilho na Praia da Tartaruga, na Selva de Krasarang.",28,136364,100,0,-70
"Festival do Andarilho: acender uma lanterna e ler ""Esperando pela Tartaruga""","De {EventStartDate} a {EventEndDate}, acender uma lanterna e ler ""Esperando pela Tartaruga"" no Festival do Andarilho na Selva de Krasarang.",29,136366,75,0,-70
Feira de Negraluna: comer uma Salsicha Empanada depois de sair dos brinquedos,"De 5/1 a 11/1, andar no carrossel ou na montanha-russa de Negraluna e depois comer Salsicha Empanada.",30,136369,25,0,-62
Matar o Líder da Facção Oposta,,31,136449,400,0,0
Explorar uma região nevada,Explorar totalmente uma das áreas a seguir:,32,136527,50,0,0
Concluir 5 Campos de Batalha de Interfacção,,33,136652,150,0,0
"Festa do Véu de Inverno: ganhar ""Fica frio""","De {EventStartDate} a {EventEndDate), ganhar ""Fica Frio"" do Arrefecedor do Furiafria.",34,136855,100,0,-100
Caminhada Temporal: concluir missões em Draenor,"De {EventStartDate} a {EventEndDate}, concluir missões em Draenor.",36,149949,100,0,0
Caminhada Temporal: concluir 5 Masmorras de Caminhada Temporal de Warlords of Draenor,"De {EventStartDate} a {EventEndDate}, concluir masmorras da Caminhada Temporal de Warlords of Draenor.",37,137530,100,213,0
Concluir a Cidadela Fogo do Inferno,,38,137539,150,0,0
Matar 15 Jogadores na Selva de Tanaan,,39,137541,200,0,0
Derrotar Mestres Domadores das Ilhas do Dragão com mascotes Draconianas,Derrotar 2 Mestres Domadores das Ilhas do Dragão com uma formação de pelo menos 2 mascotes draconianas.,40,137543,200,0,0
Caminhada Temporal: pescar em Draenor,"De {EventStartDate} a {EventEndDate}, pescar itens em Draenor.",41,149979,100,0,0
Usar Biscoitos do Ajudante Feliz,"Comprar Biscoito do Ajudante Feliz de Breanni no Viveiro Mágico, em Dalaran.",42,137615,100,0,0
O Amor Está no Ar: usar o brinquedo Pedra de Regresso Adorável de Ligeirinho Coração nas Ilhas do Dragão,"De {EventStartDate} a {EventEndDate}, usar a Pedra de Regresso Adorável de Ligeirinho Coração de brinquedo nas Ilhas do Dragão.",43,137617,150,0,0
O Amor Está no Ar: usar a Cesta de Piquenique Romântica de brinquedo na Chapada Ohn'ahrana,"De {EventStartDate} a {EventEndDate}, usar a Cesta de Piquenique Romântica de brinquedo na Chapada Ohn'ahrana.",44,137619,150,0,0
O Amor Está no Ar: concluir Amor em Pedaços,"De {EventStartDate} a {EventEndDate}, concluir a missão ""Amor em pedaços"".",45,137621,150,0,0
O Amor Está no Ar: derrotar o Boticário Humberto,"De {EventStartDate} a {EventEndDate}, derrotar o Boticário Humberto na Bastilha da Presa Negra.",46,137623,100,0,0
O Amor Está no Ar: Dar uma Pulseira de Patuás Adoráveis de Presente,"De {EventStartDate} a {EventEndDate}, presentear um dos líderes da sua facção com uma Pulseira de Patuás Adoráveis.",47,137625,150,0,0
/abraçar um jogador morto,Expressão /abraçar um jogador morto.,48,137634,50,0,0
Ressuscitar Jogadores,,49,137636,50,0,0
Usar o Veneno de Retardar de Zanzil,"Usar o Veneno de Retardar de Zanzil, que pode ser obtido com Geraldo Nero, em Ventobravo, ou com Alfeu Cain, em Orgrimmar.",50,137645,50,0,0
Tirar Meleca e Mostrar a Garrosh Grito Infernal no Cerco a Orgrimmar,,51,137649,100,0,0
Ganhar ouro na Casa de Leilões,,52,137647,100,0,0
"Comer uma Fatia de Bolo de Chocolate, Fatia de Bolo Adorável e Fatia de Torta de Cereja","Comer uma Fatia de Bolo de Chocolate, Fatia de Bolo Adorável e Fatia de Torta de Cereja, que podem ser obtidas com Aimee em Dalaran Velha.",53,137651,50,0,0
Ninhada dos Hipogrifos: ninho de Filhote de Esfiapluma,"Dia {EventStartDate}, incubar um Ovo de Esfiapluma para fazer um filhote pousar no seu ombro.",54,137655,150,0,0
Ninhada dos Hipogrifos: usar uma Pena Espectral,"Dia {EventStartDate}, saquear uma Pena Espectral de Lorthalium e usá-la.",55,137657,150,0,0
Feira de Negraluna: Preparar um Pastelão de Cereja,"De 2/2 a 8/2, preparar um Pastelão de Cereja na Ilha da Feira de Negraluna.",56,137659,50,0,0
Concluir 15 Missões em as Ilhas Partidas,,57,137661,200,0,0
"Concluir Antorus, o Trono Ardente",,59,137684,100,0,0
Concluir 5 Campos de Batalha de Ashran,,60,137686,200,0,0
Provação do Estilo: ganhar 100 Fichas da Provação do Estilo,"De {EventStartDate} a {EventEndDate}, obter Fichas da Provação do Estilo participando da Provação do Estilo.",61,137688,100,266,0
Derrotar todos os Mestres Domadores de Legion com uma formação completa de mascotes Mágicas,,62,137715,350,0,0
Caminhada Temporal: pescar nas Ilhas Partidas,"De {EventStartDate} a {EventEndDate}, pescar itens nas Ilhas Partidas.",63,149983,100,0,0
"Obter um brinquedo que deixa você ""Uma Beleza""",,64,137776,50,0,0
Provação do Estilo: /vibrar com jogadores,"De {EventStartDate} a {EventEndDate}, usar a expressão /vibrar para jogadores ao participar da Provação do Estilo.",65,137787,50,0,0
"Provação do Estilo: usar o Holofote, a Pista de Dança e as Chamas da Provação do Estilo","De {EventStartDate} a {EventEndDate}, usar o Holofote, a Pista de Dança e as Chamas da Provação do Estilo ao participar da Provação do Estilo.",66,137789,100,0,0
