Name_lang,ID,SecondaryID,Flags,ChrRacesID,Sex,ChrModelID,OrderIndex,ChrCustomizationCategoryID,OptionType,BarberShopCostModifier,ChrCustomizationID,Requirement,SecondaryOrderIndex,AddedInPatch
Cor da Pele,1,1,16,0,-1,0,0,2,0,0,0,0,0,90001
Rosto,2,2,0,0,-1,0,1,2,0,0,0,0,1,90001
Estilo do Cabelo,3,3,0,0,-1,0,2,4,0,0,0,0,2,90001
Cor do Cabelo,4,4,0,0,-1,0,3,4,0,0,0,0,3,90001
Pelos Faciais,5,5,0,0,-1,0,4,4,0,0,0,0,4,90001
Tatuagem,6,6,8,0,-1,0,5,5,0,0,0,0,5,90001
Estilo do Chifre,7,7,0,0,-1,0,6,2,0,0,0,0,6,90001
Vendas,8,8,8,0,-1,0,7,2,0,0,0,0,7,90001
Cor da Pele,9,9,80,1,0,1,2,2,0,0,1,0,1,90001
Rosto,10,10,128,1,0,1,1,2,0,0,2,0,2,90001
Estilo do Cabelo,11,11,0,1,0,1,3,2,0,0,3,0,4,90001
Cor do Cabelo,12,12,2,1,0,1,4,2,0,0,4,0,5,90001
Barba,13,13,0,1,0,1,6,2,0,0,5,0,7,90001
Cor da Pele,14,14,80,1,1,2,2,2,0,0,1,0,1,90001
Rosto,15,15,128,1,1,2,1,2,0,0,2,0,2,90001
Estilo do Cabelo,16,16,0,1,1,2,3,2,0,0,3,0,3,90001
Cor do Cabelo,17,17,2,1,1,2,4,2,0,0,4,0,4,90001
Cor da Pele,19,19,80,2,0,3,2,2,0,0,1,0,1,90001
Rosto,20,20,128,2,0,3,1,2,0,0,2,0,2,90001
Estilo do Cabelo,21,21,0,2,0,3,3,2,0,0,3,0,3,90001
Cor do Cabelo,22,22,2,2,0,3,4,2,0,0,4,0,4,90001
Barba,23,23,0,2,0,3,5,2,0,0,5,0,5,90001
Erguido,24,24,40,2,0,3,24,5,1,0,46,0,24,90001
Cor da Pele,25,25,80,2,1,4,2,2,0,0,1,0,1,90001
Rosto,26,26,128,2,1,4,1,2,0,0,2,0,2,90001
Estilo do Cabelo,27,27,0,2,1,4,3,2,0,0,3,0,3,90001
Cor do Cabelo,28,28,2,2,1,4,4,2,0,0,4,0,4,90001
Brincos,29,29,8,2,1,4,10,3,0,0,11,0,10,90001
Cor da Pele,30,30,80,3,0,5,2,16,0,0,1,0,1,90001
Rosto,31,31,128,3,0,5,1,16,0,0,2,0,2,90001
Estilo do Cabelo,32,32,0,3,0,5,3,16,0,0,3,0,3,90001
Cor do Cabelo,33,33,2,3,0,5,4,16,0,0,4,0,4,90001
Barba,34,34,0,3,0,5,6,16,0,0,5,0,6,90001
Cor da Pele,35,35,80,3,1,6,2,2,0,0,1,0,1,90001
Rosto,36,36,128,3,1,6,1,2,0,0,2,0,2,90001
Estilo do Cabelo,37,37,0,3,1,6,3,2,0,0,3,0,3,90001
Cor do Cabelo,38,38,2,3,1,6,4,2,0,0,4,0,4,90001
Cor da Pele,40,40,80,4,0,7,2,2,0,0,1,0,1,90001
Rosto,41,41,128,4,0,7,1,2,0,0,2,0,2,90001
Estilo do Cabelo,42,42,0,4,0,7,3,2,0,0,3,0,3,90001
Cor do Cabelo,43,43,2,4,0,7,4,2,0,0,4,0,4,90001
Barba,44,44,0,4,0,7,7,2,0,0,5,0,7,90001
Cor da Tatuagem,46,46,11,4,0,7,32,5,0,0,9,0,32,90001
Chifres,47,47,8,4,0,7,19,23,0,0,7,0,9,90001
Venda,48,48,8,4,0,7,20,23,0,0,8,0,11,90001
Cor da Pele,49,49,80,4,1,8,2,2,0,0,1,0,1,90001
Rosto,50,50,128,4,1,8,1,2,0,0,2,0,2,90001
Estilo do Cabelo,51,51,0,4,1,8,3,2,0,0,3,0,3,90001
Cor do Cabelo,52,52,2,4,1,8,4,2,0,0,4,0,4,90001
Marcas,53,53,40,4,1,8,13,23,0,0,13,0,14,90001
Cor da Tatuagem,55,55,11,4,1,8,24,5,0,0,9,0,24,90001
Chifres,56,56,8,4,1,8,20,5,0,0,7,0,20,90001
Venda,57,57,8,4,1,8,10,23,0,0,8,0,10,90001
Cor da Pele,58,58,16,5,0,9,3,13,0,0,1,0,1,90001
Rosto,59,59,0,5,0,9,1,13,0,0,2,0,3,90001
Estilo do Cabelo,60,60,0,5,0,9,4,13,0,0,3,0,4,90001
Cor do Cabelo,61,61,2,5,0,9,5,13,0,0,4,0,5,90001
Mandíbula,62,62,40,5,0,9,6,13,0,0,14,0,6,90001
Cor da Pele,63,63,16,5,1,10,3,13,0,0,1,0,1,90001
Rosto,64,64,0,5,1,10,1,13,0,0,2,0,3,90001
Estilo do Cabelo,65,65,0,5,1,10,4,13,0,0,3,0,4,90001
Cor do Cabelo,66,66,2,5,1,10,5,13,0,0,4,0,5,90001
Mandíbula,67,67,40,5,1,10,7,13,0,0,14,0,7,90001
Cor da Pele,68,68,80,6,0,11,2,18,0,0,165,0,1,90001
Estilo do Chifre,71,70,0,6,0,11,3,18,0,0,16,0,3,90001
Cor do Chifre,72,71,2,6,0,11,4,18,0,0,17,0,4,90001
Pelos Faciais,73,72,0,6,0,11,7,18,0,0,164,0,7,90001
Cor da Pele,74,73,80,6,1,12,2,18,0,0,165,0,1,90001
Estilo do Chifre,77,75,0,6,1,12,3,18,0,0,16,0,3,90001
Cor do Chifre,78,76,2,6,1,12,4,18,0,0,17,0,4,90001
Cabelo,79,77,0,6,1,12,6,18,0,0,15,0,6,90001
Cor da Pele,80,78,80,7,0,13,2,2,0,0,1,0,1,90001
Rosto,81,79,128,7,0,13,1,2,0,0,2,0,2,90001
Estilo do Cabelo,82,80,0,7,0,13,3,2,0,0,3,0,3,90001
Cor do Cabelo,83,81,2,7,0,13,4,2,0,0,4,0,4,90001
Barba,84,82,0,7,0,13,6,2,0,0,5,0,6,90001
Cor da Pele,85,83,80,7,1,14,2,2,0,0,1,0,1,90001
Rosto,86,84,128,7,1,14,1,2,0,0,2,0,2,90001
Estilo do Cabelo,87,85,0,7,1,14,3,2,0,0,3,0,3,90001
Cor do Cabelo,88,86,2,7,1,14,4,2,0,0,4,0,4,90001
Brincos,89,87,8,7,1,14,6,2,0,0,18,0,7,90001
Cor da Pele,90,88,80,8,0,15,2,2,0,0,1,0,1,90001
Rosto,91,89,128,8,0,15,1,2,0,0,2,0,2,90001
Estilo do Cabelo,92,90,0,8,0,15,3,2,0,0,3,0,3,90001
Cor do Cabelo,93,91,2,8,0,15,4,2,0,0,4,0,4,90001
Presas,94,92,0,8,0,15,5,2,0,0,19,0,5,90001
Cor da Pele,95,93,80,8,1,16,2,2,0,0,1,0,1,90001
Rosto,96,94,128,8,1,16,1,2,0,0,2,0,2,90001
Estilo do Cabelo,97,95,0,8,1,16,3,2,0,0,3,0,3,90001
Cor do Cabelo,98,96,2,8,1,16,4,2,0,0,4,0,4,90001
Presas,99,97,0,8,1,16,5,2,0,0,19,0,5,90001
Cor da Pele,100,98,80,9,0,17,2,2,0,0,1,0,1,90001
Rosto,101,99,128,9,0,17,1,2,0,0,2,0,2,90001
Estilo do Cabelo,102,100,0,9,0,17,3,2,0,0,3,0,3,90001
Cor do Cabelo,103,101,2,9,0,17,4,2,0,0,4,0,4,90001
Orelhas,104,102,0,9,0,17,10,3,0,0,20,0,10,90001
Cor da Pele,105,103,80,9,1,18,2,2,0,0,1,0,1,90001
Rosto,106,104,128,9,1,18,1,2,0,0,2,0,2,90001
Estilo do Cabelo,107,105,0,9,1,18,3,2,0,0,3,0,3,90001
Cor do Cabelo,108,106,2,9,1,18,4,2,0,0,4,0,4,90001
Orelhas,109,107,0,9,1,18,10,3,0,0,20,0,10,90001
Cor da Pele,110,108,80,10,0,19,2,2,0,0,1,0,1,90001
Rosto,111,109,128,10,0,19,1,2,0,0,2,0,2,90001
Estilo do Cabelo,112,110,0,10,0,19,3,2,0,0,3,0,3,90001
Cor do Cabelo,113,111,2,10,0,19,4,2,0,0,4,0,4,90001
Pelos Faciais,114,112,0,10,0,19,5,2,0,0,5,0,5,90001
Cor da Tatuagem,116,114,11,10,0,19,12,5,0,0,35,0,12,90001
Chifres,117,115,8,10,0,19,8,2,0,0,7,0,8,90001
Venda,118,116,8,10,0,19,9,2,0,0,8,0,9,90001
Cor da Pele,119,117,80,10,1,20,2,2,0,0,1,0,1,90001
Rosto,120,118,128,10,1,20,1,2,0,0,2,0,2,90001
Estilo do Cabelo,121,119,0,10,1,20,3,2,0,0,3,0,3,90001
Cor do Cabelo,122,120,2,10,1,20,4,2,0,0,4,0,4,90001
Brincos,123,121,72,10,1,20,12,3,0,0,21,0,12,90001
Cor da Tatuagem,125,123,11,10,1,20,24,5,0,0,35,0,24,90001
Chifres,126,124,8,10,1,20,5,2,0,0,7,0,5,90001
Venda,127,125,8,10,1,20,7,2,0,0,8,0,8,90001
Cor da Pele,128,126,80,11,0,21,2,2,0,0,1,0,1,90001
Rosto,129,127,128,11,0,21,1,2,0,0,2,0,2,90001
Estilo do Cabelo,130,128,0,11,0,21,3,2,0,0,3,0,3,90001
Cor do Cabelo,131,129,2,11,0,21,4,2,0,0,4,0,4,90001
Pelos Faciais,132,130,0,11,0,21,5,2,0,0,5,0,5,90001
Cor da Pele,133,131,80,11,1,22,2,2,0,0,1,0,1,90001
Rosto,134,132,128,11,1,22,1,2,0,0,2,0,2,90001
Estilo do Cabelo,135,133,0,11,1,22,3,2,0,0,3,0,3,90001
Cor do Cabelo,136,134,2,11,1,22,4,2,0,0,4,0,4,90001
