Code,FormatShort_lang,FormatLong_lang,LicenseAcceptText_lang,ID,NumericCode,Field_1_15_1_53009_006,Field_1_15_1_53009_007
USD,US$ %s,US$ %s,"Declaração do usuário: Ao clicar no botão Comprar Agora abaixo, eu declaro que li e concordei com os |HurlIndex:14|h|cff71d5ffTermos de Venda|r|h e |HurlIndex:15|h|cff71d5ffPolítica de Privacidade|r|h e confirmo esta compra.",1,840,16,833
GBP,£ %s,£ %s,"Clicando em Pagar Agora, você concorda com os |HurlIndex:16|h|cff71d5ffTermos de Venda|r|h e com a entrega imediata do seu pedido. Quando o processo de entrega tiver início, você perderá o direito de devolver seu pedido.",2,826,16,836
KRW,%s*,%s Moedas de Batalha,"Declaração do usuário: Ao clicar no botão Comprar Agora abaixo, eu declaro que li e concordei com os termos e condições relacionados a esta transação (incluindo os 
|HurlIndex:9|h|cff71d5ffTermos de Venda|r|h, a |HurlIndex:8|h|cff71d5ffPolítica de Reembolso|r|h e a |HurlIndex:13|h|cff71d5ffPolítica de Privacidade|r|h) e confirmo esta compra.",3,410,48,834
EUR,€ %s,€ %s,"Clicando em Pagar Agora, você concorda com os |HurlIndex:16|h|cff71d5ffTermos de Venda|r|h e com a entrega imediata do seu pedido. Quando o processo de entrega tiver início, você perderá o direito de devolver seu pedido.",4,978,16,836
RUB,%s p.,%s p.,"Clicando em Pagar Agora, você concorda com os |HurlIndex:16|h|cff71d5ffTermos de Venda|r|h e com a entrega imediata do seu pedido. Quando o processo de entrega tiver início, você perderá o direito de devolver seu pedido.",5,643,16,836
COP,$ %s,$ %s,"Declaração do usuário: Ao clicar no botão Comprar Já, eu declaro que li e concordei com os |HurlIndex:14|h|cff71d5ffTermos de Venda|r|h e a |HurlIndex:15|h|cff71d5ffPolítica de Privacidade|r|h e confirmo esta compra.",6,170,4,833
PEN,S/. %s,S/. %s,"Declaração do usuário: Ao clicar no botão Comprar Já, eu declaro que li e concordei com os |HurlIndex:14|h|cff71d5ffTermos de Venda|r|h e a |HurlIndex:15|h|cff71d5ffPolítica de Privacidade|r|h e confirmo esta compra.",7,604,4,833
ARS,US$ %s,US$ %s,"Declaração do usuário: Ao clicar no botão Comprar Agora abaixo, eu declaro que li e concordei com os |HurlIndex:14|h|cff71d5ffTermos de Venda|r|h e |HurlIndex:15|h|cff71d5ffPolítica de Privacidade|r|h e confirmo esta compra.",8,32,0,833
CLP,US$ %s,US$ %s,"Declaração do usuário: Ao clicar no botão Comprar Agora abaixo, eu declaro que li e concordei com os |HurlIndex:14|h|cff71d5ffTermos de Venda|r|h e |HurlIndex:15|h|cff71d5ffPolítica de Privacidade|r|h e confirmo esta compra.",9,152,0,833
MXN,US$ %s,US$ %s,"Declaração do usuário: Ao clicar no botão Comprar Agora abaixo, eu declaro que li e concordei com os |HurlIndex:14|h|cff71d5ffTermos de Venda|r|h e |HurlIndex:15|h|cff71d5ffPolítica de Privacidade|r|h e confirmo esta compra.",10,484,0,833
BRL,R$ %s,R$ %s,"Declaração do usuário: Ao clicar no botão Comprar Agora abaixo, eu declaro que li e concordei com os |HurlIndex:14|h|cff71d5ffTermos de Venda|r|h e |HurlIndex:15|h|cff71d5ffPolítica de Privacidade|r|h e confirmo esta compra.",11,986,0,833
AUD,US$ %s,US$ %s,"Declaração do usuário: Ao clicar no botão Comprar Agora abaixo, eu declaro que li e concordei com os |HurlIndex:14|h|cff71d5ffTermos de Venda|r|h e |HurlIndex:15|h|cff71d5ffPolítica de Privacidade|r|h e confirmo esta compra.",12,36,0,833
SGD,$ %s,$ %s,"Declaração do usuário: Ao clicar no botão Comprar Já, eu declaro que li e concordei com os |HurlIndex:14|h|cff71d5ffTermos de Venda|r|h e a |HurlIndex:15|h|cff71d5ffPolítica de Privacidade|r|h e confirmo esta compra.",13,702,0,833
CPT,%s*,%s Moedas de Batalha,"Declaração do usuário: Ao clicar no botão Comprar Agora abaixo, eu declaro que li e concordei com os |HurlIndex:18|h|cff71d5ffTermos de Venda|r|h e |HurlIndex:19|h|cff71d5ffPolítica de Privacidade|r|h e confirmo esta compra.",14,15,32,848
TPT,NT$ %s,NT$ %s,"Declaração do usuário: Ao clicar no botão Comprar Agora abaixo, eu declaro que li e concordei com os |HurlIndex:10|h|cff71d5ffTermos de Venda|r|h e |HurlIndex:20|h|cff71d5ffPolítica de Privacidade|r|h e confirmo esta compra.",15,16,36,840
XTS,%s XTS,%s XTS,,16,963,2,960
XHG,,,,17,17,7,0
XXX,,,,18,999,7,0
XSG,,,,19,19,7,0
XPG,,,,20,20,7,0
XTU,,,,21,21,2,0
XTE,,,,22,22,2,0
XTK,,,,23,23,2,0
XTW,,,,24,24,2,0
XTC,,,,25,25,2,0
XDC,,,,26,26,7,0
XTX,,,,27,28,2,0
JPY,¥ %s,¥ %s,"Declaração do usuário: Ao clicar no botão Comprar Agora abaixo, eu declaro que li e concordei com os |HurlIndex:14|h|cff71d5ffTermos de Venda|r|h e |HurlIndex:15|h|cff71d5ffPolítica de Privacidade|r|h e confirmo esta compra.",28,392,4,833
CAD,CAD %s,CAD %s,"Declaração do usuário: Ao clicar no botão Comprar Agora abaixo, eu declaro que li e concordei com os |HurlIndex:14|h|cff71d5ffTermos de Venda|r|h e |HurlIndex:15|h|cff71d5ffPolítica de Privacidade|r|h e confirmo esta compra.",29,124,0,833
NZD,NZD %s,NZD %s,"Declaração do usuário: Ao clicar no botão Comprar Agora abaixo, eu declaro que li e concordei com os |HurlIndex:14|h|cff71d5ffTermos de Venda|r|h e |HurlIndex:15|h|cff71d5ffPolítica de Privacidade|r|h e confirmo esta compra.",30,554,0,833
GEL,GEL %s,GEL %s,"Clicando em Pagar Agora, você concorda com os |HurlIndex:16|h|cff71d5ffTermos de Venda|r|h e com a entrega imediata do seu pedido. Quando o processo de entrega tiver início, você perderá o direito de devolver seu pedido.",31,981,16,836
TRY,TRY %s,TRY %s,"Clicando em Pagar Agora, você concorda com os |HurlIndex:16|h|cff71d5ffTermos de Venda|r|h e com a entrega imediata do seu pedido. Quando o processo de entrega tiver início, você perderá o direito de devolver seu pedido.",32,949,16,2020
KZT,KZT %s,KZT %s,"Clicando em Pagar Agora, você concorda com os |HurlIndex:16|h|cff71d5ffTermos de Venda|r|h e com a entrega imediata do seu pedido. Quando o processo de entrega tiver início, você perderá o direito de devolver seu pedido.",33,398,16,836
UAH,UAH %s,UAH %s,"Clicando em Pagar Agora, você concorda com os |HurlIndex:16|h|cff71d5ffTermos de Venda|r|h e com a entrega imediata do seu pedido. Quando o processo de entrega tiver início, você perderá o direito de devolver seu pedido.",34,980,16,836
