ID,Name_lang,SafeLocID,PlayerConditionID,Flags,Field_8_2_0_30080_005,Field_8_2_0_30080_006
6,Usar o portal do Sacrário dos Teurgos até a Floresta de Jade,7262,67395,4,1,10
7,"Sacrário dos Teurgos, Portal para Floresta de Jade",7263,924,0,2,0
8,Sair do Sacrário dos Teurgos,7264,924,4,0,30
9,Entrar no Sacrário dos Teurgos,7266,924,0,0,0
10,Usar o portal do Santuário Oriental da Terra até Uldum,7267,37426,0,1,0
11,Usar o portal do Santuário Oriental da Terra até o Monte Hyjal,7268,37427,0,1,0
12,Usar o portal do Santuário Oriental da Terra até o Planalto do Crepúsculo,7269,37428,0,1,0
13,Usar o portal do Santuário Oriental da Terra até Vashj'ir,7270,57340,0,1,0
14,Usar o portal do Santuário Oriental da Terra até Tol Barad,7271,924,0,1,0
15,Usar o portal do Santuário Oriental da Terra até o Geodomo,7272,37429,0,1,0
16,Uldum,7273,0,0,2,0
17,Monte Hyjal,7274,0,0,2,0
18,Usar o portal de Nordrassil até Ventobravo,7275,924,0,1,0
19,"Ventobravo, Santuário Oriental da Terra",7276,924,0,2,0
20,Planalto do Crepúsculo,7277,924,0,2,0
21,Vashj'ir,7278,924,0,2,0
22,"Santuário Oriental da Terra, Portal para Tol Barad",7279,924,0,2,0
23,Usar o portal da Base de Operações de Baradin até Ventobravo,7280,924,0,1,0
24,Geodomo,7281,924,0,2,0
25,Usar o portal do Templo da Terra até Ventobravo,7282,924,0,1,0
26,Usar o portal da Aldeia Pata'don até Ventobravo,7283,924,0,1,0
27,Usar o portal do Sacrário dos Teurgos até a Floresta do Canto Cristalino,7284,76876,4,1,10
28,"Sacrário dos Teurgos, Portal para Floresta do Canto Cristalino",7285,924,0,2,0
29,Usar o portal do Enclave Prateado até Ventobravo,7286,924,0,1,0
30,Usar o portal do Sacrário dos Teurgos até a Exodar,7287,924,4,1,10
31,"Sacrário dos Teurgos, Portal para Exodar",7288,924,0,2,0
32,Usar o portal da Ilha Névoa Lazúli até Darnassus,7289,924,1,1,0
33,"Costa Negra, Portal para Darnassus",7290,924,0,2,0
36,Usar o portal dos Degraus do Destino até Ventobravo,7293,924,0,1,0
37,Usar o portal do Sacrário dos Teurgos até Shattrath,7294,6289,4,1,10
38,"Shattrath, Terraço da Luz",7295,0,0,2,0
39,Usar o portal do Terraço da Luz até a Ilha de Quel'Danas,7296,0,0,1,0
40,"Terraço da Luz, Portal para Ilha de Quel'Danas",7297,0,0,2,0
41,Usar o portal do Terraço da Luz até a Ventobravo,7298,924,0,1,0
42,Usar o portal do Sacrário dos Teurgos até Ashran,7299,67397,4,1,10
43,"Ashran, Escudo Tonante",7300,924,2,2,0
44,Usar o portal de Escudo Tonante até Darnassus,7301,924,1,1,0
45,Usar o portal de Escudo Tonante até Altaforja,7302,924,1,1,0
46,"Escudo Tonante, Portal para Altaforja",7303,924,0,2,0
47,Usar o portal de Escudo Tonante até Ventobravo,7304,924,0,1,0
48,Usar o portal do Sacrário dos Teurgos até Azsuna,7305,67396,4,1,10
49,"Sacrário dos Teurgos, Portal para Azsuna",7306,924,0,2,0
50,Usar o portal do Palácio Desabado até Ventobravo,7307,924,0,1,0
51,Usar o portal do Sacrário dos Teurgos até Boralus,7308,67398,4,1,10
52,"Sacrário dos Teurgos, Portal para Boralus",7309,924,0,2,0
53,Usar o portal do Enclave Presagris até Ventobravo,7314,924,0,1,0
54,Usar o portal do Santuário das Sete Estrelas até Ventobravo,7315,924,0,1,0
55,Usar o portal do Salão dos Mistérios até a Península Fogo do Inferno,7316,924,1,1,0
56,"Degraus do Destino, Portal para Ventobravo",7317,924,1,2,0
57,Entrar no Metrô Correfundo,7318,924,0,1,0
58,Saída para Altaforja,7319,924,0,2,0
59,Embarcar no Metrô,7320,924,0,0,0
60,Embarcar no Metrô,7321,924,0,0,0
61,Usar o portal do Sacrário dos Sábios até Ventobravo,7322,62085,0,1,0
62,Usar o portal do Sacrário dos Sábios até a Exodar,7323,62085,0,1,0
63,Usar o portal do Sacrário dos Sábios até Altaforja,7324,62085,0,1,0
64,Tomar o barco de Ventobravo até Boralus,7325,924,0,1,0
65,Tomar o barco de Boralus até Ventobravo,7326,924,0,1,0
66,Tomar o barco de Ventobravo até a Bastilha Valentia,7327,924,0,0,0
67,Tomar o barco da Bastilha Valentia até Ventobravo,7343,924,0,0,0
68,Tomar o barco da Baía de Baradin até a Ilha Theramore,7328,924,0,0,0
69,Tomar o barco da Ilha Theramore até o Porto de Menethil,7329,924,0,0,0
70,Tomar o barco do Porto de Menethil até a Baía das Adagas,7330,924,0,0,0
71,Tomar o barco da Baía das Adagas até o Porto de Menethil,7331,924,0,0,0
72,Tomar o barco da Angra do Butim até a Vila Catraca,7332,0,0,0,0
73,Tomar o barco da Vila Catraca até a Angra do Butim,7333,0,0,0,0
74,Tomar o barco de Unu'pe até o Porto Moa'ki,7334,0,0,0,0
75,Tomar o barco do Porto Moa'ki até Unu'pe,7335,0,0,0,0
76,Tomar o barco do Porto Moa'ki até Kamagua,7336,0,0,0,0
77,Tomar o barco de Kamagua até o Porto Moa'ki,7337,0,0,0,0
78,Entrar no Sacrário dos Teurgos,7338,924,1,0,0
79,Entrar no Metrô Correfundo,7339,924,0,1,0
80,Saída para Ventobravo,7340,924,0,2,0
81,Porto de Boralus,7344,924,0,2,0
82,Falar com o Mestre de Doca para ir até Boralus,7345,924,0,1,0
83,Falar com o Mestre de Doca para ir até Boralus,7346,924,0,1,0
84,Tomar o barco de Vol'dun até Boralus,7347,924,0,1,0
85,Usar o Portal Negro para ir a Draenor,7348,69532,0,1,0
86,"Portal Negro para Escudo Tonante, Ashran",7349,33093,2,2,0
87,Portal Negro para Vale da Lua Negra,7350,924,2,2,0
88,Portal Negro para Ataque a Tanaan,7351,87481,0,2,0
89,Portal Negro para Península Fogo do Inferno,7352,0,0,2,0
90,Usar o Portal Negro para ir à Barreira do Inferno,7353,0,0,1,0
91,"Barreira do Inferno, Portal Negro",7348,0,0,2,0
92,Usar o Portal Negro para ir a Terralém,7348,69535,0,1,0
93,Usar o portal da Vindicaar para Dalaran,7354,0,0,1,0
94,Usar o portal da Vindicaar para Dalaran,7355,0,0,1,0
95,Usar o portal da Vindicaar para Dalaran,7356,0,0,1,0
96,"Plataforma de Krasus, Dalaran",7357,0,0,2,0
97,Entrada de Altaforja,7358,924,1,0,0
98,"Wizard's Sanctum, Portal to Shattrath [DNT TEMP]",7294,70119,1,1,0
99,Usar o portal do Santuário Ocidental da Terra até o Monte Hyjal,7386,37427,0,1,0
100,Usar o portal de Nordrassil até Orgrimmar,7387,923,0,1,0
101,Reduto do Desbravador,7388,923,0,2,0
102,Usar o portal do Santuário Ocidental da Terra até o Geodomo,7389,37429,0,1,0
103,Geodomo,7390,923,0,2,0
104,Usar o portal do Templo da Terra até Orgrimmar,7391,923,0,1,0
105,Usar o portal do Santuário Ocidental da Terra até o Planalto do Crepúsculo,7392,37428,0,1,0
106,Planalto do Crepúsculo,7393,923,0,2,0
107,Usar o portal do Porto Presa do Dragão até Orgrimmar,7394,76948,0,1,0
108,Santuário Ocidental da Terra,7395,923,0,2,0
109,Usar o portal do Santuário Ocidental da Terra até Uldum,7396,37426,0,1,0
110,Usar o portal do Santuário Ocidental da Terra até Vashj'ir,7397,57341,0,1,0
111,Vashj'ir,7398,923,0,2,0
112,Usar o portal do Santuário Ocidental da Terra até Tol Barad,7399,923,0,1,0
113,Tol Barad,7400,923,0,2,0
114,Usar o portal do Domínio do Grito Infernal até Orgrimmar,7401,923,0,1,0
115,Usar o portal do Reduto do Desbravador até Luaprata,7402,923,0,1,0
116,Luaprata,7403,923,0,2,0
117,Usar o portal da Torre Solfúria até Orgrimmar,7404,923,0,1,0
