ID,Name_lang,Description_lang,Cooldown,Duration,Flags,SchoolMask,IconFileDataID
1,DNT JasonTest Envirospell,,2,1,0,0,0
2,DNT JasonTest Ability Spell,"DNT Test test  Effect 0 Attack points $s0, Effect 1 Attack points % $s1, Effect 2 Flat points $s2, Effect 3 Flat points % $s3",4,2,1,0,461809
3,DNT Owen Test Double Effect,,3,0,0,0,0
4,Golpe Duplo,"Nadjia ataca o inimigo mais próximo duas vezes, causando $s1 e depois $s2 de dano Físico.",3,0,0,1,333546
5,Varredura com Asa,"Draven golpeia com as asas, causando $s1 de dano Físico a todos os inimigos.",1,0,0,1,2103875
6,Explosão de Sangue,"Theotar pulsa com sombra, causando $s1 de dano de Sombra a todos os inimigos ao alcance.",2,0,0,32,136118
7,Impacto de Esqueleto,Causa $s1 de dano Físico ao inimigo mais próximo.,2,1,0,32,3386321
8,Soco Falcão,"Eli golpeia velozmente como falcão, causando dano ao inimigo mais próximo.",1,0,0,8,132188
9,Uivo Curativo,Cura $s1% do máximo de pontos de vida de todos os aliados.,4,0,0,64,1033494
10,Galhada Estelar,"Esmaga o inimigo mais próximo, causando dano equivalente a $s1% do máximo de pontos de vida. A cada turno, cura $s3% do máximo dos próprios pontos de vida e causa dano de Gelo equivalente a $s2% do máximo de pontos de vida a todos os inimigos.",3,3,0,16,514019
11,Ataque Automático,Causa dano de ataque ao inimigo mais próximo.,0,0,0,1,1064261
12,Reconstrução Óssea,Cura $s1 pontos de vida de todos os aliados.,1,1,0,32,136230
13,Carícia Gentil,,0,0,0,8,132125
14,Carícia do Espírito,Anjali cura $s1 pontos de vida de todos os aliados.,3,0,0,32,132993
15,Ataque Automático,Causa dano a um inimigo distante.,0,0,0,1,135490
16,Abalo Anímico,"Thela arranca uma memória do inimigo mais distante, causando $s1 de dano de Sombra.",1,0,0,32,2065625
17,Especial de Terra de Tumba,"Cavo joga uma pá de Terra de Tumba em todos os inimigos, causando $s1 de dano de Gelo, e cura $s2 dos próprios pontos de vida.",0,0,0,16,134436
18,Asas da Fúria,"Nerith golpeia todos os inimigos em alcance corpo a corpo três vezes, causando $s1 de dano de Sombra com cada acerto.",4,0,0,32,2103919
