ID,Reaction_lang,FriendshipRepID,ReactionThreshold,OverrideColor
1,Estranho,2,0,0
2,Conhecido,2,8400,0
3,Camarada,2,16800,0
4,Amigo,2,25200,0
5,Bom Amigo,2,33600,0
6,Grande Amigo,2,42000,0
59,Estranho,16,0,0
60,Conhecido,16,8400,0
61,Camarada,16,16800,0
62,Amigo,16,25200,0
63,Bom Amigo,16,33600,0
64,Grande Amigo,16,42000,0
65,Estranho,17,0,0
66,Conhecido,17,8400,0
67,Camarada,17,16800,0
68,Amigo,17,25200,0
69,Bom Amigo,17,33600,0
70,Grande Amigo,17,42000,0
71,Estranho,18,0,0
72,Conhecido,18,8400,0
73,Camarada,18,16800,0
74,Amigo,18,25200,0
75,Bom Amigo,18,33600,0
76,Grande Amigo,18,42000,0
77,Estranho,19,0,0
78,Conhecido,19,8400,0
79,Camarada,19,16800,0
80,Amigo,19,25200,0
81,Bom Amigo,19,33600,0
82,Grande Amigo,19,42000,0
83,Estranho,20,0,0
84,Conhecido,20,8400,0
85,Camarada,20,16800,0
86,Amigo,20,25200,0
87,Bom Amigo,20,33600,0
88,Grande Amigo,20,42000,0
89,Estranho,21,0,0
90,Conhecido,21,8400,0
91,Camarada,21,16800,0
92,Amigo,21,25200,0
93,Bom Amigo,21,33600,0
94,Grande Amigo,21,42000,0
95,Estranho,22,0,0
96,Conhecido,22,8400,0
97,Camarada,22,16800,0
98,Amigo,22,25200,0
99,Bom Amigo,22,33600,0
100,Grande Amigo,22,42000,0
101,Estranho,23,0,0
102,Conhecido,23,8400,0
103,Camarada,23,16800,0
104,Amigo,23,25200,0
105,Bom Amigo,23,33600,0
106,Grande Amigo,23,42000,0
107,Estranho,24,0,0
108,Conhecido,24,8400,0
109,Camarada,24,16800,0
110,Amigo,24,25200,0
111,Bom Amigo,24,33600,0
112,Grande Amigo,24,42000,0
113,Aprendiz,25,0,0
114,Aprendiz,25,8400,0
115,Profissional,25,16800,0
116,Profissional,25,25200,0
117,Profissional,25,33600,0
118,Perito,25,42000,0
119,Estranho,26,0,0
120,Colega,26,8400,0
121,Camarada,26,16800,0
122,Amigo,26,25200,0
123,Grande Amigo,26,42000,0
124,Bom Amigo,26,33600,0
127,Grau 1,28,0,0
128,Grau 2,28,1000,0
129,Grau 3,28,2000,0
130,Grau 4,28,3000,0
131,Grau 5,28,4000,0
132,Grau 6,28,5000,0
133,Grau 7,28,6000,0
192,Grau 1,43,0,0
193,Grau 2,43,1000,0
194,Grau 3,43,2000,0
195,Grau 4,43,3000,0
196,Grau 5,43,4000,0
197,Grau 6,43,5000,0
198,Grau 7,43,6000,0
271,Grau Máximo,43,7000,0
272,Grau Máximo,28,7000,0
288,Não fornecido,72,0,0
289,Fornecido,72,10000,0
416,Guarda-costas,160,0,0
417,Guarda-costas de Confiança,160,10000,0
418,Copiloto Pessoal,160,20000,0
422,Guarda-costas,162,0,0
423,Guarda-costas de Confiança,162,10000,0
424,Copiloto Pessoal,162,20000,0
425,Guarda-costas,163,0,0
426,Guarda-costas de Confiança,163,10000,0
427,Copiloto Pessoal,163,20000,0
428,Guarda-costas,164,0,0
429,Guarda-costas de Confiança,164,10000,0
430,Copiloto Pessoal,164,20000,0
431,Guarda-costas,165,0,0
432,Guarda-costas de Confiança,165,10000,0
433,Copiloto Pessoal,165,20000,0
434,Guarda-costas,166,0,0
435,Guarda-costas de Confiança,166,10000,0
436,Copiloto Pessoal,166,20000,0
437,Guarda-costas,167,0,0
438,Guarda-costas de Confiança,167,10000,0
439,Copiloto Pessoal,167,20000,0
443,Grau 1,171,0,0
444,Grau 2,171,1000,0
445,Grau 3,171,2000,0
446,Grau 4,171,3000,0
447,Grau 5,171,4000,0
448,Grau 6,171,5000,0
449,Grau 7,171,6000,0
450,Grau 8,171,7000,0
451,Grau 1,172,0,0
452,Grau 2,172,1000,0
453,Grau 3,172,2000,0
454,Grau 4,172,3000,0
455,Grau 5,172,4000,0
456,Grau 6,172,5000,0
457,Grau 7,172,6000,0
458,Grau 8,172,7000,0
466,Intimidado,181,0,0
467,Estável,181,100,0
471,Intimidado,182,0,0
472,Estável,182,100,0
473,Potencializado,182,150,0
476,Intimidado,183,0,0
477,Saciado,183,200,0
481,Grau 9,171,8000,0
482,Grau Máximo,171,9000,0
483,Grau 9,172,8000,0
484,Grau Máximo,172,9000,0
485,Estado 0 - Seguidor,184,0,0
486,Estado 2 - Capítulo 2,184,21000,0
487,Estado 1 - Capítulo 1,184,45000,0
488,Estado 3 - Capítulo 3,184,60000,0
489,Intimidado,185,0,0
490,Estável,185,100,0
520,Estranho,193,0,0
521,Chapa,193,8400,0
522,Camarada,193,16800,0
523,Amigo,193,25200,0
524,Bom Amigo,193,33600,0
525,Melhor Amigo,193,42000,0
530,Estagiário,195,0,0
531,Residente Aprendiz,195,1000,0
532,Residente Veterano,195,2000,0
533,Primeiro Respondente,195,3000,0
534,Saciado,185,200,0
535,Saciado,181,200,0
536,Estável,183,100,0
543,Guarda-costas,198,0,0
544,Guarda-costas de Confiança,198,10000,0
545,Copiloto Pessoal,198,20000,0
546,Estranho,199,0,0
547,Colega,199,8400,0
548,Camarada,199,16800,0
550,Amigo,199,25200,0
551,Bom Amigo,199,33600,0
552,Estranho,200,0,0
553,Colega,200,8400,0
554,Camarada,200,16800,0
555,Bom Amigo,200,33600,0
556,Melhor Amigo,200,42000,0
562,Estranho,202,0,0
563,Colega,202,8400,0
564,Camarada,202,16800,0
565,Bom Amigo,202,33600,0
566,Melhor Amigo,202,42000,0
572,Estranho,204,0,0
573,Colega,204,8400,0
574,Camarada,204,16800,0
575,Bom Amigo,204,33600,0
576,Melhor Amigo,204,42000,0
582,Estranho,206,0,0
583,Colega,206,8400,0
584,Camarada,206,16800,0
585,Bom Amigo,206,33600,0
586,Melhor Amigo,206,42000,0
592,Estranho,208,0,0
593,Curiosidade,208,8400,0
594,Não Ameaçador,208,16800,0
595,Amigo Prestativo,208,33600,0
596,Melhor Amigo,208,42000,0
597,Melhor Amigo,199,42000,0
598,Amigo,200,25200,0
599,Amigo,202,25200,0
600,Amigo,204,25200,0
601,Amigo,206,25200,0
602,Amigo,208,25200,0
603,Dragonetinho,209,0,0
604,Aprendiz Temporal,209,1000,0
605,Andarilho do Tempo,209,2500,0
606,Cronófilo,209,4500,0
607,Aliado dos Brônzeos,209,7000,0
608,Reparador Temporal,209,10000,0
609,Senhor do Tempo,209,15000,0
611,Grau 1,210,0,0
612,Grau 2,210,1000,0
613,Grau 3,210,2000,0
614,Grau 4,210,3000,0
615,Grau 5,210,4000,0
616,Grau 6,210,5000,0
617,Grau 7,210,6000,0
618,Grau 8,210,7000,0
619,Grau 9,210,8000,0
620,Grau Máximo,210,9000,0
631,Grau 1,212,0,0
632,Grau 2,212,1000,0
633,Grau 3,212,2000,0
634,Grau 4,212,3000,0
635,Grau 5,212,4000,0
636,Grau 6,212,5000,0
637,Grau 7,212,6000,0
638,Grau 8,212,7000,0
639,Grau 9,212,8000,0
640,Grau Máximo,212,9000,0
641,Filhote,213,0,0
642,Infante,213,5000,0
643,Adolescente,213,15000,0
644,Adulto,213,30000,0
746,Filhote,315,0,0
750,Grau 1,316,0,0
751,Grau 2,316,300,0
752,Grau 3,316,600,0
753,Grau 4,316,900,0
754,Grau 1,317,0,0
755,Grau 2,317,300,0
756,Grau 3,317,600,0
757,Grau 4,317,900,0
758,Grau 1,318,0,0
760,Grau 3,318,600,0
761,Grau 4,318,900,0
766,Grau 1,320,0,0
767,Grau 2,320,300,0
768,Grau 3,320,600,0
769,Grau 4,320,900,0
774,Grau 5,316,1200,0
775,Grau 6,316,1500,0
776,Grau 7,316,1800,0
777,Grau 8,316,2100,0
778,Grau 9,316,2400,0
779,Grau 10,316,2700,0
780,Grau 11,316,3000,0
781,Grau 12,316,3300,0
782,Grau 13,316,3600,0
783,Grau 14,316,3900,0
784,Grau 15,316,4200,0
785,Grau 16,316,4500,0
786,Grau 17,316,4800,0
787,Grau 18,316,5100,0
788,Grau 19,316,5400,0
789,Grau 20,316,5700,0
790,Grau 21,316,6000,0
791,Grau 22,316,6300,0
792,Grau 23,316,6600,0
793,Grau 24,316,6900,0
794,Grau 25,316,7200,0
795,Grau 26,316,7500,0
