ID,Name_lang,Description_lang,SpecSetID
2,Presente Imorredouro de Azeroth,,1
3,Esfera da Supressão,"Energias arcanas poderosas revolvem nela, dando a você uma sensação de controle.",1
4,Ressonância da Veia do Mundo,"Quando Sargeras feriu Azeroth no fim da terceira invasão da Legião Ardente, o planeta sangrou azerita.",2
5,Essência da Íris Focalizadora,,160
6,Protocolo de Purificação,"Com a corrupção varrida de Uldir, a M.A.D.R.E. foi incumbida de pesquisar maneiras de restaurar Azeroth.",160
7,Ânima da Vida e Morte,,1
12,Caldeira das Chamas,"Chamas em fúria são uma força de destruição poderosíssima, mas também trazem vida nova.",2
13,Dínamo de Nulificação,"O interior parece completamente livre de matéria e energia, no entanto ela pesa.",1
14,Força Vital Condensada,O Coração de Azeroth é capaz de manipular azerita de maneiras totalmente inesperadas.,160
15,Ondas no Espaço,Cada momento é uma oportunidade de tomar a decisão certa.,2
16,Proteção Irredutível,,49
17,A Maré Ascendente,,49
18,Artífice do Tempo,,49
19,Poço da Existência,,49
20,Invocação da Mãe da Vida,,49
21,Condutor de Vitalidade,,49
22,Visão da Perfeição,"Sonhe com o futuro, concentre-se no agora.",173
23,Sangue do Inimigo,Seu Coração de Azeroth fervilha em fúria,160
24,Espírito da Preservação,,49
25,Égide das Profundezas,Imbui você com a proteção dos elementos.,1
27,Memória de Sonhos Lúcidos,Uma mente vazia é uma ferramenta desperdiçada.,173
28,Força Incontrolável,"Forças destrutivas redemoinham violentamente, à espera de serem liberadas.",160
32,Conflito e tribulação,,173
33,Toque do Sempiterno,,1
34,Força do Guardião,,1
35,Sopro da Morbidez,,160
36,Centelha da Inspiração,,160
37,Caos Disforme,,2
