Name_lang,ID,Field_12_0_0_63967_001,Flags,Field_12_0_0_63724_002,RoomWmoDataID,UiTextureAtlasElementID,WeightCost,ItemID,SortPriority
Cômodo Quadrado (Pequeno),1,1,4,0,5,31139,5,0,120
Corredor,2,1,4,0,7,31132,3,0,150
Closet,3,1,4,0,4,31130,1,0,145
Cômodo em T,6,1,4,0,162,31143,3,0,320
Cômodo Quadrado (Minúsculo),7,1,4,0,3,31140,2,0,110
Cômodo em L,8,1,4,0,163,31133,3,0,310
Cômodo Octogonal (Médio),9,1,4,0,165,31135,8,0,220
Escadaria (Esquerda),10,1,6,0,8,31142,7,0,420
Cômodo Quadrado (Médio),11,1,0,0,160,31138,12,0,130
Cômodo Quadrado (Grande),12,1,0,0,6,31137,20,0,140
Cômodo em Cruz,13,1,4,0,161,31131,4,0,330
Cômodo Octogonal (Pequeno),14,1,4,0,164,31136,4,0,210
Cômodo Octogonal (Grande),15,1,0,0,166,31134,16,0,230
Terreno Básico Médio,18,1,5,0,172,0,0,0,0
Entrada,46,1,5,0,177,0,0,0,0
Cômodo com Escadaria (Vazio),48,1,6,0,179,31144,6,0,430
Escadaria (Direita),50,1,6,0,180,31141,7,0,410
Sala do Conselho de Orgrimmar,132,3,8,0,202,35463,20,274673,840
Câmara do Fosso de Pedra de Orgrimmar,151,3,8,0,219,35465,5,274675,820
Cômodo Circular Diurno,223,3,8,0,233,32639,8,272045,710
Cômodo Circular Noturno,233,3,8,0,255,32640,8,0,720
Armaria de Ventobravo,273,3,8,0,305,35471,12,272997,930
Cozinha de Ventobravo,277,3,8,0,326,35474,5,274667,920
Sala de Exposição de Ventobravo,281,3,8,0,328,35472,5,274666,910
Grande Salão de Ventobravo,282,3,8,0,336,35473,20,274665,940
Armaria de Luaprata,283,3,8,0,337,35467,12,274663,1030
Escritório Espaçoso de Luaprata,285,3,8,0,345,35469,20,274664,1040
Sala de Exposição de Luaprata,286,3,8,0,346,35468,5,274661,1010
Sala do Templo de Bel'ameth,287,3,8,0,347,35461,20,274670,1140
Sala de Reuniões de Bel'ameth,288,3,8,0,348,35460,12,274668,1130
Teatro de Bel'ameth,289,3,8,0,349,35462,5,274669,1120
Quarto Aninhado de Bel'ameth,290,3,8,0,350,35459,5,274671,1110
Teatro de Orgrimmar,292,3,8,0,352,35466,12,274674,830
Sala de Exposição de Orgrimmar,294,3,8,0,353,35464,5,274676,810
Escritório Pequeno de Luaprata,307,3,8,0,371,35470,5,274662,1020
Celeiro de Cerro Oeste Outonal,400,3,8,0,378,36094,18,276243,750
Celeiro de Cerro Oeste Primaveril,401,3,8,0,379,31138,18,276244,760
