Name_lang,Description_lang,Map[0],Map[1],ID,JournalInstanceID,DungeonEncounterID,OrderIndex,FirstSectionID,UiMapID,MapDisplayConditionID,Flags,DifficultyMask
Glubtok,"En un arrebato de rabia, Glubtok desató sus poderosas facultades mágicas y redujo a cenizas su túmulo ogro. Al enterarse de su talento para la destrucción, los Defias contrataron al gigantesco mago ogro para controlar a sus trabajadores como supervisor jefe de Las Minas de la Muerte.",0.3652697,0.6122755,89,63,2976,1,2010,291,54460,2,1
Helix Rompengranajes,"Cuando era un artesano del Cártel Pantoque, a Helix le ofrecieron una cantidad mayor de lo que podría conseguir jamás como un ingeniero anónimo de la Horda para que dejase su oficio y se uniese a la Hermandad Defias. No tardó en aceptar el trabajo y renunciar a su antigua lealtad... tal como haría cualquier goblin con las ideas claras.",0.50199604,0.8682636,90,63,2977,2,2020,291,54460,2,1
Siegaenemigos 5000,"Los ingenieros Defias han pasado muchos días perfeccionando un nuevo modelo de cosechador basado en la unidad Siegaenemigos 4000. En cuanto esté terminado, la Hermandad cree que este terror mecánico podrá penetrar las armaduras de los soldados de Ventormenta como una guadaña cortando trigo.",0.12475067,0.75898206,91,63,2975,3,3448,292,54460,2,1
Almirante Rasgagruñido,"Cuando James Harrington sucumbió a la maldición huargen, destruyó a su amada familia y su carrera marítima en una escalofriante noche de sed de sangre. Adoptó el nombre de Rasgagruñido y huyó a los Páramos de Poniente donde accedió a tomar el mando del temible acorazado de la Hermandad Defias.",0.60479087,0.38772452,92,63,2974,4,2044,292,54460,2,1
"""Capitán"" Cocinitas","Cocinitas se autoproclamó capitán del acorazado de la Hermandad Defias tras la muerte de su último comandante. Aunque sigue realizando sus deberes oficiales como cocinero jefe, cualquiera que cuestione la validez de su título de capitán podría acabar sufriendo un caso grave de intoxicación alimenticia.",0.60479087,0.4550898,93,63,2973,5,2055,292,54460,2,1
Vanessa VanCleef,"De pequeña, Vanessa presenció la horrible muerte de su padre, y antiguo líder de la Hermandad Defias, Edwin VanCleef. Desde entonces ha tomado el manto del liderazgo y planea su venganza contra Ventormenta desde los oscuros pasillos de la fortaleza Defias en las Minas de la Muerte.",0.6546913,0.40269458,95,63,1081,6,2060,292,54460,2,2
Barón Ashbury,"Tras ser asesinado por los huargen y traído de vuelta a la no-muerte por los Renegados, el traidor barón Ashbury juega con sus enemigos, manteniéndolos con vida para poder infligirles dolor y sufrimiento.",0.66467136,0.732036,96,64,1069,1,2107,310,0,0,-1
Barón Filargenta,El barón Filargenta fue el amo del castillo antes de que cayera ante los huargen de Arugal. Ahora su espíritu maldito recurre a las mismas bestias que lo masacraron para castigar a nuevos intrusos.,0.30439156,0.7739521,97,64,1070,2,2118,311,0,0,-1
Comandante Vallefont,"Como buen soldado leal, el fantasma del comandante Vallefont vaga por la sala del consejo, asestando golpes profanos para vengar a su señor, el barón Filargenta.",0.2804395,0.5973054,98,64,1071,3,2137,310,0,0,-1
Lord Walden,"La mano derecha de Godfrey, el arrogante Lord Walden, juró dar lo que fuera, incluso su vida, por servir a su compatriota. Ahora, entre los no-muertos, Walden pretende cumplir su promesa atacando a sus adversarios con hielo y veneno.",0.5449104,0.53742516,99,64,1073,4,2156,313,0,0,-1
Lord Godfrey,"En el pasado fue un noble gilneano y un agente Renegado. Ahora, el astuto e ingenioso Lord Godfrey empuña dobles pistolas y dirige a implacables necrófagos carnívoros.",0.6846315,0.3353293,100,64,1072,5,2164,315,0,0,-1
Lady Naz'jar,"Lady Naz'jar jugó un papel clave para arrebatarle Vashj'ir a los brutales Kvaldir, lo que le granjeó el favor de la reina Azshara. Recientemente, Naz'jar encabezó un ataque contra Neptulon y consiguió acorralar al poderoso señor elemental en su sala del trono.",0.50499004,0.21556878,101,65,1045,1,28310,323,0,0,-1
Comandante Ulthok,"Ulthok es un ser increíblemente anciano al que sus maestros, los dioses antiguos, enviaron para ayudar a Lady Naz'jar a invadir el Trono de las Mareas. Manipulando poderes siniestros, Ulthok comanda legiones de camaradas ignotos en las profundas trincheras que rodean Vashj'ir.",0.50499004,0.42514968,102,65,1044,2,28314,323,0,0,-1
Dominamentes Ghur'sha,"Tras sus valerosos esfuerzos en la Brecha Abisal, el chamán del Anillo de la Tierra Erunak Hablapiedra fue raptado por las fuerzas naga y esclavizado por el dominamentes Ghur'sha. Se teme que esta aberración parásita ha tomado el control total de la mente, el cuerpo y las devastadoras facultades chamánicas de Erunak.",0.67465144,0.19311368,103,65,1046,3,28322,322,0,0,-1
Ozumat,"Las historias de los monstruosos krakens que asolan los mares de Azeroth quedaron relegadas a la leyenda... hasta ahora. Mediante oscuros métodos, los nagas han sometido a Ozumat, el patriarca de todos los kraken, a su voluntad y lo han desatado contra Neptulon y sus seguidores.",0.3253496,0.19311368,104,65,1047,4,28318,322,0,0,-1
Machacahuesos Rom'ogg,"Es uno de los escasos ogros ""eslabones perdidos"" de Terrallende. Machacahuesos Rom'ogg llamó la atención del culto del Martillo Crepuscular por la crueldad con que trataba a los demás ogros. Ahora preside la Cámara de Incineración, donde sacia sus ansias por torturar a otros.",0.5,0.70209587,105,66,1040,1,2356,283,0,0,-1
