ID,FullName_lang,ShortName_lang,GroupFinderCategoryID,OrderIndex,GroupFinderActivityGrpID,Flags,MinGearLevelSuggestion,PlayerConditionID,MapID,DifficultyID,AreaID,MaxPlayers,DisplayType,Field_11_0_7_57361_013,Field_11_0_7_57361_014,Field_11_0_7_57361_015,Field_11_0_7_57361_016,OverrideContentTuningID,MapChallengeModeID
2,Teldrassil,Teldrassil,1,0,3,258,0,0,1,0,141,0,4,0,0,0,0,0,0
3,Páramos de Poniente,Páramos de Poniente,1,0,2,258,0,0,0,0,40,0,4,0,0,0,0,0,0
4,Asedio de Orgrimmar (Normal),Normal,3,0,1,35,0,0,1136,14,0,30,0,0,0,0,0,0,0
6,Arena (2v2),2c2,4,0,0,36,0,78463,0,0,0,2,2,0,0,0,0,0,0
7,Arena (3v3),3c3,4,1,0,36,0,78463,0,0,0,3,2,0,0,0,0,0,0
9,Núcleo de magma,Núcleo de magma,3,-1,0,34,0,0,409,9,0,40,0,0,0,0,0,0,0
14,Refriega de arena (2v2),2c2,7,0,0,36,0,86427,0,0,0,2,2,0,0,0,0,0,0
15,Campos de batalla,Campos de batalla,8,0,0,36,0,86429,0,0,0,5,1,0,0,0,0,0,0
16,JcE personalizado,Personalizado,6,0,0,1058,0,0,0,0,0,0,0,0,0,0,0,0,0
17,JvJ personalizado,JcJ personalizado,6,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Minas de la Muerte (Normal),Normal,2,0,5,98,0,0,36,1,0,5,1,0,0,0,0,0,0
19,Campos de Batalla Puntuados,Campos de Batalla Puntuados,9,0,0,36,0,78463,0,0,0,0,0,0,0,0,0,0,0
21,Minas de escoria Machacasangre (Normal),Normal,2,1,6,99,0,0,1175,1,0,5,1,0,0,0,0,0,0
22,Muelles de Hierro (Normal),Normal,2,1,7,99,50,87337,1195,1,0,5,1,0,0,0,0,0,0
23,Auchindoun (Normal),Normal,2,1,8,99,0,0,1182,1,0,5,1,0,0,0,0,0,0
24,Trecho Celestial (Normal),Normal,2,1,9,99,0,0,1209,1,0,5,1,0,0,0,0,0,0
25,Depósito Riel siniestro (Normal),Normal,2,1,10,99,0,87337,1208,1,0,5,1,0,0,0,0,0,0
26,El Sempibrote (Normal),Normal,2,1,11,99,0,0,1279,1,0,5,1,0,0,0,0,0,0
27,Cementerios de Sombraluna (Normal),Normal,2,1,12,99,0,0,1176,1,0,5,1,0,0,0,0,0,0
28,Cumbre de Roca Negra superior (Normal),Normal,2,1,13,99,0,0,1358,1,0,5,1,0,0,0,0,0,0
29,Minas de Escoria Machacasangre (Heroico),Heroico,2,2,6,99,0,0,1175,2,0,5,1,0,0,0,0,0,0
30,Muelles de Hierro (Heroico),Heroico,2,2,7,99,50,87337,1195,2,0,5,1,0,0,0,0,0,0
31,Auchindoun (Heroico),Heroico,2,2,8,99,0,0,1182,2,0,5,1,0,0,0,0,0,0
32,Trecho Celestial (Heroico),Heroico,2,2,9,99,0,0,1209,2,0,5,1,0,0,0,0,0,0
33,Depósito Riel siniestro (Heroico),Heroico,2,2,10,99,0,87337,1208,2,0,5,1,0,0,0,0,0,0
34,El Sempibrote (Heroico),Heroico,2,2,11,99,0,0,1279,2,0,5,1,0,0,0,0,0,0
35,Cementerios de Sombraluna (Heroico),Heroico,2,2,12,99,0,0,1176,2,0,5,1,0,0,0,0,0,0
36,Cumbre de Roca Negra superior (Heroico),Heroico,2,2,13,99,0,0,1358,2,0,5,1,0,0,0,0,0,0
37,Gran Magullador (Normal),Normal,3,0,14,35,0,27290,1228,14,0,30,0,0,0,0,0,0,0
38,Gran Magullador (Heroico),Heroico,3,0,14,35,0,27291,1228,15,0,30,0,0,0,0,0,0,0
39,Fundición de Roca Negra (Normal),Normal,3,0,15,35,0,27806,1205,14,0,30,0,0,0,0,0,0,0
40,Fundición de Roca Negra (Heroico),Heroico,3,0,15,35,0,27807,1205,15,0,30,0,0,0,0,0,0,0
41,Asedio de Orgrimmar (Heroico),Heroico,3,0,1,35,0,0,1136,15,0,30,0,0,0,0,0,0,0
42,Asedio de Orgrimmar (Mítico),Mítico,3,0,1,35,0,0,1136,16,0,20,0,0,0,0,0,0,0
43,Naxxramas (10 jugadores),10 jugadores,3,0,16,35,0,0,533,3,0,10,0,0,0,0,0,0,0
44,Naxxramas (25 jugadores),25 jugadores,3,0,16,35,0,0,533,4,0,25,0,0,0,0,0,0,0
45,Karazhan,Karazhan,3,0,0,35,0,0,532,3,0,10,0,0,0,0,0,0,0
46,Ciudadela de la Corona de Hielo (10 Normal),10 Normal,3,0,17,547,0,0,631,3,0,10,0,0,0,0,0,0,0
47,Ciudadela de la Corona de Hielo (10 Heroico),10 Heroico,3,0,17,547,0,0,631,5,0,10,0,0,0,0,0,0,0
48,Ciudadela de la Corona de Hielo (25 Normal),25 Normal,3,0,17,547,0,0,631,4,0,25,0,0,0,0,0,0,0
49,Ciudadela de la Corona de Hielo (25 Heroico),25 Heroico,3,0,17,547,0,0,631,6,0,25,0,0,0,0,0,0,0
50,Cuevas de los Lamentos (Normal),Cuevas de los Lamentos,2,0,0,98,0,0,43,1,0,5,1,0,0,0,0,0,0
51,Scholomance (Normal),Normal,2,0,18,98,0,0,1007,1,0,5,1,0,0,0,0,0,0
52,Sima Ígnea (Normal),Sima Ígnea,2,0,0,98,0,0,389,1,0,5,1,0,0,0,0,0,0
53,Castillo de Colmillo Oscuro (Normal),Normal,2,0,19,98,0,0,33,1,0,5,1,0,0,0,0,0,0
54,Cavernas de Brazanegra (Normal),Cavernas de Brazanegra,2,0,0,98,0,0,48,1,0,5,1,0,0,0,0,0,0
55,Mazmorras de Ventormenta (Normal),Mazmorras de Ventormenta,2,0,0,98,0,0,34,1,0,5,1,0,0,0,0,0,0
56,Gnomeregan (Normal),Gnomeregan,2,0,0,98,0,0,90,1,0,5,1,0,0,0,0,0,0
57,Horado Rajacieno (Normal),Horado Rajacieno,2,0,0,98,0,0,47,1,0,5,1,0,0,0,0,0,0
58,Zahúrda Rajacieno (Normal),Zahúrda Rajacieno,2,0,0,98,0,0,129,1,0,5,1,0,0,0,0,0,0
59,Uldaman (Normal),Uldaman,2,0,0,98,0,0,70,1,0,5,1,0,0,0,0,0,0
60,Zul'Farrak (Normal),Zul'Farrak,2,0,0,98,0,0,209,1,0,5,1,0,0,0,0,0,0
61,Maraudon (Normal),Maraudon,2,0,0,98,0,0,349,1,0,5,1,0,0,0,0,0,0
62,Templo Sumergido (Normal),Templo Sumergido,2,0,0,98,0,0,109,1,0,5,1,0,0,0,0,0,0
63,Profundidades de Roca Negra (Normal),Profundidades de Roca Negra,2,0,0,98,0,0,230,1,0,5,1,0,0,0,0,0,0
64,Cumbre de Roca Negra inferior (Normal),Cumbre de Roca Negra inferior,2,0,0,98,0,0,229,1,0,5,1,0,0,0,0,0,0
65,La Masacre (Normal),La Masacre,2,0,0,98,0,0,429,1,0,5,1,0,0,0,0,0,0
66,Stratholme (Normal),Stratholme,2,0,0,98,0,0,329,1,0,5,1,0,0,0,0,0,0
67,Murallas del Fuego Infernal (Normal),Normal,2,0,20,98,0,0,543,1,0,5,1,0,0,0,0,0,0
68,El Horno de Sangre (Normal),Normal,2,0,21,98,0,0,542,1,0,5,1,0,0,0,0,0,0
69,Salas Arrasadas (Normal),Normal,2,0,22,98,0,0,540,1,0,5,1,0,0,0,0,0,0
70,Recinto de los Esclavos (Normal),Normal,2,0,23,98,0,0,547,1,0,5,1,0,0,0,0,0,0
71,La Sotiénaga (Normal),Normal,2,0,24,98,0,0,546,1,0,5,1,0,0,0,0,0,0
72,La Cámara de Vapor (Normal),Normal,2,0,25,98,0,0,545,1,0,5,1,0,0,0,0,0,0
73,Tumbas de Maná (Normal),Normal,2,0,26,98,0,0,557,1,0,5,1,0,0,0,0,0,0
74,Criptas Auchenai (Normal),Normal,2,0,27,98,0,0,558,1,0,5,1,0,0,0,0,0,0
75,Salas Sethekk (Normal),Normal,2,0,28,98,0,0,556,1,0,5,1,0,0,0,0,0,0
76,Laberinto de las Sombras (Normal),Normal,2,0,29,98,0,0,555,1,0,5,1,0,0,0,0,0,0
77,Cámaras Escarlata (Normal),Normal,2,0,30,98,0,0,1001,1,0,5,1,0,0,0,0,0,0
