ID,Name_lang,PlayerConditionID,VisibleTrackingQuestID,QuestFeedbackEffectID,Flags,MaxHeight,MinHeight,VignetteType,RewardQuestID,UiWidgetSetID,UiMapPinInfoID,ObjectiveType
4,Vignette Test Kill,0,0,89,66,0,0,0,0,0,1,0
5,Vignette Test Loot,18071,0,108,0,0,0,0,0,0,0,0
9,Vignette Test Event,10345,0,90,2,0,0,0,0,0,0,0
10,Aplastaestrellas Roghash,22188,0,89,0,0,0,0,0,0,0,0
11,Farah Caminante del Tesoro,22189,0,88,0,0,0,0,0,0,0,0
12,Draenei capturado,22190,0,89,0,0,0,0,0,0,0,0
13,El Vidente del Vacío,22191,0,89,0,0,0,0,0,0,0,0
14,Uraka,22192,0,89,0,0,0,0,0,0,0,0
15,Synodicus,22193,0,89,0,0,0,0,0,0,0,0
16,Cristal de defensa embaari,22194,0,90,0,0,0,0,0,0,0,0
17,Vacío misterioso,22196,0,90,0,0,0,0,0,0,0,0
18,El Desintegrador,22197,0,89,0,0,0,0,0,0,0,0
19,Profecía de Jerrikar,22198,0,89,0,0,0,0,0,0,0,0
20,Profecía de Kraator,22199,0,89,0,0,0,0,0,0,0,0
21,Profecía del Vigía de distorsiones,22200,0,89,0,0,0,0,0,0,0,0
22,Construcción del desintegrador,22201,0,89,0,0,0,0,0,0,0,0
23,Decifrahojas Kurri,22202,0,89,0,0,0,0,0,0,0,0
24,Tesoro de cadena de hierro,22203,0,88,0,0,0,0,0,0,0,0
25,Higrocibe,22205,0,89,0,0,0,0,0,0,0,0
26,Pezuña de roca,22206,0,89,0,0,0,0,0,0,0,0
27,Talby,22213,0,90,0,0,0,0,0,0,0,0
28,Tesoro de Montaña Sombría,22215,0,88,0,0,0,0,0,0,0,0
29,Bergzoid,22216,0,89,0,0,0,0,0,0,0,0
30,Yggdrel,22217,33389,89,0,0,0,0,0,0,0,0
33,Picasangre,19147,0,89,0,0,0,0,0,0,0,0
34,Crujecolmillos,0,0,89,0,0,0,0,0,0,0,0
35,Quijasaña,0,0,89,0,0,0,0,0,0,0,0
36,Cadozo,0,0,89,0,0,0,0,0,0,0,0
37,Aetha,0,0,89,0,0,0,0,0,0,0,0
38,Espíritu de Lao-Fe,0,0,89,0,0,0,0,0,0,0,0
39,Bai-Jin el Carnicero,0,0,89,0,0,0,0,0,0,0,0
40,Gochao el Severo,19146,0,89,0,0,0,0,0,0,0,0
41,Gaohun el Desmembraalmas,19147,0,89,0,0,0,0,0,0,0,0
42,General Temuja,0,0,89,0,0,0,0,0,0,0,0
43,Maestro de las Sombras Sydow,0,0,89,0,0,0,0,0,0,0,0
44,Wulon,0,0,89,0,0,0,0,0,0,0,0
45,Huo-Shuang,19147,0,89,0,0,0,0,0,0,0,0
46,Baolai el Inmolador,0,0,89,0,0,0,0,0,0,0,0
47,Vyraxxis,0,0,89,0,0,0,0,0,0,0,0
48,Kri'chon,0,0,89,0,0,0,0,0,0,0,0
49,Cerveza muy apestosa,0,0,90,0,50,-50,0,0,0,0,0
50,Zesqua,0,0,89,0,50,-50,0,0,0,0,0
51,Tesoro hundido,22051,0,88,0,50,-50,0,0,0,0,0
52,Zarhym entero,22056,0,90,0,50,-50,0,0,0,0,0
53,Mascagrullas,0,0,89,0,50,-50,0,0,0,0,0
54,Trastos del Guardanegro,22347,0,88,0,50,0,0,0,0,0,0
55,Alijo del tesoro de Kukuru,0,0,88,0,50,-50,0,0,0,0,0
56,Cofre del tesoro atado con cuerda,0,0,88,8,0,-30,0,0,0,0,0
57,Cofre del tesoro reluciente,0,0,88,8,0,-50,0,0,0,0,0
58,Cartera del tesoro reluciente,0,0,88,8,50,-50,0,0,0,0,0
59,Quelón,0,0,89,0,50,-50,0,0,0,0,0
60,Karkanos,0,0,89,0,50,-50,0,0,0,0,0
61,Batalla del Percebe,0,0,90,0,0,0,0,0,0,0,0
62,Jeremy's Test Vignette,0,0,252,66,0,0,0,0,0,0,0
63,Dienteluna,0,0,89,0,0,0,0,0,0,0,0
64,Derrumbamiento,22415,0,90,0,50,-50,0,0,0,0,0
65,Astado acerado Cueracero,0,0,89,0,50,-50,0,0,0,0,0
66,Sanador de hojas,0,0,89,0,0,-50,0,0,0,0,0
67,Gran tortuga Irazón,0,0,89,0,50,-50,0,0,0,0,0
68,Ganso esmeralda,0,0,89,0,50,-50,0,0,0,0,0
69,Gu'chi el Portaenjambres,0,0,89,0,50,-50,0,0,0,0,0
70,Espíritu de fuego de jade,22604,0,89,0,50,-50,0,0,0,0,0
71,Ossotremulus,0,0,89,0,50,-50,0,0,0,0,0
72,Whizzig,0,0,90,0,50,-50,0,0,0,0,0
73,Zhu Gon el Agrio,0,0,89,0,50,-50,0,0,0,0,0
74,Espectrante,0,0,89,0,50,-50,0,0,0,0,0
75,Garnia,120653,0,977,66660,0,0,0,0,0,0,0
76,Musgo de roca,120653,0,977,66660,0,0,0,0,0,0,0
77,Carbonos,120653,0,977,66660,0,0,0,0,0,0,0
78,Tsavo'ka,120653,0,977,66660,0,0,0,0,0,0,0
79,Huolon,120653,0,977,66660,0,0,0,0,0,0,0
80,Pinzaespina monstruoso,120653,0,977,66660,0,0,0,0,0,0,0
81,Buffo,120653,0,977,66660,0,0,0,0,0,0,0
82,Barco aterrador Vazuvius,120653,0,977,66660,0,0,0,0,0,0,0
83,Golganarr,120653,0,977,66660,0,0,0,0,0,0,0
84,Pitón imperial,120653,0,977,66660,0,0,0,0,0,0,0
85,Fauce Eterna,120653,0,977,66660,0,0,0,0,0,0,0
86,Sacerdote ilustre de las llamas,120653,0,977,66660,0,0,0,0,0,0,0
87,Vigía Osu,120653,0,977,66660,0,0,0,0,0,0,0
88,Urdur el Cauterizador,120653,0,977,66660,0,0,0,0,0,0,0
89,Jakur de Ordon,120653,0,977,66660,0,0,0,0,0,0,0
