ID,Name_lang,Description_lang,SpecSetID
2,Dádiva imperecedera de Azeroth,,1
3,Esfera de supresión,"Energías arcanas poderosas se mueven a su alrededor, lo que te otorga una mayor sensación de control.",1
4,Resonancia de veta del mundo,"Cuando Sargeras hirió a Azeroth al final de la tercera invasión de la Legión Ardiente, la azerita comenzó a brotar del planeta.",2
5,Esencia de Iris de enfoque,,160
6,Protocolo de purificación,"Una vez que se eliminó la corrupción de Uldir, a MADRE le asignaron la tarea de investigar formas de reparar Azeroth.",160
7,Ánima de vida y muerte,,1
12,El Crisol de Llamas,"Un fuego implacable es una fuerza de destrucción masiva, y el creador de vida nueva.",2
13,Dínamo de anulación,"El interior parece completamente vacío de energía y materia; sin embargo, es pesado.",1
14,Fuerza vital condensada,El Corazón de Azeroth tiene la capacidad de manipular azerita de las formas menos pensadas.,160
15,Desgarro espacial,Cada momento es una oportunidad para tomar la decisión correcta.,2
16,Resguardo inquebrantable,,49
17,La marea eternamente creciente,,49
18,Artificio del tiempo,,49
19,Pozo de la existencia,,49
20,Invocación de la Protectora,,49
21,Conducto de vitalidad,,49
22,Visión de perfección,"Sueña con el futuro, concéntrate en el presente.",173
23,Sangre del enemigo,Tu Corazón de Azeroth arde de furia,160
24,Espíritu de preservación,,49
25,Égida de las profundidades,Te otorga la protección de los elementos.,1
27,Recuerdos de sueños lúcidos,Una mente vacía es una herramienta desperdiciada.,173
28,Fuerza desatada,Fuerzas destructivas se arremolinan con violencia a la espera de ser liberadas.,160
32,Conflicto y discordia,,173
33,Toque de la eternidad,,1
34,Fuerza del celador,,1
35,Aliento de los moribundos,,160
36,Chispa de inspiración,,160
37,El Vacío amorfo,,2
