Name_lang,Description_lang,Objective_lang,ID,BattlemasterListID,LFGDungeonsID,RewardsQuestID
Gresca de prueba,Descripción de Gresca de prueba.,,1,0,2041,0
Gresca: Costasur contra Molino Tarren,Combate a muerte por equipos,"- Mata a jugadores enemigos para ganar puntos
- Las muertes con honor aumentan tu clasificación
- Las muertes con clasificación más alta otorgan más puntos",2,789,0,0
Gresca: Templo de Hotmogu,Orbes de poder,"- Celeridad aumentada 
- Velocidad de movimiento aumentada
- Tiempos de reaparición reducidos",3,858,0,0
Gresca: Gravedad cero,Dominación elevada,"- La gravedad se modifica en intervalos regulares
- El portador de la bandera caerá al suelo
- Todos los demás volarán por los aires",4,859,0,0
Gresca: Ventisca de Arathi,Dominación escarchada,"- Captura los objetivos
- Visibilidad reducida
- El terreno está congelado",5,847,0,0
Gresca: Volcada del Céfiro,Bolavolcada,"- Recoge bolavolcadas en las minas
- Lleva las bolavolcadas a la base enemiga
- Dispara o haz volcadas",6,860,0,0
Gresca: Ojo del cuerno,Dominación de cabra,"- ¡Disfruta de tu montura de cabra!
- Tu cabra tiene un derribo
- El derribo es más fuerte con la distancia",7,862,0,0
Gresca: Casa llena,Arena 15 vs. 15,"- Combate a muerte por equipos
- 15 jugadores por equipo
- El último equipo que queda en pie gana",8,866,0,0
Gresca: Revuelta Grito de Guerra,Captura las banderas,"- Cada equipo tiene varias banderas
- Para la captura se requiere solo una bandera
- Recoge cubos de potenciación aleatorios",9,861,0,0
Gresca: Enfrentamiento Shadopan,Arena 5c5,"- Arena 5c5
- Derrota al jefe mogu del equipo oponente para ganar
- Abre el cofre que se invoca para fortalecerte",10,853,0,0
Gresca: Los seis magníficos,Campos de batalla 6c6,"- 6 jugadores por equipo
- Modalidades de juego nuevas",11,879,0,0
Gresca: Los seis magníficos - La Batalla por Gilneas,Campos de batalla 6c6,"- 6 jugadores por equipo
- Modalidades de juego nuevas",12,885,0,0
Gresca: Los seis magníficos - Garganta Grito de Guerra,Campos de batalla 6c6,"- 6 jugadores por equipo
- Modalidades de juego nuevas",13,886,0,0
Gresca: Los seis magníficos - Minas Lonjaplata,Campos de batalla 6c6,"- 6 jugadores por equipo
- Modalidades de juego nuevas",14,883,0,0
Gresca: Los seis magníficos - Templo de Kotmogu,Campos de batalla 6c6,"- 6 jugadores por equipo
- Modalidades de juego nuevas",15,884,0,0
Gresca: Los seis magníficos - Ojo de la tormenta,Campos de batalla 6c6,"- 6 jugadores por equipo
- Modalidades de juego nuevas",16,882,0,0
