ID,Name_lang,Tooltip_lang,Field_10_1_0_48776_002_lang,Field_8_2_0_30430_003
57,Banderas capturadas,Veces que has capturado la bandera,Banderas capturadas,0
58,Murallas destruidas,Veces que has destruido murallas enemigas.,Murallas destruidas,0
59,Edificios destruidos,Veces que has destruido edificios enemigos.,Edificios destruidos,0
60,Puertas destruidas,Veces que has destruido una puerta,Puertas destruidas,0
61,Cementerios defendidos,Veces que se ha evitado la captura de un cementerio,Cementerios defendidos,0
62,Banderas recuperadas,Veces que has devuelto la bandera a tu base desde el campo de batalla,Banderas recuperadas,0
63,Torres asaltadas,Veces que se ha robado la bandera enemiga de la torre,Torres asaltadas,0
64,Objetivos secundarios,Cantidad de unidades secundarias activadas,Objetivos secundarios,0
65,Bases asaltadas,Veces que se ha robado la bandera enemiga de la base,Bases asaltadas,0
67,Torres defendidas,Veces que se ha evitado que la captura de una torre,Torres defendidas,0
69,Bases defendidas,Veces que se ha impedido la captura de una base,Bases defendidas,0
70,Demoledores destruidos,Veces que has destruido un demoledor,Demoledores destruidos,0
71,Cementerios asaltados,Veces que se ha robado la bandera enemiga del cementerio,Cementerios asaltados,0
75,Vagonetas controladas,Vagonetas que has ayudado a controlar,Vagonetas controladas,0
78,Vagonetas capturadas,Veces que has capturado la vagoneta enemiga,Vagonetas capturadas,0
79,Vagonetas recuperadas,Veces que has devuelto la vagoneta a tu base desde el campo de batalla,Vagonetas recuperadas,0
81,Minas defendidas,Veces que se ha evitado la captura de una mina,Minas defendidas,0
87,Posesiones de orbe,Veces que has controlado un orbe,Posesiones de orbe,0
88,Puntos de victoria,Cantidad de puntos de victoria obtenidos,Puntos de victoria,0
89,Puntaje,Contribución a la victoria,Puntuación,0
98,Artefactos recogidos,Cantidad total de fragmentos de artefacto que has recogido y entregado.,Artefactos recogidos,0
99,Azerita recolectada,Cantidad total de azerita que has recolectado.,Azerita recolectada,0
102,Ingredientes recogidos,Cantidad de ingredientes recogidos,Ingredientes recogidos,0
1092,Minas asaltadas,Veces que se ha robado la bandera enemiga de la base,Minas asaltadas,0
1093,Banderas capturadas,Veces que has capturado la bandera,Banderas capturadas,0
1097,Rondas ganadas,,Rondas|nganadas,0
1100,Capturas del cristal,Veces que has capturado el cristal,Capturas del cristal,0
