ID,OverrideName_lang,Field_9_1_0_38709_001_lang,Flags
1,Doug Test,,1
2,Doug Test 2,,0
3,Akunda el Akunda,,1
4,Akunda el Sabelotodo,,1
5,Akunda el Ansioso,,1
6,Akunda el Astuto,,1
7,Akunda el Desconcertado,,1
8,Akunda el Despiadado,,1
9,Akunda el Inteligente,,1
10,Akunda el Condenado,,1
11,Akunda el Tímido,,1
12,Akunda el Excéntrico,,1
13,Akunda el Efusivo,,1
14,Akunda el Posibilitador,,1
15,Akunda el Olvidadizo,,1
16,Akunda el Leal,,1
17,Akunda el Impasible,,1
18,Akunda el Original,,1
19,Akunda el Pasivo-Agresivo,,1
20,Akunda el Apenado,,1
21,Akunda el Reconocido,,1
22,Akunda el Reverente,,1
23,Akunda el Ricachón,,1
24,Akunda el Único,,1
25,Akunda el Inquebrantable,,1
26,Boca de dragón saciado,,1
27,Droozen,,1
28,Ghaanam,,1
29,Thoodhon,,1
30,Greenom,,1
31,Pryyshin,,1
32,Flaadym,,1
33,Khaalum,,1
34,Maagrym,,1
35,"Thogro, el Devorador",,0
36,"Khemkan, la Incompasiva",,0
37,"Xzzikti, el Desertor",,0
38,Furia coagulada,,1
39,Temor coagulado,,1
40,Soledad coagulada,,1
41,Rencor coagulado,,1
42,Dolor coagulado,,1
43,Incertidumbre coagulada,,1
44,Pena coagulada,,1
45,Pérdida coagulada,,1
46,Inquietud coagulada,,1
47,Melancolía coagulada,,1
48,Odio creciente,,1
49,Terror creciente,,1
50,Aislamiento creciente,,1
51,Desesperación creciente,,1
52,Agonía creciente,,1
53,Tormento creciente,,1
54,Aguijonero ilusorio,,0
55,Colmillo de sable ilusorio,,0
56,Magullador ilusorio,,0
57,Behemoth ilusorio,,0
58,Manifestación del miedo,,0
59,"Pallaval, el Parcial",,0
60,"Trikidi, la Sangrienta",,0
61,"Zee'Gee'Tee, la Fanática",,0
62,"Lilizzinnk, la Obscena",,0
63,"Boppe, el Humillado",,0
64,"Vortophe, el Innombrable",,0
65,"Jonapa, la Opulenta",,0
66,Maynard,,0
67,El Cazador astado,,0
68,Suma sacerdotisa Selenis,,0
69,Señor Mordiscos,,0
70,Yu'gaz,,0
71,Reginald,,0
72,Pinchoso,,0
73,El Músculo,,1
74,"Zill'kee, la Segadora de mundos",,0
75,"Moongo, el Rey del sol",,0
76,Discípulo del valor,,0
77,Rathnato,,0
78,Thultain,,0
79,Mal'endra,,0
80,Fel'endae,,0
81,Aristócrata aterrorizado,,0
82,Reflejo exacto,,1
83,Arcanista velado,,0
84,Manifestación del orgullo,,0
85,Manifestación de la arrogancia,,0
86,Manifestación de la soberbia,,0
87,Manifestación del egoísmo,,0
88,Manifestación del narcisismo,,0
89,Manifestación de la egomanía,,0
90,Manifestación de la paranoia,,0
91,Tibo,,0
92,Kimos,,0
93,Ilapos,,0
94,Bumos,,0
95,Dintos,,0
96,Gramilos,,0
97,Isilios,,0
98,Abalus,,0
99,Ipadipos,,0
100,Pico,,0
101,Haka,,0
102,Dafi,,0
103,Thima,,0
104,Arathane,,0
105,Syla,,0
106,Farra,,0
107,Korinthe,,0
108,Asellia,,0
109,Minta,,0
110,Laratis,,0
111,Bola,,0
112,Apa,,0
113,Deka,,0
114,Koukis,,0
115,Akiris,,0
116,Ipa,,0
117,Toulis,,0
118,Zenza,,0
119,Chaermi,,0
120,Mupu,,0
121,Aspirante caído,,0
122,Miembro de la audiencia,,0
123,Carga de la vida,,0
124,Cruzado Argenta,,1
125,Invitado sediento,,0
126,Invitado hambriento,,0
127,Aldeano de Tirna Scithe,,0
128,Zombi infeccioso,,1
129,Aspirante caído Eolis,,0
130,Cazador de almas encarcelado,,0
131,Ira expulsada,,0
132,Furia expulsada,,0
133,Enojo expulsado,,0
134,Odio expulsado,,0
135,Cólera expulsada,,0
136,Animosidad expulsada,,0
137,Malicia expulsada,,0
138,Rencor expulsado,,0
139,Gula expulsada,,0
140,Hambre expulsada,,0
141,Indulgencia expulsada,,0
142,Ansia expulsada,,0
144,Eco pasajero,,0
145,Recuerdo fugaz,,0
146,Reflejo deambulante,,0
147,Vestigio transitorio,,0
148,Liriana,,0
149,Ordfortis,,0
150,Lorra de los Tejedores,,0
151,Borial Iosa,,0
152,Raxxat,,0
153,Bravalat,,0
154,Ramorra,,0
155,Toloria de los Ansiosos,,0
156,Majar'Ta,,0
157,Sabiduría de los Roola,,0
158,Cólera de los Roola,,0
159,Penitencia de los Roola,,0
160,Virielle,,0
161,R'ty'ghn,,0
162,Loret Ty'mana,,0
163,Uima Uima,,0
164,Limao Yuna,,0
165,Sawo de los Ancestros,,0
166,Quip el Veloz,,0
167,Bassilion Quash,,0
168,Jassa Ruash,,0
169,Jasslina,,0
170,Jassona,,0
171,Brila la Generosa,,0
172,Gur del Filo,,0
173,Astuto Spukit,,0
174,Havan de los Tivan,,0
175,Galooft Eir,,0
176,Rashtar el Sabio,,0
177,Roh Estrellaclara,,0
178,Rih Estrellaclara,,0
179,Misterion del Amor,,0
180,Polron el Magno,,0
181,Reska de los humildes,,0
182,Jar Lom,,0
183,Honrado Harrish de Xel,,0
184,Radsur de Guerra,,0
185,Fioni Esperanzador,,0
186,Señora del cielo Thienna,,0
187,Señor del cielo Vastuk,,0
188,Misterion del Destino,,0
189,Aoifena la Benévola,,0
190,Largena Rompevoluntades,,0
191,Lessa del Corazón,,0
192,Gop de los Favi,,0
193,Larian Almanegra,,0
194,Kasha Miraalmas,,0
195,Gilean de la Cultura,,0
196,Forrida de la Devoción,,0
197,Extraño encapuchado,,0
198,Rogi,,0
199,Larvorion,,0
200,Jeebs,,0
201,Smith,,0
202,Higgs,,0
203,Fandango Fangoso III,,0
204,Belvy,,0
205,Wustur,,0
206,Riff,,0
207,Egor,,0
208,Dragario,,0
209,Furgus,,0
210,Colem,,0
211,Panns,,0
212,Lodazón,,0
213,Dobb,,0
214,Robles,,0
215,Asturios,,0
216,Fred,,0
217,Raff,,0
218,Catalizador de hojas temporales,,0
219,Catalizador de flor nocturna silvestre,,0
220,Catalizador de grano de raíz de semilla silvestre,,0
221,Zona de construcción de muelle de pesca,,0
222,Muelle de pesca,,0
224,Margravina Draka,,1
225,Alma digna,,0
226,Ly'eng,,1
227,Fa'lse,,1
228,Ly'bel,,1
229,Ev'ade,,1
230,Ta'le,,1
231,Fo'gery,,1
232,Faucerrata sumisa,,0
233,Aprisionador jurafauces potenciado,,0
234,Mordedor para jurafauces,,0
235,Contendiente val'kyr digna,,0
236,Polemarca Kalisthene,,0
237,Gastador gustoso,,0
238,Risueño retozón,,0
239,Ojeador opulento,,0
240,Ofertador ofensivo,,0
241,Analista altanero,,0
242,Ahorrador arrogante,,0
243,Consumidor cascarrabias,,0
244,Parroquiano pobretón,,0
245,Investigador inquisitivo,,0
246,Hurtador humilde,,0
247,Transaccionista turbio,,0
248,Comprador conflictivo,,0
249,Farsante fracasado,,0
250,Miserable meditabundo,,0
251,Trocador triunfal,,0
252,Portalmante Zo'honn,,0
253,Portalmante Zo'dahh,,0
254,Portalmante Zo'nyy,,0
255,Parroquiano sediento,,0
256,Cliente conversador,,0
257,Habitué alabado,,0
258,Frecuentador frustrado,,0
259,Aristócrata amargado,,0
260,Viajero embriagado,,0
261,Gromit huelebotín,Buen chico,0
262,Gromit huelebotín,Maravilloso chico,0
263,Gromit huelebotín,Magnífico chico,0
264,"Vazzeran, el Iluminado",,1
265,Kleia,Mano de la devoción,0
266,Cuchilla Aérea,,1
267,Merodeador,,1
268,Demonio de Polvo,,1
269,Tanque de Carrera,,1
270,Deslizador Frenético,,1
272,Olea Hanoa,,0
273,Señor del terror infiltrado,,1
274,Sombra corpórea,,0
275,Automa de matriz de defensa,,1
276,Automa de degeneración,,1
277,Automa guardián,,1
278,Automa de adquisiciones,,1
279,Mal'Ganis,El Eterno,0
280,Kin'tessa,La Farsante,0
281,Automa descuartizador: neo,,1
282,Elemental estabilizado,,1
283,Sobrecargar núcleo,,0
284,Imagen arcana,,0
285,Guardián atento,,1
286,Asistente pacificado,,1
287,Acechador oportunista,,0
288,Subjefe ambicioso,,0
289,Chamán confabulador,,0
290,,,0
291,Infiltrado nathrezim,,0
292,Cangrejo apaciguado,,0
293,Tortuga marina rescatada,,0
294,Cría de tortuga rescatada,,0
295,Ave acuática rescatada,,0
296,Bestia de río rescatada,,0
297,Cría de bestia de río rescatada,,0
298,"Gnoll ""amistoso""",,1
299,Basilisco rescatado,,0
300,Graznaterror llameante,,0
301,Akora,Cuidadora,0
302,Dazakros,Cuidadora,0
303,Croacuerno cobarde,,0
304,Zancacuernos vengativo,,0
305,Maestro de caza uktulut,Cazador,0
306,Nutruk domado,Compañero del maestro de caza,0
307,Elemental de relámpago sobrecargado,,1
308,Vermis calmado,,1
309,Dracomandante Sarkareth,La Llama Hendida,0
310,Croador genial,,0
311,Herramienta energizada,,1
312,Rana pacificada,,0
313,Marchitezno,,1
314,Mutilador infeccioso,,1
315,Mutilador marchitante,,1
