ID,InfoName_lang,Type,Modifiers,Profession
1,Élite,0,2,0
21,Clase,0,0,0
41,JcJ,0,0,0
62,Banda,0,0,0
81,Calabozo,0,0,0
82,Evento del mundo,0,0,0
83,Legendaria,0,0,0
84,Escolta,0,0,0
85,Heroica,0,0,0
88,Banda (10),0,0,0
89,Banda (25),0,0,0
98,Gesta,0,0,0
104,Misión alterna,0,0,0
107,Artefacto,0,0,0
109,Misión de mundo,2,256,0
110,Misión de mundo épica,2,268,0
111,Misión de mundo de élite,2,258,0
112,Misión de mundo épica de élite,2,334,0
113,Misión de mundo de JcJ,3,256,0
114,Misión de mundo de primeros auxilios,1,256,129
115,Misión de mundo de mascota de batalla,4,256,0
116,Misión de mundo de herrería,1,256,164
117,Misión de mundo de peletería,1,256,165
118,Misión de mundo de alquimia,1,256,171
119,Misión de mundo de herboristería,1,256,182
120,Misión de mundo de minería,1,256,186
121,Misión de mundo de sastrería,1,256,197
122,Misión de mundo de ingeniería,1,256,202
123,Misión de mundo de encantamiento,1,256,333
124,Misión de mundo de desuello,1,256,393
125,Misión de mundo de joyería,1,256,755
126,Misión de mundo de inscripción,1,256,773
128,Misión de emisario,5,272,0
129,Misión de mundo de arqueología,1,256,794
130,Misión de mundo de pesca,1,256,356
131,Misión de mundo de cocina,1,256,185
135,Misión de mundo inusual,2,257,0
136,Misión de mundo inusual de élite,2,267,0
137,Misión de mundo de calabozo,6,267,0
139,Misión de mundo de Invasión de la Legión,7,296,0
140,Recompensa puntuada,3,272,0
141,Misión de mundo de banda,8,266,0
142,Misión de mundo de élite de Invasión de la Legión,7,266,0
143,Contribución a Legión caída,9,272,0
144,Misión de mundo de Legión caída,2,334,0
145,Misión de mundo de calabozo de Legión caída,6,331,0
146,Cierre de misión de mundo de invasión de la Legión,11,0,0
147,Frente de batalla - Baldíos,0,0,0
148,Ratería,0,0,0
151,Misión de mundo de Magni: Azerita,2,256,0
152,Tortollan World Quest - 8.0,2,256,0
153,Contribución al frente de batalla,9,272,0
254,Misión insular,0,0,0
255,JcJ modo de guerra,0,0,0
256,Conquista de JcJ,10,272,0
259,Misión de mundo de asalto de facción,12,360,0
260,Misión de mundo de élite de asalto de facción,12,330,0
261,Misión semanal insular,13,144,0
263,Misión pública,0,16,0
264,Objetivo de amenaza,5,272,0
265,Misión oculta,5,272,0
266,Misión de aliado de combate,0,0,0
267,Profesiones,0,0,0
268,Finalizador de amenaza,14,272,0
270,Misión de emisario de amenaza,14,272,0
271,Misión de llamamiento,15,0,0
272,VenthyrPartyQuest,2,448,0
273,Rastreador de apariciones de almas de las Fauces,5,272,0
278,Misión de mundo de élite JcJ,3,258,0
279,Tarea de enviado del Confín Prohibido,9,0,0
281,Carrera de dracoequitación,16,0,0
282,Misión importante,0,1024,0
283,Objetivo de bonificación con brindis de victoria,0,512,0
284,Meta Quest,0,2048,0
286,Misión de mundo de talento cúlmine,17,266,0
287,Bloqueador de talento cúlmine,5,272,0
288,Abismo,0,0,0
289,Jefe de mundo,18,334,0
291,Oculta,0,272,0
292,Misión importante (imposible abandonar),0,1280,0
