ID,Name_lang,CreatureID,PortraitFileDataID,UiTextureKitID,UiAnimScale,UiAnimHeight,Flags,AutoCombatantID
1,Gronnito Pirofrío,80693,1067373,0,0.75,0.55,0,0
2,Explorador Señor del Trueno,87430,1067284,0,1.4,0.5,0,0
4,Encuentro de ogro 1,78009,1067281,0,1.5,0.5,0,0
5,Encuentro de orco 2,79359,1067297,0,1.5,0.5,0,0
7,Encuentro de ogro 1,79378,1067321,0,1.5,0.55,0,0
29,Chris' Mission Set Test Encounter,0,0,0,1,0.4,0,0
30,Gronnito Pirofrío,80704,1067391,0,0.75,0.55,0,0
31,Gronnito Pirofrío,80693,1067373,0,0.75,0.55,0,0
32,Rylak faucehielo,80705,1067265,0,0.55,0.45,0,0
33,Explorador Señor del Trueno,80192,1067335,0,0.6,0.9,0,0
34,Explorador Señor del Trueno,80172,1067334,0,1.2,0.5,0,0
35,Encuentro de ogro 2,79380,1067230,0,0.9,0.55,0,0
36,Encuentro de no-muerto 1,79380,1067230,0,1,0.5,0,0
37,Encuentro de aberración 1,79383,1067191,0,0.8,0.5,0,0
38,Encuentro Arakkoa 1,79387,1067348,0,0.5,0.5,0,0
39,Encuentro Arakkoa 2,81338,1067462,0,0.9,0.5,0,0
40,Encuentro de bestia 1,79384,1067296,0,1.1,0.5,0,0
41,Encuentro de bestia 2,79386,1067246,0,1.4,0.5,0,0
42,Encuentro de demonio 1,79381,1067240,0,1.1,0.6,0,0
43,Encuentro de demonio 2,81339,1067193,0,0.6,0.6,0,0
44,Encuentro de triturador 1,79382,1067290,0,1,0.5,0,0
45,Encuentro de triturador 2,79385,1067311,0,1.5,0.6,0,0
46,Encuentro de furia 1,81340,1067223,0,1.2,0.5,0,0
47,Encuentro de furia 2,81341,2395691,0,1,0.5,0,0
48,Encuentro primigenio 1,81342,1067224,0,1,0.5,0,0
49,Encuentro primigenio 2,81343,1067208,0,1,0.5,0,0
50,Babosas miserables,19787,0,0,1,0.4,0,0
51,Devastador husmeador,81538,1067344,0,0.9,0.45,0,0
52,Saltador de peñascos Señor del Trueno,81562,1067236,0,1.55,0.5,0,0
53,Descifravientos Señor del Trueno,81565,1067286,0,1.55,0.5,0,0
54,Lobo maldito,81568,1067253,0,1.5,0.5,0,0
55,Bracero Siniescarcha,81580,1067268,0,1.2,0.55,0,0
56,Carroñero Pico Gélido,81583,1067178,0,1.3,0.9,0,0
57,Jinete de Aguja del Filo,81587,1067336,0,1.2,0.5,0,0
58,Devorador pálido,82405,1067305,0,1,0.45,0,0
59,Sapo corrupto,82410,1067273,0,1,0.45,0,0
60,Cuervo Caída de la Luna,82409,1067466,0,0.8,0.5,0,0
61,Necrólito Sombraluna,82413,1067287,0,1.55,0.5,0,0
62,Taumaturgo oscuro Sombraluna,82414,1067282,0,1.55,0.5,0,0
63,Caminaplanos atronador,83059,1067312,0,0.75,0.55,0,0
64,Arcanista gorian,83067,1067413,0,1.2,0.5,0,0
65,Secuaz Gorian,83071,1067409,0,1.2,0.5,0,0
66,Vidente de llamas de hierro,83128,1067339,0,1.4,0.5,0,0
67,Vidente de llamas de hierro,83126,1067270,0,1.4,0.5,0,0
68,Beremus el Vigía Supremo,83236,1067399,0,0.9,0.53,0,0
69,Tarlna el Anciano,83236,1067399,0,0.9,0.53,0,0
70,Clamatormentas Trecho Celestial,83357,1067403,0,0.9,0.55,0,0
71,Partidario corredor,83363,1067405,0,0.9,0.55,0,0
72,Anquilador forjavil,83379,1067240,0,0.75,0.55,0,0
73,Matriarca Sangremelena,83074,1067433,0,0.8,0.55,0,0
74,Merodeador de sombra,83347,1067465,0,1.2,0.5,0,0
75,Infernal llama vil,83170,1067195,0,0.75,0.55,0,0
76,Saqueador llameante,83382,1067237,0,0.9,0.55,0,0
77,Esencia de oscuridad,83256,1067191,0,1.4,0.55,0,0
78,Esencia del Vacío,83251,1416404,0,1.4,0.55,0,0
79,Gor,83098,1067407,0,0.75,0.55,0,0
80,Mascahierro famélico,83193,1067290,0,0.75,0.55,0,0
81,Tosco Aguja del Filo,83043,1067419,0,1.2,0.5,0,0
82,Aplastador Aguja del Filo,83042,1067420,0,1.2,0.5,0,0
83,Geomántico Aguja del Filo,83045,1067422,0,1.2,0.5,0,0
84,Descifravientos Señor del Trueno,83120,1067286,0,1.5,0.5,0,0
85,Yggdrel,83225,1067302,0,0.55,0.55,0,0
86,Garfa Señor del Trueno,83118,1067285,0,1.5,0.5,0,0
87,Jinete de bestias Señor del Trueno,83122,1067284,0,1.5,0.5,0,0
88,Anciano Cortezaluna,83226,1067303,0,0.55,0.55,0,0
89,Asaltante de Nagrand,83135,1067388,0,1.5,0.5,0,0
90,Clamatierra Grito de Guerra,83140,1067358,0,1.5,0.5,0,0
91,Místico Faucesable,83084,1067432,0,0.8,0.55,0,0
92,Dientescara Faucesable,83074,1067433,0,0.8,0.55,0,0
93,Aplastador Faucesable,83081,1067431,0,0.8,0.55,0,0
94,Partidario llamavuelos,83353,1067381,0,0.9,0.55,0,0
95,Partidario Alahoja,83354,1067401,0,0.9,0.55,0,0
96,Sacerdote del Sol Partidario,83356,1067404,0,0.9,0.55,0,0
97,Vigilante Sargerei,83241,1067367,0,1.3,0.5,0,0
98,Canalizador Sargerei,83242,1067368,0,1.3,0.5,0,0
99,Retuercealmas Sargerei,83243,1067366,0,1.3,0.5,0,0
100,Esclavista Quebrantarrocas,83045,1067422,0,1.2,0.5,0,0
101,Maestro de esclavos Ok'mok,83062,1067418,0,1.2,0.5,0,0
102,Arcanista Machacador de Tierra,83070,1067414,0,1.2,0.5,0,0
103,Maestro de guerra Gorian,83072,1067410,0,1.2,0.5,0,0
104,Maestro de guerra Gorian,83072,1067410,0,1.2,0.5,0,0
105,Genesaurio Hojaluna,83233,1067400,0,0.9,0.53,0,0
106,Cultivador de botani,83217,1067380,0,0.9,0.55,0,0
107,Depositario Botani,83217,1067380,0,0.9,0.55,0,0
108,Devastador lomosombrío,83103,1067345,0,0.9,0.45,0,0
109,Devastador lomosombrío,83106,1067346,0,0.9,0.45,0,0
110,Devastador lomosombrío,83107,1067343,0,0.9,0.45,0,0
111,Infernal llameante,83170,1067195,0,0.75,0.55,0,0
112,Escama pétrea,83214,1067187,0,1.45,0.4,0,0
113,Vigía Pelaje Sangrante,83213,1067186,0,1.45,0.4,0,0
114,Rondador de nieve,84858,1087727,0,1.45,0.4,0,0
115,Elemental de magma,83147,1067228,0,1.2,0.4,0,0
116,Furia de hielo,83152,1067233,0,1.2,0.4,0,0
118,Mandrágora jacinto,83301,1067341,0,1,0.4,0,0
119,Garra del vacío Sombraluna,83129,1067347,0,1.5,0.5,0,0
120,Rocío de vainitas,83292,1067330,0,1.9,0.45,0,0
121,Furia de escarcha,83151,1067221,0,1.2,0.4,0,0
122,Mascahierro famélico,83192,1067288,0,1.4,0.45,0,0
123,Agente Manchollín,83041,1067421,0,1.2,0.5,0,0
124,Anciano Cortezaluna,83225,1067302,0,0.55,0.55,0,0
125,Hacha del vacío Sombraluna,83133,1067294,0,1.5,0.5,0,0
126,Esencia de oscuridad,83386,1067428,0,1.4,0.55,0,0
127,Garfa Señor del Trueno,83117,1067306,0,1.5,0.5,0,0
128,Guerrero Ata'gar,83179,1067318,0,1.55,0.5,0,0
129,Matriarca Faucehielo,83038,1067266,0,0.55,0.45,0,0
130,Vigía silencioso,83228,1067301,0,0.55,0.45,0,0
131,Bruto de hierro,83127,1067457,0,1.5,0.5,0,0
132,Ula,83234,1067398,0,0.9,0.53,0,0
133,Glotón de Osario,83195,1067289,0,1.4,0.45,0,0
134,Escarbador de atracón,83056,1067391,0,0.75,0.55,0,0
135,Pulverizador de hierro,83339,1067267,0,1.05,0.45,0,0
136,Tol'ressa,83173,1067198,0,1.1,0.5,0,0
137,Mascapiedras goren,83194,1067291,0,1.5,0.45,0,0
138,Invocasol partidario,83351,1067402,0,0.9,0.55,0,0
139,Reverendo portasombras,83178,1067320,0,1.55,0.5,0,0
140,Azotador Gordunni,83072,1067410,0,1.2,0.5,0,0
141,Skagg,83063,1067417,0,1.2,0.55,0,0
142,Sádico Mano Destrozada,83141,1067245,0,1.4,0.5,0,0
143,Arrastranudillos devastador,83114,1067307,0,1,0.45,0,0
144,Devastador lomosombrío,83103,1067345,0,0.9,0.45,0,0
145,Rylak aullador,83060,1067264,0,0.55,0.45,0,0
146,Sangrikass,83374,1067218,0,1.4,0.55,0,0
147,Cantasangre Mano Destrozada,83143,1067244,0,1.4,0.5,0,0
148,Espíritu de agua tumultuoso,83369,1067324,0,1.2,0.4,0,0
149,Arcanista Gorian,83065,1067412,0,1.2,0.5,0,0
150,Clamatierra Grito de Guerra,83140,1067358,0,1.5,0.5,0,0
151,Gladiador Gorian,83073,1067411,0,1.2,0.5,0,0
152,Maestro del Filo Ardiente,83460,1067269,0,1.4,0.5,0,0
153,Gronn Caminaplanos,83059,1067312,0,0.75,0.55,0,0
154,Espíritu rasgado por el vacío,83257,1108823,0,1.4,0.5,0,0
155,Agarrador Señor del Trueno,83122,1067284,0,1.5,0.5,0,0
156,Mordisqueador de vainitas,83291,1067332,0,1.9,0.45,0,0
157,Bruto Roca Negra,83123,1067356,0,1.5,0.5,0,0
158,Guardia de Quebrantarrocas,83062,1067418,0,1.2,0.5,0,0
159,Intimidador Quebrantarrocas,83047,1067357,0,0.9,0.5,0,0
160,Portaborrasca partidario,83356,1067404,0,0.9,0.55,0,0
161,Trituradora de hierro,83336,1067371,0,1.05,0.45,0,0
162,Partidario Alahoja,83354,1067401,0,0.9,0.55,0,0
163,Arrancatripas Sangremelena,83081,1067431,0,0.8,0.55,0,0
164,Escoltas Grito de Guerra,83135,1067388,0,1.5,0.5,0,0
165,Asaltante Grito de Guerra,83135,1067388,0,1.5,0.5,0,0
166,Bestia del río,83246,1067250,0,0.95,0.45,0,0
167,Uñagrieta Cenicrín,83431,1067247,0,1.1,0.4,0,0
168,Botani Hojaluna,83217,1067380,0,0.9,0.55,0,0
169,Devastador muelehielo,83101,1067344,0,0.9,0.45,0,0
170,Mandrágora bebevida,83238,1067406,0,1,0.4,0,0
171,Uñagrieta salvaje,83433,1067249,0,1.1,0.4,0,0
172,Geoda de iridio,83343,1067227,0,0.75,0.6,0,0
173,Flor salvaje,83262,1067192,0,0.75,0.5,0,0
