Name_lang,ID,Flags,RoomComponentType,TextureFileDataID,Field_11_2_7_64438_005,HouseThemeID
Losa,3,1,2,7535056,2,0
Madera dura campestre,4,1,2,7535057,4,1
Viga de madera campestre,5,1,3,5658170,0,1
Estuco campestre,22,1,1,5658169,0,1
Piedra rústica,24,1,1,6856592,0,2
Mármol grabado de Lunargenta,33,1,1,6986816,0,5
Madera rústica,40,1,2,7535058,4,2
Mosaico de Lunargenta,49,1,2,7494198,2,5
Madera rústica,54,1,3,6856593,0,2
Mármol de sangre de Lunargenta,60,1,3,6986850,0,5
Panel de madera de Bel'ameth,61,1,3,7196783,0,4
Madera blanda de Bel'ameth,63,1,1,7114465,0,4
Madera dura de Bel'ameth,65,1,2,7491486,4,4
Cabaña,162,1,1,7535055,0,1
Viga de madera campestre,235,0,3,5658170,0,0
Viga de madera de Bel'ameth,236,0,3,7196783,0,0
Viga de madera de Bel'ameth,237,1,3,7114460,0,0
Pellejo cosido,238,1,3,7570326,0,0
Duramen de Bel'ameth,250,1,3,7654234,0,4
