Description_lang,Title_lang,ID,ScenarioID,CriteriatreeID,RewardQuestID,RelatedStep,Supersedes,OrderIndex,Flags,VisibilityPlayerConditionID,WidgetSetID
Lleva al maestro cervecero Bo hasta el caldero de fermentación de Unga Ingoo.,Escolta al maestro cervecero Bo,24,15,21004,0,0,0,0,0,0,0
Lleva 200 brebajes de jungla de Unga al caldero de fermentación.,Llena el caldero de fermentación,25,15,27707,0,0,0,1,0,0,0
Derrota al capitán Ook.,Derrota al capitán Ook.,26,15,21008,0,0,0,2,0,0,0
Derrota al líder del Shadopan corrupto.,Acaba con el terror,114,39,21048,0,0,0,0,0,0,0
Investiga más a fondo la cripta y rastrea el nivel inferior.,Investiga la cripta,115,39,22065,0,0,0,2,0,0,0
Derrota a los monstruos que atacan a los habitantes de Verdemar.,Salva a los habitantes,116,40,20975,0,0,0,0,0,0,0
Derrota a Hui el Vengativo.,Derrota a Hui el Vengativo,117,40,20982,0,0,0,4,0,0,0
Encuentra los barriles robados en el bosque y devuélveselos al dojo de la aldea.,Recupera los barriles robados,118,40,21059,0,0,0,2,0,0,0
Derrota a las fuerzas corruptas del Sha en el interior del Templo del Dragón de Jade.,Templo del Dragón de Jade,123,44,21078,0,0,0,0,0,0,0
Derrota a las fuerzas que están creando el caos en la Cervecería del Trueno.,Cervecería del Trueno,124,45,21087,0,0,0,0,0,0,0
Derrota a las fuerzas que te hagan frente dentro del Monasterio del Shadopan.,Monasterio del Shadopan,125,46,21095,0,0,0,0,0,0,0
Derrota a las fuerzas mántides que asaltan la Puerta del Sol Poniente.,Puerta del Sol Poniente,127,48,21100,0,0,0,0,0,0,0
Derrota a las fuerzas mántides que asedian el Templo de Niuzao.,Asedio del Templo de Niuzao,128,49,21105,0,0,0,0,0,0,0
,Palacio Mogu'shan,129,50,21110,0,0,0,0,0,0,0
Derrota a las fuerzas nigrománticas de Scholomance.,Scholomance,130,51,21120,0,0,0,0,0,0,0
Derrota a las fuerzas de la Cruzada Escarlata.,Cámaras Escarlata,131,52,21130,0,0,0,0,0,0,0
Viaja al Barrio de Canteros y despierta a los aldeanos inconscientes.,Rescata a los canteros de Verdemar,132,40,21126,0,0,0,3,0,0,0
Derrota a las fuerzas de la Cruzada Escarlata que están en el Monasterio Escarlata.,Monasterio Escarlata,133,53,21134,0,0,0,0,0,0,0
"Invoca y derrota a la poderosa tortuga dragón, Escaraza.",Escaraza,138,58,21323,0,0,0,0,0,0,0
"Invoca y derrota al horror comedor de grúmel y acechador de las nieves, Jol'Grum.",Jol'Grum,139,58,21325,0,0,0,1,0,0,0
"Invoca y derrota a la juguetona espíritu del fuego, Liuyang.",Pequeña Liuyang,140,58,21327,0,0,0,2,0,0,0
"Invoca y derrota al guerrero yaungol errante, Chagan Pezuña Ígnea.",Chagan Pezuña Ígnea,141,58,21332,0,0,0,3,0,0,0
Invoca y derrota al contendiente final y reclama tu recompensa a Wodin.,¡Derrota al contendiente final!,142,58,21334,0,0,0,4,0,0,0
Ayuda a los asistentes del maestro cervecero Boof a reunir los ingredientes para la pateadora de Kun-Lai.,El Festival de la Cerveza Lunar,154,63,21845,0,0,0,0,0,0,0
Detén la invasión Bataari en la Aldea Binan.,¡El ataque yaungol!,155,63,21849,0,0,0,2,0,0,0
Derrota al belisario Qobi.,Belisario Qobi,156,63,21851,0,0,0,3,0,0,0
