Name_lang,ID,UiTextureAtlasElementID,DecorCategoryID,OrderIndex
Asientos,1,29176,1,0
Camas,2,29113,1,3
Puertas,3,29125,2,0
Paredes y columnas,4,29203,2,1
Mesas y escritorios,5,29191,1,1
Almacenamiento,6,29185,1,2
Otros muebles,7,30799,1,4
Ventanas,8,29206,2,2
Estructuras grandes,9,29155,2,3
Otras estructuras,10,30799,2,4
Ornamentos,11,29164,3,0
Colgantes de pared,12,29197,3,1
Comida y bebida,13,29131,3,2
Piso,14,29128,3,3
Otros acentos,15,30799,3,4
Luces grandes,16,29152,4,0
Luces de pared,17,29200,4,1
Luces de techo,18,29140,4,2
Luces pequeñas,19,29182,4,3
Iluminación ambiental,20,29110,4,4
Otra iluminación,21,30799,4,5
Utilidad,22,29194,5,0
Follaje grande,25,29149,6,0
Follaje pequeño,26,29179,6,1
Arbustos,27,29116,6,2
Cubrepisos,28,29137,6,3
Naturaleza (otros),29,30799,6,4
Otros - Todo,34,30799,8,0
Habitaciones - Todo,35,0,9,0
Funcional (otros),51,30799,5,1
