ID,Name_lang,Description_lang,Flags,ClassMask,SpellIconFileID,RaceMasks[0],RaceMasks[1]
1,Teletransporte,Te teletransporta a una ciudad principal.,0,128,237509,1309324210,-1440044374
8,Teletransporte,Te teletransporta a una ciudad principal.,0,128,237509,-1321907123,1427461461
9,Llamar a mascota,Invoca a una mascota activa a tu lado.,0,4,132161,-1,-1
10,Invocar demonio,Invoca a uno de tus demonios.,0,256,136082,-1,-1
11,Portal,Crea un portal que teletransporta a todos los miembros del grupo que lo usan a una ciudad principal.,0,128,135744,1309324210,-1440044374
12,Portal,Crea un portal que teletransporta a todos los miembros del grupo que lo usan a una ciudad principal.,0,128,135748,-1321907123,1427461461
66,Venenos,Aplica un potente veneno a tus armas.,0,8,136242,-1,-1
67,Grimorio de servidumbre,"Invoca instantáneamente a un segundo demonio, que lucha durante 25 s.",0,256,538444,-1,-1
84,Senda del héroe: Mists of Pandaria,Te teletransporta a la entrada de un calabozo de Mists of Pandaria para el que obtuviste una medalla de oro o el logro Héroe de piedra angular. El tiempo de reutilización de estos hechizos se restablecerá cuando completes un calabozo de piedra angular mítica.,0,-1,519384,-1,-1
92,Variantes de Polimorfia,"Variantes cosméticas alternas de Polimorfia, que transforman a tu objetivo en una variedad de criaturas.",0,128,575586,-1,-1
93,Munición exótica,Transforma tu arma a distancia para usar municiones exóticas.,0,4,249177,-1,-1
96,Senda del héroe: Warlords of Draenor,Te teletransporta a la entrada de un calabozo de Warlords of Draenor para el que obtuviste una medalla de oro o el logro Héroe de piedra angular. El tiempo de reutilización de estos hechizos se restablecerá cuando completes un calabozo de piedra angular mítica.,0,-1,519384,-1,-1
103,Utilidad de mascota,Una variedad de herramientas para ayudarte a dominar a tu mascota.,0,4,132179,-1,-1
106,Variantes de maleficios,"Variantes cosméticas alternas de maleficios, que transforman a tu objetivo en una variedad de criaturas.",0,64,538518,-1,-1
217,Instrumentos kyrianos,Toca un instrumento de los kyrian.,0,0,454048,-1,-1
219,Adaptación,Te adaptas a un tipo de magia y cambias tu ataque de aliento.,0,4096,254886,-1,-1
220,Senda del héroe: Shadowlands,Te teletransporta a la entrada de un calabozo de Shadowlands para el que obtuviste el logro Héroe de piedra angular. El tiempo de reutilización de estos hechizos se restablecerá cuando completes un calabozo de piedra angular mítica.,0,-1,519384,-1,-1
222,Senda del héroe: Bandas de Shadowlands,Te teletransporta a la entrada de una banda de Shadowlands. Solo disponible después de conseguir el logro Mítico: Destinos de las bandas de Shadowlands.,0,-1,519384,-1,-1
