Name_lang,Description_lang,ID,DisplayIndex,UiCameraID,AltHandUICameraID,ForgeAttachmentOverride,Flags,ArtifactID
Forma de cristal,,1,1,72,0,-1,0,1
Forma de punta,,2,2,0,0,-1,0,1
Crematoria,,3,1,62,0,-1,0,2
Espada magna del honrado,,4,2,65,0,-1,0,2
Represalia ardiente,,5,3,63,0,-1,0,2
Esperanza caída,,6,4,66,0,-1,0,2
Expiación destrozada,,7,5,64,0,-1,0,2
Espadas Gemelas del Falsario,,8,1,72,161,-1,0,3
Mano de los Illidari,,9,2,76,928,-1,0,3
Espada sombría,,10,3,75,930,-1,0,3
Segadora de fuego,,11,5,77,931,-1,0,3
Toque demoniaco,,12,4,73,929,-1,0,3
"G'Hanir, el Árbol Madre",,13,1,61,0,-1,0,13
Árbol anciano,,14,2,68,0,-1,0,13
Despertar cristalino,,15,3,60,0,-1,0,13
Vigilante Muertobosque,,16,4,69,0,-1,0,13
Corona de la Celadora,,17,6,70,0,-1,1,13
Escama del Guardián de la Tierra,,20,1,183,71,-1,0,11
Colmillos del Devorador,,21,1,168,169,-1,0,17
Abrazo del demonio,,22,3,172,173,-1,0,17
Hoja de las sombras,,23,2,170,171,-1,0,17
Tragasangre,,24,4,174,175,-1,0,17
Cortahielo,,25,5,176,177,-1,0,17
Fauce de los Malditos,,32,1,163,0,-1,0,15
Apocalipsis,,33,1,162,0,-1,0,16
Espadas del Príncipe Caído,,39,1,166,167,-1,0,12
El Puño de Ra-Den,,40,1,191,192,-1,0,40
"Thas'dorah, el Legado de los Brisaveloz",,41,1,719,0,-1,0,55
Las Matarreyes,,42,1,391,392,-1,0,43
"Sharas'dal, Cetro de las Mareas",,43,1,195,958,-1,0,42
Martillo maldito,,44,1,189,0,-1,0,41
"T'uure, Guía de los Naaru",,45,1,194,0,-1,0,45
Daga del Imperio Negro,,46,1,570,952,-1,0,47
La Mano de plata,,47,1,198,199,-1,0,48
Garras de Ursoc,,48,1,188,638,-1,0,57
Cetro de Sargeras,,49,1,357,0,-1,0,38
"Sheliun, Bastón de la Niebla",,50,1,196,0,-1,0,51
Felo'melorn,,51,1,190,935,-1,0,54
Garfa Corva,,52,1,197,0,-1,0,34
Aluneth,,53,1,178,0,-1,0,4
Cumbre guardiana,,54,2,179,0,-1,0,4
Magna liberada,,55,3,181,0,-1,0,4
Caída de Aegwynn,,56,4,180,0,-1,0,4
Mago eterno,,57,5,182,0,-1,0,4
Mirada del Guardia de la Muerte,,58,4,184,965,-1,0,11
Último aliento del Rompemundos,,59,6,185,966,-1,1,11
Puesto intacto,,60,3,186,967,-1,0,11
Brazo del rey caído,,61,2,187,968,-1,0,11
Frío del ébano,,64,1,344,0,-1,0,53
Enfoque del guardián,,65,2,346,0,-1,0,53
Voluntad de los archimagos,,66,4,351,0,-1,0,53
Recuerdo de Pirofrío,,67,6,353,0,-1,1,53
Flujo del primero,,68,3,354,0,-1,0,53
Soberbia del titán oscuro,,69,2,359,0,-1,0,38
Eco de Gul'dan,,70,3,360,0,-1,0,38
Sombra del Destructor,,71,4,362,0,-1,0,38
Terror de la Legión,,72,6,361,0,-1,1,38
Guardia del general forestal,,73,4,933,0,-1,0,55
Renacer del fénix,,74,3,722,0,-1,0,55
El vínculo de una hermana,,75,2,720,0,-1,0,55
Guardacuervos,,76,6,721,0,-1,1,55
Mano maldita,,77,2,858,863,-1,0,43
Paracorazones,,78,3,860,864,-1,0,43
Filo del matamagos,,79,4,859,865,-1,0,43
Rompehuesos,,80,6,861,866,-1,1,43
Guadaña de Elune,,81,1,631,0,-1,0,59
Abrazo de los dioses antiguos,,82,2,773,957,-1,0,47
La espada caída,,83,3,774,953,-1,0,47
Visión de locura,,84,4,776,955,-1,0,47
Reflejo retorcido,,85,5,775,954,-1,0,47
Garra pétrea,,86,2,188,638,-1,0,57
Avatar de Ursol,,87,3,188,638,-1,0,57
Caído a la Pesadilla,,88,4,188,638,-1,0,57
Guardián del Claro,,89,6,188,638,-1,1,57
Hojas de guerra Aldrachi,,90,1,753,759,-1,0,60
Colmillos de Ashamane,,91,1,636,637,-1,0,58
Faucesangre,,92,2,701,0,-1,0,15
Mandíbula de huesos,,93,5,702,0,-1,0,15
Segador de almas,,94,3,704,0,-1,0,15
Verdugo,,95,4,703,0,-1,0,15
Legado de Agonía de Escarcha,,96,2,662,663,-1,0,12
Recolector de almas,,97,5,664,665,-1,0,12
Guardián de la cripta,,98,4,700,699,-1,0,12
Furia de Sindragosa,,99,3,667,666,-1,0,12
Portador de la hambruna,,100,4,658,0,-1,0,16
Heraldo de pestilencia,,101,3,661,0,-1,0,16
Guerra profana,,102,2,659,0,-1,0,16
Segador de Huesos,,103,6,660,0,-1,1,16
Emblema Illidari,,104,2,901,902,-1,0,60
Terror de huesos,,105,4,903,904,-1,0,60
Mordedura del señor del terror,,106,3,905,906,-1,0,60
Celadora de hierro,,107,6,907,908,-1,1,60
Enviado de Goldrinn,,108,2,831,0,-1,0,59
Llamado lunar,,109,3,832,0,-1,0,59
Alcance de Guardasol,,110,6,834,0,-1,1,59
Aflicción de la pesadilla,,111,4,833,0,-1,0,59
Furia de la naturaleza,,112,2,636,637,-1,0,58
Acechador primigenio,,113,3,636,637,-1,0,58
Fantasma de la madre de la manada,,114,5,636,637,-1,0,58
Encarnación de la Pesadilla,,115,4,636,637,-1,0,58
Titánica,,116,1,754,0,-1,0,56
Águila vigía,,117,2,789,0,-1,0,56
Cañón antijabalí,,118,4,791,0,-1,0,56
Trueno de elekk,,119,3,790,0,-1,0,56
Mordedura de serpiente,,120,5,792,0,-1,0,56
Renacer del águila,,121,2,715,0,-1,0,34
Lanza del alfa,,122,3,717,0,-1,0,34
Golpe de serpiente,,123,4,716,0,-1,0,34
Fortaleza del oso,,124,6,718,0,-1,1,34
Orgullo de los Caminantes del Sol,,125,2,838,937,-1,0,54
Renacer del fénix,,126,3,840,940,-1,0,54
Filo del nacido de lava,,127,4,839,939,-1,0,54
Hoja del manipulador de tiempo,,128,5,841,941,-1,0,54
"Fu Zan, el Compañero del Vagabundo",,129,1,710,0,-1,0,52
La Carga del Rey Mono,,130,2,711,0,-1,0,52
Agarre de fuego de dragón,,131,4,713,0,-1,0,52
Corazón del buey,,132,3,712,0,-1,0,52
Portador de la niebla,,133,5,714,0,-1,0,52
Peaje de la niebla profunda,,134,2,845,0,-1,0,51
Aliento de la serpiente indestructible,,135,6,846,0,-1,1,51
Tormento de sha,,136,4,847,0,-1,0,51
Espíritu de Chi-ji,,137,3,848,0,-1,0,51
Puños de los Cielos,,138,1,629,630,-1,0,50
Toque de Al'Akir,,139,2,691,692,-1,0,50
Alcance del espíritu,,140,3,694,693,-1,0,50
Legado del Shadopan,,141,4,696,695,-1,0,50
Puño de tormenta,,142,6,698,697,-1,1,50
Puño del vigía caído,,143,2,785,199,-1,0,48
Llama de la justicia,,144,5,788,199,-1,0,48
Guardián de la tumba,,145,4,786,199,-1,0,48
Sentencia del Protector,,146,3,787,199,-1,0,48
Veraguardia,,147,1,756,755,-1,0,49
Luz de los titanes,,148,2,777,945,-1,0,49
Resguardo del guarda oscuro,,149,4,780,943,-1,0,49
Blasón de fuego sagrado,,150,5,778,944,-1,0,49
Baluarte del vindicador,,151,6,779,946,-1,1,49
Cólera de luz,,152,1,705,0,-1,0,46
Blasón del redimido,,153,2,706,0,-1,0,46
Cumbre del guardalibros,,154,6,709,0,-1,1,46
Vigilia eterna,,155,4,708,0,-1,0,46
Cáliz de luz,,156,3,707,0,-1,0,46
Estandarte de pureza,,157,2,950,0,-1,0,45
Guardián de la luz,,158,3,948,0,-1,0,45
Memoria de Argus,,159,5,949,0,-1,0,45
Abrazo de El Vacío,,160,4,951,0,-1,0,45
Los Filos del Terror,,161,1,757,758,-1,0,44
Promesa de la plaga marina,,162,2,868,873,-1,0,44
Beso de fuego,,163,3,869,874,-1,0,44
Mando del esgrimista,,164,5,870,875,-1,0,44
Última palabra del canalla,,165,4,871,876,-1,0,44
Guardatormentas,,166,2,880,885,-1,0,40
Orador de la tierra,,167,3,881,886,-1,0,40
Legado de Rehgar,,168,5,882,887,-1,0,40
Puño del chamán caído,,169,4,883,888,-1,0,40
Creador de tormentas,,170,2,632,0,-1,0,41
Perdición de la Legión,,171,3,633,0,-1,0,41
Destino de Puño Negro,,172,4,634,0,-1,0,41
Tifón,,173,5,635,0,-1,0,41
Cetro de lo profundo,,174,2,801,963,-1,0,42
Nacido del titán,,175,3,802,961,-1,0,42
Portador del tótem,,176,4,803,962,-1,0,42
Destino congelado,,177,5,804,959,-1,0,42
Cosechadora Vientomuerto,,178,1,646,0,-1,0,39
Mano del afligido,,179,2,647,0,-1,0,39
Succión de alma,,180,3,648,0,-1,0,39
El final del destino,,181,6,649,0,-1,1,39
Mano de la muerte,,182,4,650,0,-1,0,39
Cráneo de los Man'ari,,183,1,760,922,20,0,37
Mirada del primer invocador,,184,2,781,927,20,0,37
Orgullo del señor del foso,,185,3,782,926,20,0,37
Restos ardientes,,186,4,783,923,20,0,37
Alma del olvidado,,187,5,784,925,20,0,37
"Strom'kar, la Belicista",,188,1,641,0,-1,0,36
Venganza del caído,,189,2,749,0,-1,0,36
Orilla de la cólera,,190,4,752,0,-1,0,36
Segadora de fuego,,191,3,750,0,-1,0,36
Espada del campeón del cielo,,192,5,751,0,-1,0,36
Espadas de Guerra de los Valarjar,,193,1,639,640,-1,0,35
Brazo del jinete de dragones,,194,2,761,765,-1,0,35
Aliento de tormenta,,195,4,764,768,-1,0,35
Mirada de Helya,,196,5,763,767,-1,0,35
Fauce de valor,,197,3,762,766,-1,0,35
Corredor salvaje,,200,5,934,0,-1,0,55
Espíritu lunar,,203,6,636,637,-1,1,58
Crematoria,,206,1,62,0,-1,0,80
Crematoria,,207,1,62,0,-1,0,81
Crematoria,,208,1,62,0,-1,0,80
Pescadora sondaluz,,211,1,818,0,1,0,73
Carga del Lanomante,,212,6,825,0,-1,1,4
Toque de los No-muertos,,213,6,826,0,-1,1,15
Hojarruna Oscura,,214,6,827,828,-1,1,12
Liberación de la muerte,,215,5,829,0,-1,0,16
Caminamuerte,,216,6,830,932,-1,1,3
Alaparda,,217,5,909,910,-1,0,60
Guadaña de Maná,,218,5,835,0,-1,0,59
Poder de los Fauceparda,,219,5,188,638,-1,0,57
Vigilancia de la Noche,,220,5,67,0,-1,0,13
Brecha del Titán,,221,6,836,0,-1,1,56
Guardián de los Bosques,,222,5,837,0,-1,0,34
El diseño de las estrellas,,223,6,842,938,-1,1,54
Magos de Élite,,224,5,843,0,-1,0,53
Guardián de Brebajes Anciano,,225,6,844,0,-1,1,52
Esencia de la Calma,,226,5,849,0,-1,0,51
Agente de Xuen,,227,5,850,851,-1,0,50
Armamento del Vigía,,228,6,852,199,-1,1,48
Protector Divino,,229,3,853,942,-1,0,49
Recuerdo Corrupto,,230,6,854,0,-1,1,2
Vigía Ascendido,,231,5,855,0,-1,0,46
Blasón del natoluz,,232,6,947,0,-1,1,45
Zarpa de N'Zoth,,233,6,857,956,-1,1,47
Filo Fantasmal,,234,5,862,867,-1,0,43
"Furiatrueno, la espada maldita del Señor del viento",,235,6,872,877,-1,1,44
Mordedura de Venenonte,,236,6,878,879,-1,1,17
Prestigio de los Amani,,237,6,884,889,-1,1,40
Campeón Zandalar,,238,6,890,0,-1,1,41
Serpiente Enroscada,,239,6,891,960,-1,1,42
Lomo de los Condenados,,240,5,892,0,-1,0,39
Rostro de Thal'kiel,,241,6,893,924,20,1,37
Disfraz del Oscurecedor,,242,5,894,0,-1,0,38
Rompehojas de arcanita,,243,6,895,0,-1,1,36
Filo de Matadragones ,,244,6,896,897,-1,1,35
Rompelegión,,245,5,898,964,-1,0,11
