ID,Name_lang,Shortcut_lang,Flags,FactionGroup,Ruleset
1,General: %s,General,1572875,0,0
2,Comercio: %s,Comercio,1048635,0,0
22,Defensa local: %s,DefensaLocal,1114123,0,0
26,BuscarGrupo,BuscarGrupo,262152,0,0
27,CanalMundialPiegrande,CanalMundialPiegrande,8,0,0
28,RocadeEncuentro,RocadeEncuentro,8,0,0
32,Canal de Novatos,CanaldeNovatos,14680072,0,1
33,zzOLD Shadowlands Beta Discussion,ShadowlandsBetaDiscussion,2097160,0,0
34,zzOLD Shadowlands PTR Discussion,ShadowlandsPTRDiscussion,2097160,0,2
35,War Within Test Discussion,WarWithinPruebaDebate,6291465,0,0
36,Hora de Cromi - Cataclysm,HoradeCromi,2097160,0,2
37,Hora de Cromi - Burning Crusade,HoradeCromi,2097160,0,2
38,Hora de Cromi - Wrath of the Lich King,HoradeCromi,2097160,0,2
39,Hora de Cromi - Mists of Pandaria,HoradeCromi,2097160,0,2
40,Hora de Cromi - Warlords of Draenor,HoradeCromi,2097160,0,2
41,Hora de Cromi - Legion,HoradeCromi,2097160,0,2
42,Comercio (servicios) - %s,Servicios,1048635,0,0
