ID,Description_lang,ModifiedCraftingCategoryID,ItemBonusTreeID,Field_12_0_0_64124_003
3,Test for new modified crafting currency tech,903,3743,0
4,Fija el nivel de objeto entre 220 y 233 según la calidad de fabricación.,902,5883,0
5,Fija el nivel de objeto entre 233 y 246 según la calidad de fabricación.,902,5880,0
6,Fija el nivel de objeto entre 246 y 259 según la calidad de fabricación.,900,5102,0
7,Fija el nivel de objeto entre 259 y 272 según la calidad de fabricación.,901,5881,0
8,Fija el nivel de objeto entre 272 y 285 según la calidad de fabricación.,901,5882,0
9,Fija el nivel de objeto entre 305 y 318 según la calidad de fabricación.,911,6087,0
10,Fija el nivel de objeto entre 318 y 331 según la calidad de fabricación.,911,6088,0
11,Fija el nivel de objeto entre 266 y 279 según la calidad de fabricación.,902,6110,0
12,Fija el nivel de objeto entre 279 y 292 según la calidad de fabricación.,902,6111,0
