Name_lang,ID,SituationEnum,Flags,TransmogSituationGroupID,OrderIndex
Todas las especializaciones,1,0,13,5,0
Especialización,2,1,19,6,0
Todas las ubicaciones,3,2,13,2,0
Área de descanso,4,3,1,3,0
Mundo,5,6,1,4,0
Abismos,6,7,1,4,1
Casa,7,4,1,3,1
Selección de personaje,8,5,1,3,2
Calabozos,9,8,1,4,2
Bandas,10,9,1,4,3
Arenas,11,10,1,4,4
Campos de batalla,12,11,1,4,5
Todo movimiento,13,12,13,7,0
Desmontado,14,13,1,8,0
Nado,15,14,1,8,1
Montura terrestre,16,15,1,8,2
Montura voladora,17,16,1,8,3
Todos los conjuntos de equipamiento,18,17,13,9,0
Conjunto de equipamiento,19,18,17,10,0
Todas las formas raciales,20,19,13,11,0
Forma nativa,21,20,17,12,0
Forma no nativa,22,21,17,12,1
