ID,Name_lang,UiTextureAtlasMemberID,UiTextureKitID
3,Combate,3475,0
4,Genérico,3475,0
5,Reciclar,3567,0
6,Logística,3580,0
7,Vida salvaje,3572,0
8,Negociaciones,3575,0
9,Construcción,3578,0
10,Provisión,3568,0
11,Reclutamiento,3583,0
12,Entrenamiento,3574,0
13,Patrullar,3582,0
14,Investigación,3574,0
15,Defensa,3577,0
16,Exploración,3476,0
17,Asedio,3570,0
18,Alquimia,3571,0
19,Herrería,3474,0
20,Encantamiento,3566,0
21,Ingeniería,3581,0
22,Inscripción,3579,0
23,Joyería,3576,0
24,Peletería,3584,0
25,Sastrería,3573,0
35,Tesoro,3575,0
36,Duelo de mascotas,3572,0
37,Combate de naves,4613,174
38,Petróleo de nave (Sin usar),4614,175
39,Entrenamiento de nave,4617,178
40,Tesoro de nave,4618,179
41,Asedio A de nave,4615,176
42,Asedio H de nave,4616,177
46,Explorando,3582,0
47,Bonificación de nave,4897,220
48,Nave-Legendaria,4931,221
49,Asedio IHA de nave,5016,224
50,Asedio IHH de nave,5017,223
51,Apoyo en zona: Alianza,5597,244
52,Invasión,3577,224
53,Artefacto: misión de monje,4929,221
54,Genérico (7.0),3475,0
55,7.0 Tutorial,4929,221
57,Apoyo en zona: Horda,5598,245
58,Artefacto: misión de chamán,4929,221
59,Artefacto: misión de druida,4929,221
60,Artefacto: misión de mago,4929,221
61,Artefacto: misión de cazador,4929,221
63,Artefacto: misión de paladín,4929,221
64,Artefacto: misión de brujo,4929,221
65,Artefacto: misión de cazador de demonios,4929,221
66,Artefacto: misión de pícaro,4929,221
67,Artefacto: misión de sacerdote,4929,221
68,Artefacto: misión de caballero de la muerte,4929,221
69,Artefacto: misión de guerrero,4929,221
70,7.0 Class Hall - Campaign Missions,6130,0
71,7.0 Class Hall - Generic Missions,6132,0
72,7.0 Class Hall - Treasure Missions,6128,0
73,7.0 Class Hall - Special Reward Missions,6131,0
74,7.0 Class Hall - Quest Missions,6130,0
75,7.0 Class Hall - Treasure Missions - Dungeon,6128,0
76,7.0 Class Hall - Treasure Missions - Raid,6128,0
79,7.2 Costa Quebrada - Misiones genéricas,6132,0
80,8.0 - Generic Missions,7747,0
81,8.0 - Stealth,7749,0
82,8.0 - Quick Strike,7748,0
83,8.0 - Long Campaign,8046,0
184,8.0 - Hub Unlock,7746,0
185,8.1 - Treasure Map,8778,0
186,8.2 - Holiday Mission,7746,0
187,8.2 - Deep Sea,9262,0
188,8.2 Azerite Essence - Treasure,8778,0
189,9.0 Encounter - Maldraxxus,6128,0
190,9.0 Encounter - Ardenweald,4929,0
191,9.0 - Encuentro - Revendreth,7748,0
192,9.0 Encounter - Bastion,6130,0
193,9.0 Encounter - Tazavesh,6128,0
194,9.0 Encounter - Maw Assault,6128,0
195,9.0 Encounter - Treasure,6128,0
196,Encuentro del 9.2 - Zereth Mortis,6128,0
