ID,Name_lang,Description_lang,OrderIndex,Flags,Field_12_0_5_66330_004
1,Hacer misiones,Buscar nombres de misiones...,0,84,0
2,Calabozos,"Buscar niveles de llaves, calabozos...",2,288,0
3,Bandas,"Buscar bandas, jefes, dificultades...",4,289,0
4,Arenas,,0,288,0
5,Gestas,,3,256,0
6,Personalizado,,10,66,0
7,Refriegas de arena,,1,64,0
8,Campos de batalla,,2,66,0
9,Campos de Batalla Puntuados,,3,290,0
111,Expediciones insulares,,1,320,5703
113,Torghast,"Buscar niveles, alas...",1,384,5703
121,Abismos,"Buscar abismos, niveles...",1,384,0
