Name_lang,Description_lang,ID,Flags,Field_12_0_0_63534_004,Field_12_0_0_63534_005,Field_12_0_0_63534_006
Tiger Test NI,"Initiative is used in Unit Testing, Ask Tiger Lu before changing values",1,1,100,0,-1
La mejor iniciativa,Es la mejor,6,1,0,90931,0
Test Initiative - Not as good as the last one,No es tan buena,7,1,0,90934,1
Gran iniciativa,Quizás no es tan genial,9,1,0,90935,0
[DNT] With Regards to Sporeggar,"[DNT] The farmers and cultivators of the Neighborhood are struggling to produce good soil for this seasons crop rotation. Sympathetic to their plight, the Cenarion Circle has recommended reaching out to a small farming village on the outskirts of Zangarmarsh...",10,1,0,90973,0
[DNT] Deeperholm,[DNT] The Earthen residents of the neighborhood have remarked that the indigenous elementals that roam the outer neighborhood could potentially be good allies if approached carefully. They advise seeking the counsel of Therazane in Deepholm for assistance.,11,1,0,90973,0
Cultura velística,Empezaron a aparecer extraños depósitos de cera en el vecindario. ¡¿Y quién mejor que los kóbolds de las Minas Resonantes para encontrarles un uso?! Busca su consejo sobre la iluminación.,12,0,0,91278,0
Amistad con los grúmel,"¡Mantener un hogar es una tarea difícil! A todos nos vendría bien un poco de energía. Por eso, contactamos a los grúmel de Kun-Lai que preparan una bebida especial llamada kafa que te revitalizará.",13,0,0,91362,0
[DNT] Holm Sweet Holm,[DNT] The Earthen residents of the neighborhood have remarked that the indigenous elementals that roam the outer neighborhood could potentially be good allies if approached carefully. They advise seeking the counsel of Therazane in Deepholm for assistance.,14,1,0,91396,0
Ayuda artística,Una comuna artística de elfos de sangre se refugia en el vecindario mientras su hogar está bajo ataque y quiere compartir su destreza artística con el vecindario.,15,0,0,91633,0
Más allá de lo posible,Los dracthyr se han reinventado recientemente y han elegido su propio camino en la vida. Su pasión por el aprendizaje inspirará a los residentes del vecindario a estudiar nuevos oficios.,16,0,0,92151,0
Mecanización moderada,Los mecagnomos de Mecalópolis están aquí para ayudar al vecindario con algunas mejoras tecnológicas.,17,0,0,92687,0
Consternación del consorcio,El Consorcio existe en el vecindario para ayudar a los lugareños a recuperar artículos perdidos en depósitos del Vacío.,18,0,0,93941,0
Olfato privilegiado,"Los olfatopos vinieron al vecindario para ayudarnos con algunos problemas de polinización. Juntos, pueden hacer que la flora de los vecindarios recupere su esplendor.",19,0,0,94009,0
Un día de bakares,"Los residentes del vecindario aman a sus mascotas, pero les vendría bien un poco de ayuda para entrenarlas. Los maruuk de las Llanuras de Ohn'ahra guardan vínculos muy estrechos con sus bakares, y puede que estén dispuestos a compartir algunos consejos de entrenamiento.",20,0,0,95174,0
Imitaciones amani,"Griftah y su grupo de comerciantes itinerantes están visitando el vecindario para comerciar sus ""artículos amani tradicionales"". Puede que no sean genuinos, pero se ven bien.",22,0,0,95334,0
Época de vacaciones,"El pueblo tortollano está muy conectado con el mundo. Tanto, que no necesitan que les presentes el vecindario: ¡vienen a vacacionar aquí desde mucho antes que tú te instalaras! Disfruta de su conocimiento recreativo.",24,0,0,96734,0
