ID,Name_lang,Description_lang,GarrAbilityCategoryID,GarrFollowerTypeID,IconFileDataID,FactionChangeGarrAbilityID,Flags
4,Destripador de orcos,Aumenta la probabilidad de éxito al luchar contra orcos.,1,1,897144,0,1
5,Ventisca,Lanzado por un mago para infligir daño a muchos enemigos.,0,1,135857,0,0
6,Muro de escudo,Usado por un guerrero para reducir el daño exponencialmente.,0,1,132362,0,0
7,Montaraz,Aumenta la probabilidad de éxito al luchar en las montañas.,6,1,236848,0,1
8,Sangre fría,Aumenta la probabilidad de éxito al luchar en la nieve.,6,1,236833,0,1
9,Habitante del páramo,Aumenta la probabilidad de éxito al luchar en el desierto.,6,1,236846,0,1
10,Salto de fe,Lanzado por un sacerdote para ayudar al objetivo a escapar del peligro (o solo para molestar).,0,1,463835,0,0
11,Rezo de sanación,Lanzado por un sacerdote para sanar a un grupo de aliados.,0,1,135943,0,0
29,Aprendiz rápido,Aumenta un 50% la experiencia que este seguidor obtiene de una misión.,7,1,236225,0,33
30,Líder nato,Aumenta la cantidad de PE que los seguidores obtienen de una misión.,0,1,236362,0,3
36,Destripademonios,Aumenta la probabilidad de éxito al luchar contra demonios.,1,1,254651,0,1
37,Destripadora de bestias,Aumenta la probabilidad de éxito al luchar contra bestias.,1,1,298659,0,1
38,Mataogros,Aumenta la probabilidad de éxito al luchar contra ogros.,1,1,236695,0,1
39,Cazaprimigenios,Aumenta la probabilidad de éxito al luchar contra primigenios y sus esbirros.,1,1,254105,0,1
40,Matagronns,Aumenta la probabilidad de éxito al luchar contra rompedores y sus esbirros.,1,1,236412,0,1
41,Matafurias,Aumenta la probabilidad de éxito al luchar contra furias elementales.,1,1,254652,0,1
42,Asesino de vacíos,Aumenta la probabilidad de éxito al luchar contra aberraciones y no-muertos.,1,1,298680,0,1
43,Matagarfas,Aumenta la probabilidad de éxito al luchar contra arakkoas y sus esbirros.,1,1,952507,0,1
44,Naturalista,Aumenta la probabilidad de éxito al luchar en un bosque.,6,1,236830,0,1
45,Troglodita,Aumenta la probabilidad de éxito al luchar bajo tierra.,6,1,409595,0,1
46,Combatiente de guerrilla,Aumenta la probabilidad de éxito al luchar en la jungla.,6,1,236850,0,1
47,Maestro asesino,Otorga una enorme probabilidad adicional de éxito en la misión.,11,1,458726,0,19
48,Caminamarismas,Aumenta la probabilidad de éxito al luchar en un pantano.,6,1,236819,0,1
49,Correllanuras,Aumenta la probabilidad de éxito al luchar en llanuras.,6,1,236712,0,1
