Text_lang,Text1_lang,ID,LanguageID,ConditionID,EmotesID,Flags,ChatBubbleDurationMs,VoiceOverPriorityID,SoundKitID[0],SoundKitID[1],EmoteID[0],EmoteID[1],EmoteID[2],EmoteDelay[0],EmoteDelay[1],EmoteDelay[2]
¡Socorro! ¡Socorro! ¡Soy víctima de represión!,,1,0,0,0,70,0,0,0,0,0,0,0,0,0,0
Secuencia de autodestrucción activada.,,3927,0,0,0,69,0,0,0,0,0,0,0,0,0,0
¡QUE EL FUEGO TE PURIFIQUE!,,9426,0,0,0,71,0,0,8046,0,0,0,0,0,0,0
,Vamos. Por aquí.,15708,7,0,0,68,0,0,0,44118,0,0,0,0,0,0
"¡Ya es bastante lejos, orco! ¡Desmonta y sométete, o muere!","¡Ya es bastante lejos, orco! ¡Desmonta y sométete, o muere!",33630,0,8193,0,69,0,0,0,0,0,0,0,0,0,0
,"¡Fuera de nuestro camino, necios!",33631,0,8193,0,69,0,0,0,0,0,0,0,0,0,0
Pérdida de vida inevitable.,,33996,0,0,0,65,0,0,0,0,0,0,0,0,0,0
Hago lo que debo hacer.,,33997,0,0,0,65,0,0,0,0,0,0,0,0,0,0
Se te acabó el tiempo.,,34001,0,0,0,65,0,0,0,0,0,0,0,0,0,0
"Quizás sea su imperfección, ésa que les da el libre albedrío, lo que les permite perseverar contra toda probabilidad calculada cósmicamente. Ustedes prevalecen donde las propias creaciones perfectas de los titanes han fallado.",,34012,0,0,0,65,0,0,0,0,0,0,0,0,0,0
,¡Capitán! ¡Naufragio a estribor! ¡Parece que hay sobrevivientes!,39672,0,0,0,71,0,0,0,20916,0,0,0,0,0,0
¡Compóngase! En una hora estaremos matando orcos.,,41964,0,0,1,71,0,0,21208,0,0,0,0,0,0,0
¡Formen filas!,,41984,0,0,22,71,0,0,21205,0,0,0,0,0,0,0
Esa isla en el horizonte es nuestro destino.,,42092,0,0,1,71,0,0,21185,0,0,0,0,0,0,0
"Es donde haremos nuestro deber, por nuestro rey, por Ventormenta y su gente…",,42093,0,0,1,71,0,0,21186,0,0,0,0,0,0,0
Grito Infernal ha enviado a sus mejores hombres. Procuraremos que ninguno sobreviva…,,42095,0,0,1,71,0,0,21188,0,0,0,0,0,0,0
¡Ventormenta nunca caerá!,,42097,0,0,53,71,0,0,21190,0,0,0,0,0,0,0
,"¡Vayan, mis nagas! ¡Denle al poderoso Cazamareas su bienvenida!",42407,0,0,1,118,0,0,0,18874,0,0,0,0,0,0
