ID,Description_lang,Color
2,Ahora con más descripciones,16777215
20,Temporada 10,-16711936
226,Temporada 10 élite,-16711936
525,Temporada 9 élite,-16711936
653,Temporada 9,-16711936
1013,Temporada 11,-16711936
1208,Temporada 11 élite,-16711936
1591,Temporada 19,-16711936
1593,Este color me hace daño a los ojos,-65536
1641,Buscador de bandas,-16711936
2015,Heroico,65280
2023,Temporada 10 élite,-1
2255,Temporada 12,65280
2667,Temporada 12 élite,65280
3564,,65280
3759,Material de artesano,-10044417
3765,Bolsa de 100 ranuras,-1
3845,Heroico de élite,65280
3859,Élite,65280
3933,Temporada 13,65280
3934,Temporada 13 élite,65280
4918,Rango 1,-16711681
4949,Rango 2,-16711681
4953,Rango 3,-16711681
4957,Rango 4,-16711681
4961,Rango 5,-16711681
4965,Rango 7,-16711681
4969,Rango 8,-16711681
4970,Rango 6,-16711681
5213,Objeto de gesta,-1
5616,Forjas del Trueno,65280
6360,Heroico Forjas del Trueno,65280
6798,Rango 9,-16711681
6842,Rango ??,-16711681
6843,Temporada 8,65280
6894,Temporada 8 élite,65280
7052,Temporada 7,65280
7225,Temporada 7 élite,65280
7261,Temporada 6,65280
7434,Temporada 6 élite,65280
7463,Temporada 5,65280
7636,Temporada 4,65280
7775,Temporada 3,65280
7906,Temporada 2,65280
8027,Temporada 1,65280
8869,Flexible,65280
9059,Temporada 14,65280
9459,Temporada 14 élite,65280
10066,Heroico Forjas del Trueno,16711680
10126,Temporada 15,65280
10520,Temporada 15 élite,65280
11080,Intemporal,65280
11179,Heroico Forjas de la guerra,65280
11428,Forjas de la guerra,65280
12743,Trofeo,-10044417
12790,Prístino,-16711936
12934,Material de alquimia,-10044417
13021,Material de artesano,-7820545
13111,de Poder,0
13145,Mítico,-16711936
13149,Material de ingeniería,-10044417
13150,del Destello,0
13151,de los Incomparables,0
13152,de la Hoja Rauda,0
13153,del Salvaje,0
13154,del Fanático,0
13155,del Astuto,0
13156,de la Llama Febril,0
13157,de la Aurora,0
13158,del Diestro,0
13159,del Zelote,0
13160,del Creador de Vientos,0
13161,del Armónico,0
13162,del Despiadado,0
13163,del Adivino,0
13164,del Noble,0
13165,del Estratega,0
13166,del Augur,0
13167,del Fiel,0
13168,del Heraldo,0
13169,de Rompetormentas,0
13170,del Impaciente,0
13171,del Sabio,0
13172,de los Adaptable,0
13173,del Incansable,0
13174,del Piadoso,0
13175,del Indomable,0
13176,del Exterminador,0
13178,Torneo de Warlords,65280
13181,Ingrediente de cocina,-10044417
13184,Componente de creación,-10044417
13185,Fase 2 de 6,65280
13186,Fase 3 de 6,65280
13187,Fase 1 de 6,65280
13188,Mítico Forjas de la guerra,-16711936
13190,Equipo del seguidor,-9316865
13191,Recurso de la fortaleza,-10044417
13192,Parte de puesto de venta,-16724737
13193,Normal,65280
13194,Módulo de puesto de venta,-16724737
13195,Prístino,-10044417
13196,Warlords Temporada 1,65280
13197,Amuleto racial JcJ,-7820545
13198,Warlords Temporada 1 élite,65280
13201,Nivel 0,65280
13202,Nivel 1 - Sagrado,65280
13203,Nivel 1 - Fuego,65280
13204,Nivel 1 - Corrupto,65280
13205,Nivel 2 - Sagrado,65280
13206,Nivel 2 - Fuego,65280
13207,Nivel 2 - Corrupto,65280
13208,Fase 4 de 6,65280
13209,Plano de la fortaleza,-10044417
13210,Caminante del tiempo,-1651584
13211,Warlords Temporada 2,65280
13212,Warlords Temporada 2 élite,65280
13213,Warlords Temporada 3,65280
13214,Warlords Temporada 3 élite,65280
13215,Carterista,-16724737
13216,Cronodistorsionado,-16711936
13217,Fase 5 de 6,65280
13218,Fase 6 de 6,65280
13219,Poder de artefacto,-1651584
13220,Forjas de la guerra cronodistorsionadas,-16711936
13222,Potenciado,65280
13223,Maná ancestral,-10044417
13224,Equipamiento naval,65280
13225,Objeto Torvo,-16711936
13226,"Legion, temporada 1",65280
13227,"Legion, temporada de élite 1",65280
13228,Equipo de campeón,-12288
13230,Fase 1 de 9,65280
13231,Fase 2 de 9,65280
13232,Fase 3 de 9,65280
13233,Fase 4 de 9,65280
13234,Fase 5 de 9,65280
13235,Fase 6 de 9,65280
13236,Fase 7 de 9,65280
13237,Fase 8 de 9,65280
13238,Fase 9 de 9,65280
13239,Forjado por los titanes,65280
13241,Furia de Odyn,-1651584
