ID,Name_lang,Description_lang,Cooldown,Duration,Flags,SchoolMask,IconFileDataID
1,DNT JasonTest Envirospell,,2,1,0,0,0
2,DNT JasonTest Ability Spell,"DNT Test test  Effect 0 Attack points $s0, Effect 1 Attack points % $s1, Effect 2 Flat points $s2, Effect 3 Flat points % $s3",4,2,1,0,461809
3,DNT Owen Test Double Effect,,3,0,0,0,0
4,Doble golpe,Nadjia ataca dos veces al enemigo más cercano y le inflige $s1 p. y luego $s2 p. de daño físico.,3,0,0,1,333546
5,Barrido con ala,Draven abre sus alas e inflige $s1 p. de daño físico a todos los enemigos.,1,0,0,1,2103875
6,Explosión de sangre,Theotar emite ondas sombrías que infligen $s1 p. de daño de las sombras a todos los enemigos a su alcance.,2,0,0,32,136118
7,Machaque de esqueletos,Inflige $s1 p. de daño físico al enemigo más cercano.,2,1,0,32,3386321
8,Golpe de halcón,Eli ataca con la velocidad de un halcón y le inflige daño al enemigo más cercano.,1,0,0,8,132188
9,Aullido sanador,Les otorga a todos los aliados un $s1% de su salud máxima.,4,0,0,64,1033494
10,Machaque de ramaestrella,"Machaca al enemigo más cercano y le inflige un $s1% de su salud máxima como daño. Cada turno, recupera un $s3% de su salud máxima e inflige un $s2% de la salud máxima como daño de escarcha a todos los enemigos.",3,3,0,16,514019
11,Atacar automáticamente,Inflige daño de ataque al enemigo más cercano.,0,0,0,1,1064261
12,Reconstrucción ósea,Otorga $s1 p. de salud a todos los aliados.,1,1,0,32,136230
13,Caricia suave,,0,0,0,8,132125
14,Caricia del espíritu,Anjali les otorga $s1 p. de salud a todos los aliados.,3,0,0,32,132993
15,Atacar automáticamente,Inflige daño a un enemigo dentro del radio de alcance.,0,0,0,1,135490
16,Quebrar alma,Thela arranca un recuerdo del enemigo más lejano y le inflige $s1 p. de daño de las sombras.,1,0,0,32,2065625
17,Especial de tierra de tumba,"Terro les arroja tierra de tumba a todos los enemigos con una pala, les inflige $s1 p. de daño de escarcha y recupera $s2 p. de salud.",0,0,0,16,134436
18,Alas de furia,Nerith golpea tres veces a todos los enemigos en un radio cuerpo a cuerpo y les inflige $s1 p. de daño de las sombras con cada golpe.,4,0,0,32,2103919
