ID,Name_lang,TotemCategoryType,TotemCategoryMask
1,Cuchillo para desollar,1,1
2,Tótem de tierra,2,1
3,Tótem de aire,2,2
4,Tótem de fuego,2,4
5,Tótem de agua,2,8
6,Vara de encantamiento con runas,24,65536
7,Vara de encantamiento con runas,24,65536
8,Vara de encantamiento con runas,24,65536
9,Vara de encantamiento con runas,24,65536
10,Vara de encantamiento con runas,24,65536
11,Pico de minería,21,1
12,Piedra filosofal,22,1
13,Martillo de herrero,23,1
14,Llave de tuerca arcoluz,24,1
15,Microajustador giromático,24,2
21,Tótem maestro,2,15
41,Vara de encantamiento con runas,24,65536
62,Vara de encantamiento con runas,24,65536
63,Vara de encantamiento con runas,24,65536
81,Pluma hueca,22,4
101,Vara de encantamiento con runas,24,69631
121,Juego de caligrafía de virtuoso,24,-2147483648
141,Tambores,24,1073741824
161,Navaja gnómica,24,127
162,Martillo de herrero,24,4
165,Pico de minería,24,8
166,Cuchillo para desollar,24,16
167,Martillo pico,24,12
168,Piqueta afilada,24,24
169,Sílex y yesca,24,32
189,Vara de encantamiento con runas,24,65536
190,Vara de encantamiento con runas,24,65536
209,Vara de encantamiento con runas,24,65536
210,Pistola de descarga de gran potencia,24,64
230,Vara de encantamiento con runas,24,65536
238,Herramientas de joyero,24,64
250,Navaja gnómica suprema,24,-2147417985
253,Pluma sanguinaria de Lana'thel,61,1
354,Ub3r-Llave,24,1
355,Enfoque del Vacío,162,1
356,Enfoque del Vacío potenciado,162,3
357,Enfoque del Vacío liberado,162,7
358,Maestro de oficios,24,-2147483553
359,Juego de grabado virtuoso,24,-2147483648
362,Multiherramienta de ingeniería,24,71
369,Todo de ejército gnómico,164,-1
