ID,Name_lang,BackgroundFile,Description_lang,OrderIndex,Field_4_4_0_53627_004,ClassMask,CategoryEnumID,SpellIconID,RoleMask,MasterySpellID[0],MasterySpellID[1]
181,Combate,RogueCombat,$gUn maestro:Una maestra; del arte de la espada que usa la agilidad y la astucia para enfrentarse cuerpo a cuerpo contra los enemigos.,1,0,8,0,0,8,76806,0
182,Asesinato,RogueAssassination,$gUn maestro:Una maestra; letal de venenos que despacha víctimas con brutales golpes con dagas.,0,0,8,0,0,8,76803,0
183,Sutileza,RogueSubtlety,$gUn acechador oscuro:Una acechadora oscura; que aparece de las sombras para asaltar a su víctima por sorpresa.,2,0,8,0,0,8,76808,0
261,Elemental,ShamanElementalCombat,$gUn taumaturgo:Una taumaturga; que se vale de las fuerzas destructivas de la naturaleza y de los elementos.,0,0,64,0,0,8,77222,0
262,Restauración,ShamanRestoration,$gUn sanador:Una sanadora; que invoca espíritus ancestrales y el poder purificador del agua para sanar las heridas de los aliados.,2,0,64,0,0,4,77226,0
263,Mejora,ShamanEnhancement,$gUn guerrero totémico:Una guerrera totémica; que ataca a los enemigos con armas imbuidas con poder elemental.,1,0,64,0,0,8,77223,0
398,Sangre,DeathKnightBlood,$gUn guardián oscuro:Una guardiana oscura; que manipula y corrompe la energía vital para sustentarse frente al ataque del enemigo.,0,0,32,0,0,2,77513,0
399,Escarcha,DeathKnightFrost,$gUn presagista helado:Una presagista helada; de la fatalidad; canaliza el poder rúnico e inflige golpes con arma rápidos.,1,0,32,0,0,8,77514,0
400,Profano,DeathKnightUnholy,$gUn maestro:Una maestra; de la muerte y la descomposición que extiende infecciones y controla esbirros no-muertos que cumplen su voluntad.,2,0,32,0,0,8,77515,0
409,Tenacidad,HunterPetTenacity,,0,0,0,2,0,2,0,0
410,,,,0,0,0,0,0,0,0,0
411,,,,0,0,0,0,0,0,0,0
760,Disciplina,PriestDiscipline,Usa la magia para proteger a los aliados de recibir daño y sana sus heridas.,0,0,16,0,0,4,77484,0
795,Sombra,PriestShadow,"Usa siniestra magia de las Sombras, especialmente hechizos de daño en el tiempo, para erradicar a los enemigos.",2,0,16,0,0,8,77486,0
807,Puntería,HunterMarksmanship,$gUn maestro arquero:Una maestra arquera; o $gtirador certero:tiradora certera; que destaca a la hora de derribar a los enemigos desde lejos.,1,0,4,0,0,8,76659,0
809,Supervivencia,HunterSurvival,"$gUn curtido rastreador:Una curtida rastreadora; que prefiere usar veneno animal, explosivos y trampas como armas letales.",2,0,4,0,0,8,76658,0
811,Bestias,HunterBeastMastery,$gUn maestro:Una maestra; de lo salvaje que puede domesticar una gran variedad de bestias para que $glo:la; ayuden en el combate.,0,0,4,0,0,8,76657,0
813,Sagrado,PriestHoly,$gUn sanador:Una sanadora; versátil que puede invertir el daño hacia individuos o grupos y que sana incluso desde el más allá.,1,0,16,0,0,4,77485,0
865,Destrucción,WarlockDestruction,$gUn maestro:Una maestra; del daño de explosión que invoca fuego para quemar y arrasar a los enemigos.,2,0,256,0,0,8,77220,0
867,Demonología,WarlockSummoning,$gUn maestro:Una maestra; en magia demoníaca que se transforma en demonio y controla energías demoníacas que $glo:la; ayudan en combate.,1,0,256,0,0,8,77219,0
871,Aflicción,WarlockCurses,"$gUn maestro:Una maestra; de la magia de las Sombras que se especializa en los hechizos de miedo, drenado y de daño en el tiempo.",0,0,256,0,0,8,77215,0
2053,,,,0,0,0,0,0,0,0,0
2054,,,,0,0,0,0,0,0,0,0
2058,,,,0,0,0,0,0,0,0,0
2096,,,,0,0,0,0,0,0,0,0
2208,,,,0,0,0,0,0,0,0,0
2213,,,,0,0,0,0,0,0,0,0
2214,,,,0,0,0,0,0,0,0,0
2219,,,,0,0,0,0,0,0,0,0
2223,,,,0,0,0,0,0,0,0,0
2239,,,,0,0,0,0,0,0,0,0
2740,,,,0,0,0,0,0,0,0,0
3279,,,,0,0,0,0,0,0,0,0
