ID,ClassSpec_lang,ClassSpec_Male_lang,ClassSpec_Female_lang,UiTextureAtlasMemberID,GarrFollItemSetID,FollowerClassLimit,Flags
2,Caballero de la Muerte de sangre,Caballero de la Muerte de sangre,Caballero de la Muerte de sangre,3487,6,0,0
3,Caballero de la Muerte de Escarcha,Caballero de la Muerte de Escarcha,Caballero de la Muerte de Escarcha,3487,7,0,0
4,Caballero de la Muerte profano,Caballero de la Muerte profano,Caballero de la Muerte profano,3487,8,0,0
5,Druida de equilibrio,Druida de equilibrio,Druida de equilibrio,3485,9,0,0
7,Druida feral,Druida feral,Druida feral,3485,10,0,0
8,Druida guardián,Druida guardián,Druida guardián,3485,11,0,0
9,Druida de restauración,Druida de restauración,Druida de restauración,3485,12,0,0
10,Cazador maestro de bestias,Cazador maestro de bestias,Cazadora maestra de bestias,3477,13,0,0
12,Cazador de puntería,Cazador de puntería,Cazadora de puntería,3477,14,0,0
13,Cazador de supervivencia,Cazador de supervivencia,Cazadora de supervivencia,3477,15,0,0
14,Mago arcano,Mago arcano,Maga arcana,3482,16,0,0
15,Mago de Fuego,Mago de Fuego,Maga de fuego,3482,17,0,0
16,Mago de escarcha,Mago de escarcha,Maga de escarcha,3482,18,0,0
17,Monje maestro cervecero,Monje maestro cervecero,Monje maestro cervecero,3480,19,0,0
18,Monje tejedor de niebla,Monje tejedor de niebla,Monje tejedor de niebla,3480,20,0,0
19,Monje viajero del viento,Monje Viajero del viento,Monje Viajero del viento,3480,21,0,0
20,Paladín sagrado,Paladín sagrado,Paladín sagrada,3486,22,0,0
21,Paladín de protección,Paladín de protección,Paladín de protección,3486,23,0,0
22,Paladín de reprensión,Paladín de reprensión,Paladín de reprensión,3486,24,0,0
23,Sacerdote de disciplina,Sacerdote de disciplina,Sacerdotisa de disciplina,3479,25,0,0
24,Sacerdote sagrado,Sacerdote sagrado,Sacerdotisa sagrada,3479,26,0,0
25,Sacerdote de las sombras,Sacerdote de las sombras,Sacerdotisa de las sombras,3479,27,0,0
26,Pícaro de asesinato,Pícaro de asesinato,Pícara de asesinato,3481,28,0,0
27,Pícaro de combate,Pícaro de combate,Pícara de combate,3481,29,0,0
28,Pícaro de sutileza,Pícaro de sutileza,Pícara de sutileza,3481,30,0,0
29,Chamán elemental,Chamán elemental,Chamán elemental,3484,31,0,0
30,Chamán de mejora,Chamán de mejora,Chamán de mejora,3484,32,0,0
31,Chamán de restauración,Chamán de restauración,Chamán de restauración,3484,33,0,0
32,Brujo de aflicción,Brujo de aflicción,Bruja de aflicción,3483,34,0,0
33,Brujo de demonología,Brujo de demonología,Bruja de demonología,3483,35,0,0
34,Brujo de destrucción,Brujo de destrucción,Bruja de destrucción,3483,36,0,0
35,Guerrero de armas,Guerrero de armas,Guerrera de armas,3478,37,0,0
37,Guerrero de furia,Guerrero de furia,Guerrera de furia,3478,38,0,0
38,Guerrero de protección,Guerrero de protección,Guerrera de protección,3478,39,0,0
53,Transporte de tropas,Transporte,Transporte,4597,0,0,0
54,Destructor,Destructor,Destructor,4620,0,0,0
55,Portanaves,Portanaves,Portanaves,4838,0,0,0
56,Acorazado,Acorazado,Acorazado,4601,0,0,0
57,Submarino,Submarino,Submarino,4609,0,0,0
58,Transporte de tropas,Transporte,Transporte,4597,0,0,0
59,Destructor,Destructor,Destructor,4568,0,0,0
60,Portanaves,Portanaves,Portanaves,4842,0,0,0
61,Acorazado,Acorazado,Acorazado,4601,0,0,0
62,Submarino,Submarino,Submarino,4605,0,0,0
63,Cazador de demonios de Caos,Cazador de demonios de Caos,Cazadora de demonios de Caos,5939,0,0,0
64,Cazador de demonios de Venganza,Cazador de demonios de Venganza,Cazadora de demonios de Venganza,5940,0,0,0
65,Estudiante de la grulla,Estudiante de la grulla,Estudiante de la grulla,3480,0,4,3
66,Estudiante del tigre,Estudiante del tigre,Estudiante del tigre,3480,0,2,3
67,Estudiante del buey,Estudiante del buey,Estudiante del buey,3480,0,3,3
68,Monje maestro cervecero,Monje maestro cervecero,Monje maestra cervecera,5951,0,0,0
69,Monje tejedor de niebla,Monje tejedor de niebla,Monje tejedor de niebla,5952,0,0,0
70,Monje Viajero del viento,Monje Viajero del viento,Monje viajera del viento,5953,0,0,0
72,Arcanistas,Arcanistas,Arcanistas,3482,0,2,3
73,Elementales,Elementales,Elementales,3482,0,3,3
74,Tropa de magos C,Tropa de magos C,Tropa de magos C,3482,0,4,3
75,Horda elevada,Horda elevada,Horda elevada,3487,0,3,3
76,Soldados de la Espada de Ébano,Soldados de la Espada de Ébano,Soldados de la Espada de Ébano,3487,0,2,3
77,Abominación,Abominación,Abominación,3487,0,1,3
79,Los tábidos,Los tábidos,Los tábidos,5940,0,3,3
80,Guerreros Illidari,Guerreros Illidari,Guerreros Illidari,5940,0,2,3
81,Amigos del bosque,Amigos del bosque,Amigos del bosque,3485,0,3,3
82,Celadores de arboleda,Celadores de arboleda,Celadores de arboleda,3485,0,2,3
84,Tropa de cazadores C,Tropa de cazadores C,Tropa de cazadores C,3477,0,4,3
85,Leñadores,Leñadores,Leñadores,3477,0,2,3
