ID,Name_lang,GarrClassSpecID,PlayerConditionID,IconFileDataID,FlavorGarrStringID,OrderIndex
9,Manada de diablillos,102,42846,1396680,47,0
10,Enjambre de diablillos salvajes,102,40902,1396698,48,1
11,Acólitos de la Cosecha Oscura,103,41214,1396691,49,0
16,Invocadores de Cosecha Oscura,103,41213,1452660,50,1
17,Aprendices de Tirisgarde,72,41574,1396696,20,0
18,Invocadoras del Kirin Tor,72,41575,1396699,21,1
19,Elementales de agua,73,42839,1396675,18,0
20,Gólems arcanos,73,41573,1401852,19,1
21,Iniciados del buey,67,42840,1396688,22,0
22,Adeptos del buey,67,40092,1396705,23,1
23,Iniciados del estilo del tigre,66,40012,1396706,25,0
24,Adeptos del tigre,66,40138,1396707,26,1
25,Elementales menores,97,42847,1396645,40,0
26,Elementales mayores,97,41422,1396658,41,1
27,Círculo de invocadores de tierra,98,40260,1396708,42,0
28,Geomantes del Anillo de la Tierra,98,41421,1401884,43,1
29,Ascendientes,139,41525,1396660,44,0
30,Escuadrón de arqueros,86,42842,1401885,14,0
31,Tiradores ocultos,86,41557,1401886,15,1
32,Banda de rastreadores,85,41559,1401887,16,0
33,Abrecaminos,85,41560,1401888,17,1
34,Antárboles de la Arboleda,81,42843,1396694,10,0
35,Hijas de Cenarius,81,41580,1396686,11,1
36,Druidas de la Zarpa,82,41581,1396668,12,0
37,Protectores de la arboleda,82,41582,1396684,13,1
38,Escuadrón de escuderos,87,42841,1396701,28,0
39,Escudera de la Falange,87,41588,1396702,29,1
40,Caballeros de la Mano de plata,88,41589,1396703,30,0
41,Templario de la Mano de plata,88,41590,1396704,31,1
42,Aspirantes valarjar,99,42845,1401869,51,0
43,Valarjar tronaforjado,99,41592,1401871,52,1
44,Banda de guerra de doncellas escuderas,100,41593,1401854,53,0
45,Doncellas escuderas valkyra,100,41594,1401874,54,1
46,Guerreros Lengua de Ceniza,79,42844,1401873,6,0
47,Naga Myrmidon,79,41635,1401889,7,1
48,Adeptos Illidari,80,41636,1401865,8,0
49,Adeptos Illidari transformados,80,41637,1401883,9,1
50,Grupo de necrófagos,75,42837,1401858,2,0
51,Enjambre Geist,75,42838,1401859,3,1
52,Caballeros de Ébano,76,41676,1401866,4,0
53,Devastadores de ébano,76,41677,1401855,5,1
54,Pandilla de bandidos,93,42848,1401891,36,0
55,Ladrones Defias,93,41707,1401892,37,1
56,Duelistas Descoronados,94,41705,1401893,38,0
57,Tripulación de piratas,94,41704,1401894,39,1
58,Celestial,105,40060,1401861,59,0
59,Grupo de acólitos,91,42849,1086381,32,0
60,Dechados de Luz Abisal,91,41906,1066217,33,1
61,Banda de zelotes,92,41907,1066169,34,0
62,Zelotes oscuros,92,41908,1066121,35,1
63,Anciano de la Guerra,96,42818,1452563,58,0
64,Abominación,77,43780,1401851,0,0
65,Bruto Cicatriz espiral,144,47107,1551349,0,0
66,Guerreros tótem siniestro,145,47112,1551342,80,0
67,Guardianes del Kirin Tor,147,48413,1604890,68,0
68,Atracahielos caballero de ébano,148,48417,1605028,64,0
69,Fuerza de choque,149,49177,1605040,75,0
70,Celadores de la Arboleda,150,48415,1589538,66,0
71,Shivarra,151,48416,1589536,65,0
72,Protectores del Anillo de la Tierra,152,48408,1589546,73,0
73,Maestros de la serenidad,153,48412,1605031,69,0
74,Brutos guardia vil,154,48407,1589549,74,0
75,Sacerdotes encapuchados,155,48410,1589544,71,0
76,Cruzados de la Mano de plata,156,48411,1605020,70,0
77,Asesinos de Ravenholdt,157,48409,1605036,72,0
78,Cazadores natonocturno,158,48414,1551348,67,0
80,Fuerza de choque,149,49178,1605021,75,1
81,Acechacrestas krokul,160,50765,1712229,77,0
82,Krokul purgado por el Vacío,161,51511,1712228,78,0
83,Baluarte templeluz,162,51512,1694048,76,0
