OverrideName_lang,OverrideSubtext_lang,OverrideDescription_lang,ID,SpellID,OverrideIcon,OverridesSpellID,VisibleSpellID
,,,10579,0,135936,0,0
,,,10612,0,135936,0,0
,,,10644,0,135936,0,0
,,,10647,263716,0,0,0
,,,10650,0,135936,0,0
,,,10687,373455,0,0,0
,,,10700,0,135936,0,0
,,,10705,0,135936,0,0
,,,11049,205636,0,0,0
,,,11149,155675,0,0,0
,,La fabricación múltiple te otorga hasta un $ev1% más de puntos.,24833,0,0,0,0
,,+$ev1 p. de $en1 cuando fabricas pociones.,24834,0,0,0,0
,,Te enseña: $@spellname370668.,24835,370668,0,0,0
,,+$ev1% de $en1 cuando creas pociones.,24836,0,0,0,0
,,+$ev1 p. de $en1 cuando fabricas pociones.,24837,0,0,0,0
Producción en lotes,,Dominas el arte de producir pociones con más eficiencia y obtienes +$ev1 p. de $en1 por cada punto en esta especialización.,24838,0,4624378,0,0
,,"Te enseña $@spellname370745, que otorga pociones de mayor calidad y aumenta tu probabilidad de descubrir recetas nuevas.",24839,370745,0,0,0
,,Obtienes un 5% de probabilidad de lograr un avance con la Experimentación con pociones.,24840,0,0,0,0
,,"Cada vez que logras un avance importante con Experimentación con pociones, obtienes +20 p. de ingenio durante 4 horas para todas las fabricaciones de alquimia.",24841,0,0,0,0
,,Obtienes un 5% de probabilidad de lograr un avance con la Experimentación con pociones.,24842,0,0,0,0
,,Obtienes un 10% de probabilidad de lograr un avance con la Experimentación con pociones.,24843,0,0,0,0
Experimentación con pociones,,"Optimizas la comprensión de tus componentes para mejorar la probabilidad de conseguir resultados satisfactorios con tus experimentos, y obtienes un +1% más de probabilidad de avances con la Experimentación con pociones por cada punto en esta especialización.",24844,0,4624379,0,0
,,Te enseña a fabricar y usar el componente de retoque $@spellname370735 para mejorar tu habilidad cuando fabricas calderos de pociones y piedras de alquimista de prontitud.,24845,370735,0,0,0
,,Te enseña la última subespecialización.,24846,0,0,0,0
,,+$ev1 p. de $en1 cuando fabricas pociones.,24847,0,0,0,0
,,Te enseña la subespecialización que elijas.,24848,0,0,0,0
,,+$ev1 p. de $en1 cuando fabricas pociones.,24849,0,0,0,0
,,+$ev1 p. de $en1 cuando fabricas pociones.,24850,0,0,0,0
Conocimiento de pociones,,"Te adentras en los misterios de las pociones y piedras de alquimista relacionadas, y obtienes +$ev1 p. de $en1 por cada punto en esta especialización.",24851,0,4624657,0,0
,,Te enseña a fabricar y usar el componente de retoque $@spellname370735 para mejorar tu habilidad cuando fabricas pociones formuladas con viento.,24852,370735,0,0,0
,,+$ev1 p. de $en1 cuando creas pociones formuladas con viento.,24853,0,0,0,0
,,+$ev1 p. de $en1 cuando creas pociones formuladas con viento.,24854,0,0,0,0
,,Aumenta la velocidad de movimiento que otorga el consumo de pociones de las Islas Dragón.,24855,0,0,0,0
,,+$ev1 p. de $en1 cuando creas pociones formuladas con viento.,24856,0,0,0,0
,,+$ev1 p. de $en1 cuando creas pociones formuladas con viento.,24857,0,0,0,0
,,Consumir una poción de las Islas Dragón otorga una breve ráfaga de velocidad de movimiento.,24858,0,0,0,0
Pociones formuladas con viento,,"Mejoras en la fabricación de pociones con aire inquieto o despierto como componente base, y obtienes +$ev1 p. de $en1 por cada punto en esta especialización.",24859,0,4497566,0,0
,,Te enseña a fabricar y usar el componente de retoque $@spellname370735 para mejorar tu habilidad cuando fabricas pociones formuladas con escarcha.,24860,370735,0,0,0
,,+$ev1 p. de $en1 cuando creas pociones formuladas con escarcha.,24861,0,0,0,0
,,+$ev1 p. de $en1 cuando creas pociones formuladas con escarcha.,24862,0,0,0,0
,,Aumenta la sanación que otorga el consumo de pociones de las Islas Dragón.,24863,0,0,0,0
,,+$ev1 p. de $en1 cuando creas pociones formuladas con escarcha.,24864,0,0,0,0
