ID,Name_lang,Description_lang,MapID,BackgroundFileDataID,ButtonFileDataID,ButtonSmallFileDataID,LoreFileDataID,Flags,AreaID,CovenantID
63,Minas de la Muerte,"Se dice que hubo un tiempo en que las Minas de la Muerte contenían una cantidad de oro equivalente a un tercio de las reservas del tesoro de Ventormenta. Entre el caos de la Primera Guerra, las minas quedaron abandonadas y más tarde se creyó que estaban encantadas, lo que hizo que quedasen relativamente intactas hasta que la Hermandad Defias, un grupo de antiguos obreros convertidos en bandidos, reclamó el laberinto como base de operaciones para sus actividades subversivas contra Ventormenta.",36,522336,522352,136332,526404,1,1581,0
64,Castillo de Colmillo Oscuro,"El Castillo de Colmillo Oscuro domina la Aldea Piroleña desde los acantilados del sur del Bosque de Argénteos y arroja una sombra tan oscura como su legado. Fuerzas siniestras ocupan estas ruinas, antigua morada de los huargen del archimago loco Arugal. La inquietante sombra del barón Filargenta prevalece mientras Lord Godfrey y su conciliábulo de antiguos nobles gilneanos conspiran contra sus enemigos, tanto vivos como no-muertos.",33,522342,522358,136357,526410,0,0,0
65,Trono de las Mareas,"En lo más profundo de las insondables extensiones de la Fauce Abisal yace el Trono de las Mareas. Desde aquí, el gran señor elemental Neptulon el Cazamareas ha vigilado y protegido su dominio acuático durante eras. Ahora se enfrenta a su mayor desafío, ya que fuerzas de nagas serpentinos y de ignotos amenazan con destronarlo, dejando su reino y sus secretos listos para el saqueo.",643,522346,522362,460875,526413,1,5382,0
66,Cavernas Roca Negra,"Según los rumores, el mismísimo Alamuerte excavó el laberinto subterráneo que le permite al Martillo Crepuscular transportar en secreto elementales desde el majestuoso Monte Hyjal hasta la Montaña Roca Negra. Uno de los puntos principales de su red de las sombras son las Cavernas Roca Negra, allí se encuentra la abrasadora forja del culto y también es allí donde realizan sus experimentos más abyectos, incluyendo la transformación de cultores en dragonantes Crepusculares.",645,522334,522350,460859,526402,1,5374,0
67,El Núcleo Pétreo,"Dentro del Templo de la Tierra, encerrado en el corazón de Infralar, se encuentra El Núcleo Pétreo. Fue en el interior de estas cavernas donde el Martillo Crepuscular se afanó sobre el cuerpo de Alamuerte para intentar mantener unido su malogrado cuerpo. Una vez terminada su renovación, Alamuerte ascendió a Azeroth, quebrando el Pilar del Mundo y desestabilizando la región de Infralar.",725,522344,522360,460872,526412,1,5303,0
68,La Cumbre del Vórtice,"La Cumbre del Vórtice existe en el plano elemental del Muro Celeste. Sus elegantes estructuras, coronadas de bronce y oro, reposan sobre plataformas unidas únicamente por aire. Pero tras su belleza exterior, la cumbre alberga a los tol'vir de Neferset, así como a las despiadadas legiones elementales del señor del viento Al'Akir. Mientras la barrera entre el Muro Celeste y Azeroth siga abierta, el terror impregnará Uldum desde el cielo.",657,522345,522361,460873,526414,1,5583,0
69,Ciudad Perdida de los Tol'vir,"La Ciudad Perdida de los Tol'vir es un baluarte de los Neferset, una facción de los felinos tol'vir que juró lealtad a Alamuerte a cambio de una cura para la maldición de la carne que había convertido su pellejo pétreo en suave piel. Suprimida la aflicción, los tol'vir se han rebelado contra su benefactor, aunque siguen siendo irrevocablemente malvados y hostiles debido al pacto oscuro que sellaron.",755,522341,522357,460866,526409,1,0,0
70,Cámaras de los Orígenes,"Construidas por los grandes titanes, las Cámaras de los Orígenes están repletas de reliquias antiguas y de los temibles guardianes que las protegen. Abundan los rumores de que el complejo también contiene un arma devastadora capaz de reordenar toda vida sobre Azeroth. Alamuerte ha actuado a través de su agente, Al'Akir el señor del viento, para obtener este terrorífico dispositivo. Todos los sistemas de comunicación están corruptos, pero el arma que custodian aún no ha caído en manos de Alamuerte.",644,522340,522356,460865,526408,0,0,0
71,Grim Batol,"Que no los engañe el humilde exterior de Grim Batol; muchas de sus cámaras están enterradas en lo más profundo de las Tierras Altas Crepusculares. Antaño fue el bastión de los enanos Martillo Salvaje y luego los orcos lo usaron como prisión para Alextrasza. Ahora la ciudad está en manos del culto del Martillo Crepuscular.

Los héroes que se atrevan a entrar en las inquietantes profundidades del bastión deberán enfrentarse a los agentes de Alamuerte para frustrar el misterioso mal que yace en su interior.",670,522338,522354,460863,526406,0,0,0
72,El Bastión del Crepúsculo,"El Bastión del Crepúsculo se alza como un símbolo oscuro del poder floreciente de los dioses antiguos en Azeroth. Varias ramas del Martillo Crepuscular moran bajo esa imponente fortificación, considera como el centro de control principal del culto, junto a su maquiavélico líder, Cho'gall. Allí, él y sus sirvientes conspiran para que las visiones apocalípticas de los dioses antiguos den su fruto, drenando de Azeroth toda cordura, esperanza y vida.",671,522339,522355,460863,526407,0,0,0
73,Descenso de Alanegra,"Se creía que Nefarian y sus retorcidos intentos de crear una nueva raza de dragones habían sido derrotados tras la muerte de este en la Guarida de Alanegra. Pero han surgido historias de que su padre, Alamuerte, ha reanimado a Nefarian y le ha puesto a trabajar en el Descenso de Alanegra. Mucho se teme que los horripilantes experimentos que se llevan a cabo allí alcanzan un nivel de perversidad que supera con creces los antiguos crímenes contra natura de Nefarian.",669,522335,522351,460860,526403,0,5729,0
74,Trono de los Cuatro Vientos,"La guarida personal del señor del viento Al'Akir, el Trono de los Cuatro Vientos, se desliza por el panorama infinito del Muro Celeste. Ahora que las barreras del plano elemental se han quebrado, Al'Akir es libre para viajar por los vientos de Azeroth a placer. He reunido a las más violentas de sus tempestades para barrer toda vida de Uldum y tomar el control de las misteriosas Cámaras de los Orígenes forjadas por los titanes.",754,522343,522359,460874,526411,0,5684,0
75,Bastión de Baradin,"Después de la Segunda Guerra, la fortaleza en ruinas del Bastión de Baradin, en la remota isla de Tol Barad, se ha convertido en una prisión para algunas de las fuerzas más peligrosas de Azeroth. Pero con la devastación causada por el Cataclismo, la seguridad de la prisión se ha visto comprometida. Ahora que la Horda y la Alianza compiten por la supremacía en la isla, la liberación de esos horrores olvidados podría estar cerca.",757,522333,522349,464826,526401,2,0,0
76,Zul'Gurub,"Zul'Gurub era la capital de los trols de la jungla Gurubashi, una tribu que controlaba antaño las vastas junglas del sur. Aquí fue donde Jin'do el Aojador invocó a Ioa Hakkar el Cazador de Almas a Azeroth. Últimamente, estos esfuerzos se han retomado con ocasión de la alianza entre los trols Gurubashi y los Zandalar, que pretenden establecer un imperio trol unificado.",859,522348,522364,136369,526416,0,0,0
