ID,Description_lang,Field_11_2_5_62687_001_lang
1,Miembro del grupo,
2,Miembro de la banda,
3,Comercio,Intercambio realizado
4,Susurro,Susurro enviado
5,Completó un pedido público,Completó tu pedido de fabricación público
6,Completaste un pedido público,Completaste su pedido de fabricación público
7,Completó un pedido personal,Completó tu pedido de fabricación
8,Completaste un pedido personal,Completaste su pedido de fabricación
9,Completó un pedido de hermandad,Completó tu pedido de fabricación
10,Completaste un pedido de hermandad,Completaste su pedido de fabricación
11,Criatura eliminada,Combatieron codo a codo
12,Calabozo completado,Completaron un calabozo
13,Jefe de banda eliminado,Completaron una banda
14,Jefe de BB eliminado,Completaron una banda
15,Abismo completado,Completaron un abismo
16,Arena completada,Combatieron en la arena
17,Campo de batalla completado,Combatieron en un campo de batalla
18,Duelo,Combatieron en un duelo
19,Duelo de mascotas,Combatieron en un duelo de mascotas
20,Eliminación de JcJ,Combatieron en JcJ
