Name_lang,ID,Field_9_0_1_33978_001,PlayerConditionID,ReagentType,Field_10_0_2_46091_005,Field_11_2_0_61476_006
,12,1,0,0,0,0
Modifica el nivel de objeto - Mucho,16,0,0,0,0,0
Elige una estadística secundaria,17,0,0,0,0,0
,31,0,0,0,0,0
Modifica el nivel de objeto - Poco,46,0,0,0,0,0
,47,0,0,0,0,0
,48,0,0,0,0,0
,49,0,0,0,0,0
,50,0,0,0,0,0
Elige una estadística secundaria,67,0,0,0,0,0
Elige una estadística secundaria,72,0,0,0,0,0
Elige una estadística secundaria,73,0,0,0,0,0
Elige una estadística secundaria,74,0,0,0,0,0
Elige una estadística secundaria,75,0,0,0,0,0
Modifica el nivel de objeto - Poco,77,0,0,0,0,0
Aumenta el rango,78,0,92156,0,0,0
Agrega una mejora de progenitor,79,0,95770,0,0,0
Test Ore (DNT),80,1,0,1,0,0
Draconium Ore (DNT),81,0,0,1,0,0
Primal Molten Alloy (DNT),82,0,0,1,0,0
Frostfire Alloy (DNT),83,0,0,1,0,0
Obsidian Seared Alloy (DNT),84,0,0,1,0,0
Infurious Alloy (DNT),85,0,0,1,0,0
Solo componentes opcionales sin variación de calidad,86,0,0,0,0,0
Solo componentes opcionales con variación de calidad,87,0,0,0,0,0
Componentes opcionales con y sin variación de calidad,88,0,0,0,0,0
Test finishing reagent (DNT),89,0,0,2,0,0
Test finishing reagent Slot (DNT),90,0,0,2,0,0
Catalizador alquímico,91,2,0,2,2,0
Introspección ilustre menor,92,2,0,2,2,0
Introspección ilustre,93,2,0,2,2,0
Catalizador alquímico,94,2,0,2,2,0
Hochenblume (DNT),98,0,0,1,0,0
Writhebark (DNT),99,0,0,1,0,0
Saxifrage (DNT),100,0,0,1,0,0
Bubble Poppy (DNT),101,0,0,1,0,0
Primal Convergent (DNT),102,0,0,1,0,0
Omnium Draconis (DNT),103,0,0,1,0,0
Draconic Vial (DNT),104,0,0,1,0,0
Elemental Potion of Power (DNT),105,0,0,1,0,0
Phial of Tepid Versatility (DNT),106,0,0,1,0,0
Phial of Elemental Chaos (DNT),107,0,0,1,0,0
Potion of Frozen Focus (DNT),108,0,0,1,0,0
Aumenta el rango,110,0,92156,0,0,0
Infunde con poder,111,2,0,0,1,0
Agrega ornamento,112,0,0,0,1,0
Serevite Ore (DNT),114,0,0,1,0,0
Potencia con matriz de entrenamiento,116,0,0,0,1,0
Khaz'gorite Ore (DNT),117,0,0,1,0,0
Agrega ornamento,123,0,0,0,1,0
Fluido retardante,124,2,0,2,2,0
Personaliza estadísticas secundarias,125,2,0,0,0,0
Infunde con poder,126,0,0,0,1,0
Queen's Ruby (DNT),128,0,0,1,0,0
Mystic Sapphire (DNT),129,0,0,1,0,0
Vibrant Emerald (DNT),130,0,0,1,0,0
Sundered Onyx (DNT),131,0,0,1,0,0
Eternity Amber (DNT),132,0,0,1,0,0
Alexstraszite (DNT),133,0,0,1,0,0
Malygite (DNT),134,0,0,1,0,0
Ysemerald (DNT),135,0,0,1,0,0
Neltharite (DNT),136,0,0,1,0,0
Nozdorite (DNT),137,0,0,1,0,0
Illimited Diamond (DNT),138,0,0,1,0,0
Frameless Lens (DNT),140,0,0,1,0,0
Glossy Stone (DNT),142,0,0,1,0,0
Shimmering Clasp (DNT),143,0,0,1,0,0
Projection Prism (DNT),145,0,0,1,0,0
Resilient Leather (DNT),146,0,0,1,0,0
Adamant Scales (DNT),147,0,0,1,0,0
Dense Hide (DNT),148,0,0,1,0,0
Lustrous Scaled Hide (DNT),149,0,0,1,0,0
Stonecrust Hide (DNT),150,0,0,1,0,0
Mireslush Hide (DNT),151,0,0,1,0,0
Infurious Hide (DNT),153,0,0,1,0,0
Earthshine Scales (DNT),155,0,0,1,0,0
Frostbite Scales (DNT),156,0,0,1,0,0
Infurious Scales (DNT),157,0,0,1,0,0
Silken Gemdust (DNT),158,0,0,1,0,0
Elemental Harmony (DNT),159,0,0,1,0,0
Vibrant Spellthread (DNT),169,0,0,1,0,0
Frozen Spellthread (DNT),170,0,0,1,0,0
Temporal Spellthread (DNT),171,0,0,1,0,0
Wildercloth Bolt (DNT),172,0,0,1,0,0
Azureweave Bolt (DNT),173,0,0,1,0,0
Chronocloth Bolt (DNT),174,0,0,1,0,0
Vibrant Wildercloth Bolt (DNT),175,0,0,1,0,0
Infurious Wildercloth Bolt (DNT),176,0,0,1,0,0
Spool of Wilderthread (DNT),177,0,0,1,0,0
Agrega ornamento,178,0,0,0,1,0
Agrega ornamento,179,0,0,0,1,0
Agrega ornamento,180,0,0,0,1,0
Hilo de bordado,181,2,0,2,2,0
Paño para pulir,182,2,0,2,2,0
Agrega ornamento,183,0,0,0,1,0
Aceite para cadenas,184,2,0,2,2,0
Agente curativo,185,2,0,2,2,0
Fiery Spirit (DNT),186,0,0,1,0,0
Potencia con matriz de entrenamiento,189,0,0,0,1,0
,190,0,0,2,2,0
Últimos retoques,192,0,0,2,2,0
Ingrediente secreto,193,0,0,2,2,0
Handful of Serevite Bolts (DNT),194,0,0,1,0,0
Shock-Spring Coil (DNT),195,0,0,1,0,0
Everburning Blasting Powder (DNT),196,0,0,1,0,0
Greased-Up Gears (DNT),197,0,0,1,0,0
Arclight Capacitor (DNT),198,0,0,1,0,0
Reinforced Machine Chassis (DNT),199,0,0,1,0,0
Assorted Safety Fuses (DNT),200,0,0,1,0,0
Primal Deconstruction Charge (DNT),201,0,0,1,0,0
Sigilo Luna Negra,202,2,0,0,0,0
Refreshing Healing Potion (DNT),203,0,0,1,0,0
Aerated Mana Potion (DNT),204,0,0,1,0,0
Potion of Gusts (DNT),205,0,0,1,0,0
Creature Combustion Canister (DNT),206,0,0,1,0,0
Draconium Gun Shoes (DNT),207,0,0,1,0,0
Gravitational Displacer (DNT),208,0,0,1,0,0
Blazing Ink (DNT),209,0,0,1,0,0
Cosmic Ink (DNT),210,0,0,1,0,0
Flourishing Ink (DNT),211,0,0,1,0,0
Burnished Ink (DNT),212,0,0,1,0,0
Serene Ink (DNT),213,0,0,1,0,0
Serene Pigment (DNT),214,0,0,1,0,0
Flourishing Pigment (DNT),215,0,0,1,0,0
Blazing Pigment (DNT),216,0,0,1,0,0
Shimmering Pigment (DNT),217,0,0,1,0,0
Chilled Rune (DNT),218,0,0,1,0,0
Runed Writhebark (DNT),219,0,0,1,0,0
Potion of the Hushed Zephyr (DNT),220,0,0,1,0,0
Arena secante,221,2,0,2,2,0
Personaliza estadística de fabricación,222,0,0,0,0,0
Componentes de seguridad,223,2,0,0,0,0
Amplifica estadística secundaria,224,2,0,0,0,0
Amplifica estadística secundaria,225,0,0,0,0,0
Agrega ornamento,226,2,0,0,1,0
Personaliza estadísticas secundarias,227,0,0,0,0,0
Piezas de repuesto,230,2,0,2,2,0
Personaliza estadística de recolección,231,0,0,0,0,0
Personaliza estadística de fabricación,232,0,0,0,0,0
Agrega ornamento,233,2,0,0,1,0
Paño para pulir,234,0,0,2,2,0
Introspección ilustre menor,235,0,0,2,2,0
Esencia de forja de acero,236,0,0,0,0,0
Esencia de acero verdadero,237,0,0,0,0,0
Piñón de bloqueo Grasenlace,238,0,0,0,0,0
Activador de hierro genuino,239,0,0,0,0,0
Esencia pulida,240,0,0,0,0,0
Esencia tejemaleficios,241,0,0,0,0,0
Cristal de arma,242,0,0,0,0,0
Personaliza estadísticas secundarias,243,2,0,0,0,0
Otorga nivel de objeto de JcJ,244,0,0,0,1,0
Otorga nivel de objeto de JcJ,245,0,0,0,1,0
Otorga nivel de objeto de JcJ,246,0,0,0,1,0
Chispa,247,4,0,0,1,0
Shadowed Alloy (DNT),248,0,0,1,0,0
Arena secante,249,0,0,2,2,0
Wildercloth Bandage (DNT),250,0,0,1,0,0
Ranura,251,0,0,3,3,0
Ranura,252,0,0,3,3,0
Potion of Withering Vitality (DNT),253,0,0,1,0,0
Heráldica de competidor,255,4,0,0,1,0
Chispa,256,4,0,0,1,0
Micobrote,257,0,0,1,0,0
Cebolumos,258,0,0,1,0,0
Orbínida,259,0,0,1,0,0
Flor fantástica,260,0,0,1,0,0
Lanza de Arathor,261,0,0,1,0,0
Bismuto,262,0,0,1,0,0
Aqirita,263,0,0,1,0,0
Mena de garraférrea,264,0,0,1,0,0
Vial dorado,267,0,0,1,0,0
Horticultura armónica,268,0,0,1,0,0
Cuero tormentoso,269,0,0,1,0,0
Quitina penumbrosa,270,0,0,1,0,0
Pellejo atronador,271,0,0,1,0,0
Caparazón de día sombrío,272,0,0,1,0,0
Gemas pulverizadas,275,0,0,1,0,0
Tallador de gemas grabado,276,0,0,1,0,0
Lente decorativo,277,0,0,1,0,0
Piedra marmolada,278,0,0,1,0,0
Prisma invertido,279,0,0,1,0,0
Polvo de gemas y paño para pulir,280,2,0,2,0,0
Agrega ornamento,281,0,0,0,1,0
Amplifica estadística secundaria,282,2,0,0,0,0
Personaliza estadísticas secundarias,283,2,0,0,0,0
Infunde con poder,284,2,0,0,1,0
Armadura de cuero,286,2,0,2,2,0
Armadura de malla,287,2,0,2,2,0
Código letal,288,0,0,1,0,0
Código veloz,289,0,0,1,0,0
Código maestro,290,0,0,1,0,0
Código versátil,291,0,0,1,0,0
Pellejo con lomo de caparazón,293,0,0,1,0,0
Pellejo de cristal imbuido,294,0,0,1,0,0
Pellejo retorcido,295,0,0,1,0,0
Pellejo cubierto de esporas,296,0,0,1,0,0
Pellejo con infusión Ley,297,0,0,1,0,0
Pellejo furiahonda,298,0,0,1,0,0
Cubierta de arma tocada por la tormenta,299,0,0,1,0,0
Banda de armadura quitinosa,300,0,0,1,0,0
Polvo de tormenta,301,0,0,1,0,0
Esquirla brillante,302,0,0,1,0,0
Cristal refulgente,303,0,0,1,0,0
Puñado de tuercas de bismuto,304,0,0,1,0,0
Cableado caprichoso,305,0,0,1,0,0
Engranaje giratorio,306,0,0,1,0,0
Interruptor de seguridad,307,0,0,1,0,0
Circuito de caos,308,0,0,1,0,0
Potenciador de entropía,309,0,0,1,0,0
Selecciona componente de seguridad,311,2,0,0,0,0
Agrega ornamento,312,2,0,0,1,0
Aleación de núcleo,313,0,0,1,0,0
Aleación cargada,314,0,0,1,0,0
Aleación santificada,315,0,0,1,0,0
Aleación de garraférrea,316,0,0,1,0,0
Accesorios de forja,317,2,0,2,2,0
Ingrediente secreto,318,0,0,2,2,0
Floresta codificada,319,0,0,1,0,0
Clave infinita,320,0,0,1,0,0
Tinta de sable,321,0,0,1,0,0
Pigmento de cebolumos,322,0,0,1,0,0
Tinta cobalto,323,0,0,1,0,0
Pigmento cobalto,324,0,0,1,0,0
Carrete de hilonocta,327,0,0,1,0,0
Carrete de hiloalba,328,0,0,1,0,0
Carrete de urdihilo,329,0,0,1,0,0
Madeja de telanocta,330,0,0,1,0,0
Madeja de telaalba,331,0,0,1,0,0
Madeja de urditela,332,0,0,1,0,0
Hilo de bordado,333,2,0,2,2,0
Agrega ornamento,334,2,0,0,1,0
Agrega ornamento,340,2,0,0,1,0
Agrega ornamento,341,0,0,0,1,0
Potenciar,342,0,0,0,1,0
Personaliza estadística de recolección,344,0,0,0,0,0
Personaliza estadística de fabricación,345,0,0,0,0,0
Autenticidad del artesano,346,2,0,2,0,0
Piezas de repuesto,347,2,0,2,0,0
Poción del guepardo renacido,348,0,0,1,0,0
Poción de sanación algari,349,0,0,1,0,0
Delicia de morador de cuevas,350,0,0,1,0,0
Poción templada,351,0,0,1,0,0
Personaliza estadística de fabricación,352,2,0,0,0,0
Personaliza estadística de recolección,353,2,0,0,0,0
Autenticidad del artesano,354,0,0,2,0,0
Pigmento de orbínida,355,0,0,1,0,0
Pigmento de flor,356,0,0,1,0,0
Madeja de urditela exquisita,357,0,0,1,0,0
Componentes fabricados,358,2,0,2,2,0
Suministros de dibujo,359,2,0,2,2,0
Componentes radiantes,360,0,0,2,0,0
Brebaje misterioso,362,0,0,2,0,0
Ranura,363,0,0,3,3,0
Ranura,364,0,0,3,3,0
Personaliza estadísticas secundarias,365,0,0,0,0,0
Infunde con poder,366,0,0,0,1,0
Componentes radiantes,367,2,0,2,0,0
Potenciar,368,0,0,0,1,0
Accesorios de forja,369,2,0,2,2,0
Hilo de bordado,370,2,0,2,2,0
Suministros de dibujo,371,2,0,2,2,0
Componentes radiantes,372,0,0,2,0,0
Componentes radiantes,374,0,0,2,0,0
Hilo de bordado,375,2,0,2,2,0
Piezas de repuesto,376,2,0,2,0,0
Hilo de bordado,377,2,0,2,2,0
Encantamientos y equipo,378,0,0,2,2,0
Objetos consumibles y componentes,379,0,0,2,2,0
Ranura,380,0,0,3,3,0
Ranura,381,0,0,3,3,0
Accesorios de forja,382,0,0,2,2,0
Restos de sangre negra,383,0,0,1,0,0
Aumento mayor,384,0,0,0,1,145038
Aceite de gracia de Beledar,477,0,0,1,0,0
Tejido del crepúsculo,478,0,0,1,0,0
Urditela,479,0,0,1,0,0
Suero de alma durmiente,481,0,0,1,0,0
Hierbas de tinte rojo,482,0,0,1,0,0
Hierbas de tinte naranja,483,0,0,1,0,0
Hierbas de tinte amarillo,484,0,0,1,0,0
Hierbas de tinte verde,485,0,0,1,0,0
Hierbas de tinte azul,486,0,0,1,0,0
Hierbas de tinte verde azulado,487,0,0,1,0,0
Hierbas de tinte púrpura,488,0,0,1,0,0
Hierbas de tinte blanco,489,0,0,1,0,0
Hierbas de tinte negro,490,0,0,1,0,0
Hierbas de tinte marrón,491,0,0,1,0,0
