ID,Name_lang,NameAlt_lang,Title_lang,TitleAlt_lang,Classification,CreatureType,CreatureFamily,StartAnimState,DisplayID[0],DisplayID[1],DisplayID[2],DisplayID[3],DisplayProbability[0],DisplayProbability[1],DisplayProbability[2],DisplayProbability[3],AlwaysItem[0],AlwaysItem[1],AlwaysItem[2]
3,Comecarnes,,,,0,6,0,0,987,0,0,0,1,1,1,1,0,0,0
89,Infernal,,,,0,3,108,0,87778,0,0,0,1,1,1,1,0,0,0
304,Corcel vil,,,,0,3,0,0,2346,0,0,0,1,1,1,1,0,0,0
305,Semental blanco,,,,0,1,0,0,2410,0,0,0,1,1,1,1,0,0,0
416,Diablillo,,,,0,3,23,0,64799,0,0,0,1,1,1,1,0,0,0
417,Manáfago,,,,0,3,15,0,113609,0,0,0,1,1,1,1,0,0,0
444,Lord Cerdito,,,,0,14,0,0,22938,0,0,0,1,1,1,1,0,0,0
721,Conejo,,,,0,8,0,0,328,4626,0,0,1,1,1,1,0,0,0
1748,Alto señor Bolvar Fordragón,,,,1,7,0,0,5566,0,0,0,1,1,1,1,2178,143,0
1860,Abisario,,,,0,3,16,0,113621,0,0,0,1,1,1,1,0,0,0
1863,Súcubo,,,,0,3,17,0,77396,0,0,0,1,1,1,1,0,0,0
2671,Ardilla mecánica,,,,0,12,0,0,7937,0,0,0,1,1,1,1,0,0,0
2748,Archaedas,,Vigía de piedra antiguo,,1,5,0,0,5988,0,0,0,1,1,1,1,2557,0,0
3524,Espíritu de lobo,,,,0,1,0,0,1236,0,0,0,1,1,1,1,0,0,0
3771,Clamainferno Almaumbría,,,,0,3,0,0,2013,0,0,0,0,0,0,0,0,0,0
3823,Corredor Garraespectro,,,,0,1,1,0,802,0,0,0,0,0,0,0,0,0,0
3956,Harklan Arboluna,,Suministros de alquimia,,0,7,0,0,4183,0,0,0,0,0,0,0,0,0,0
4075,Rata,,,,0,8,0,0,1141,1418,2176,0,2,2,1,1,0,0,0
4274,Fenrus el Devorador,,,,1,1,0,0,20180,0,0,0,0,1,1,1,0,0,0
4275,Archimago Arugal,,,,1,7,0,0,2353,0,0,0,0,1,1,1,6322,0,0
4780,Carnero negro,,,,0,1,0,0,2784,0,0,0,1,1,1,1,0,0,0
5198,Lobo de montar ártico,,,,0,1,0,0,1166,0,0,0,1,1,1,1,0,0,0
7109,Jurapenas Fuego de Jade,,,,0,3,0,0,11334,0,0,0,0,0,0,0,0,0,0
7380,Siamés,,,,0,12,0,0,5585,0,0,0,1,1,1,1,0,0,0
7381,Atigrado plateado,,,,0,12,0,0,5555,0,0,0,1,1,1,1,0,0,0
7382,Atigrado naranja,,,,0,12,0,0,5554,0,0,0,1,1,1,1,0,0,0
7383,Gato atigrado negro,,,,0,12,0,0,5448,0,0,0,1,1,1,1,0,0,0
7384,Rex Cornualles,,,,0,12,0,0,5586,0,0,0,1,1,1,1,0,0,0
7385,Gato bombay,,,,0,12,0,0,5556,0,0,0,1,1,1,1,0,0,0
7386,Gatito blanco,,,,0,12,0,0,9990,0,0,0,1,1,1,1,0,0,0
7387,Guacamayo rojo,,,,0,12,0,3,5207,0,0,0,1,1,1,1,0,0,0
7388,Cacatúa,,,,0,12,0,3,6189,0,0,0,1,1,1,1,0,0,0
7389,Senegal,,,,0,12,0,3,6190,0,0,0,1,1,1,1,0,0,0
7390,Carolina,,,,0,12,0,3,6191,0,0,0,1,1,1,1,0,0,0
7391,Papagayo azul,,,,0,12,0,3,6192,0,0,0,1,1,1,1,0,0,0
7392,Gallina de pradera,,,,0,12,0,0,304,0,0,0,1,1,1,1,0,0,0
7393,Roca blanca Plymouth,,,,0,12,0,0,304,0,0,0,1,1,1,1,0,0,0
7394,Pollo de Ancona,,,,0,12,0,0,5369,0,0,0,1,1,1,1,0,0,0
7395,Curiana de Entrañas,,,,0,12,0,0,2177,0,0,0,1,1,1,1,0,0,0
7543,Vástago oscuro,,,,0,12,0,3,6288,0,0,0,1,1,1,1,0,0,0
7544,Vástago carmesí,,,,0,12,0,3,6290,0,0,0,1,1,1,1,0,0,0
7545,Vástago esmeralda,,,,0,12,0,3,6291,0,0,0,1,1,1,1,0,0,0
7546,Vástago bronce,,,,0,12,0,3,6292,0,0,0,1,1,1,1,0,0,0
7547,Vástago azur,,,,0,12,0,3,6293,0,0,0,1,1,1,1,0,0,0
7548,Feegón,,,,0,12,303,0,6294,0,0,0,1,1,1,1,0,0,0
7549,Rana de árbol,,,,0,12,0,0,6295,0,0,0,1,1,1,1,0,0,0
7550,Rana de bosque,,,,0,12,0,0,901,0,0,0,1,1,1,1,0,0,0
7551,Rana flecha,,,,0,12,0,0,6296,0,0,0,1,1,1,1,0,0,0
7552,Rana de la isla,,,,0,12,0,0,6297,0,0,0,1,1,1,1,0,0,0
7553,Búho común,,,,0,12,0,3,4615,0,0,0,1,1,1,1,0,0,0
7554,Lechuza de las nieves,,,,0,14,0,3,6298,0,0,0,1,1,1,1,0,0,0
7555,Lechuza gavilana,,,,0,12,0,3,6299,0,0,0,1,1,1,1,0,0,0
7556,Búho real,,,,0,12,0,3,6300,0,0,0,1,1,1,1,0,0,0
7560,Conejo Pataneve,,,,0,12,0,0,328,0,0,0,1,1,1,1,0,0,0
7561,Serpiente albina,,,,0,12,0,0,2955,0,0,0,1,1,1,1,0,0,0
7562,Culebra marrón,,,,0,12,0,0,2957,0,0,0,1,1,1,1,0,0,0
7563,Culebra corredora,,,,0,12,0,0,2956,0,0,0,1,1,1,1,0,0,0
7565,Culebra reina negra,,,,0,12,0,0,1206,0,0,0,1,1,1,1,0,0,0
7566,Culebra escarlata,,,,0,12,0,0,2954,0,0,0,1,1,1,1,0,0,0
7567,Culebra carmesí,,,,0,12,0,0,6303,0,0,0,1,1,1,1,0,0,0
7568,Serpiente rayada,,,,0,12,0,0,2954,0,0,0,1,1,1,1,0,0,0
7569,Culebra de agua verde,,,,0,12,0,0,1986,0,0,0,1,1,1,1,0,0,0
7570,Fuego fatuo élfico,,,,0,12,0,0,1824,0,0,0,1,1,1,1,0,0,0
7952,Zjolnir,,Cuidador de raptores,,0,7,0,0,7037,0,0,0,100,0,0,0,6680,0,0
8376,Gallina mecánica,,,,0,12,0,0,7920,0,0,0,1,1,1,1,0,0,0
9656,Bombita,,,,0,12,0,0,8909,0,0,0,1,1,1,1,0,0,0
9657,Humillo,,,,0,12,0,0,8910,0,0,0,1,1,1,1,0,0,0
9662,Prole de duende dardo,,,,0,12,303,3,6294,0,0,0,1,1,1,1,0,0,0
9936,Gatito corrupto,,,,0,12,0,0,9209,0,0,0,1,1,1,1,0,0,0
10259,Cachorro de huargo,,,,0,12,0,0,9563,9572,0,0,1,0,0,0,0,0,0
10261,Can manáfago ardiente,,,,0,3,0,0,1913,0,0,0,0,0,0,0,0,0,0
10414,Horror de retazos,,,,1,6,0,0,1693,0,0,0,0,1,1,1,0,0,0
10578,Bom'bay,,Médico brujo en prácticas,,0,7,0,0,9911,0,0,0,100,0,0,0,4993,0,0
10598,Prole de Telabrasada,,,,0,12,0,0,27718,0,0,0,1,1,0,0,0,0,0
11236,Loro de sangre,,,,0,12,0,3,9554,0,0,0,1,1,1,1,0,0,0
11325,Osito panda,,,,0,12,0,0,10990,0,0,0,1,1,1,1,0,0,0
11326,Mini Diablo,,Señor del Terror,,0,12,0,0,10992,0,0,0,1,1,1,1,0,0,0
11327,Zerguezno,,,,0,12,0,0,10993,0,0,0,1,1,1,1,0,0,0
11502,Ragnaros,,,,1,4,0,0,11121,0,0,0,0,1,1,1,0,0,0
11822,Celador de Claro de la Luna,Celador de Claro de la Luna,,,0,7,0,0,11774,11775,11776,11777,25,25,25,25,14475,0,12523
11859,Guardia apocalíptico,,,,0,3,19,0,64965,0,0,0,0,1,1,1,0,0,0
12222,Lodo trepador,,,,1,15,0,0,14350,0,0,0,0,0,0,0,0,0,0
12350,Raptor violeta de montar,,,,0,1,0,0,6473,0,0,0,1,1,1,1,0,0,0
12419,Sapo casi vivo,,,,0,12,0,0,901,0,0,0,1,1,1,1,0,0,0
14042,Rytama,,Vinculador de los Moro'gan,,0,7,0,0,14193,0,0,0,0,0,0,0,0,0,0
14143,Ar'lia,,Los Moro'gan,,0,12,0,0,14192,0,0,0,0,0,0,0,0,0,0
14305,Huérfano humano,,,,0,12,0,0,338,0,0,0,0,1,1,1,0,0,0
14421,Perro de la pradera marrón,,,,0,12,0,0,1072,0,0,0,1,1,1,1,0,0,0
14444,Huérfano orco,,,,0,12,0,0,14589,0,0,0,0,1,1,1,0,0,0
14505,Corcel nefasto,,,,0,3,0,0,14554,0,0,0,1,1,1,1,0,0,0
14629,Quijaforte Leñobeza,,,,0,12,0,0,14657,0,0,0,1,1,1,1,0,0,0
14630,Quijaforte Cuerospalda,,,,0,12,0,0,14658,0,0,0,1,1,1,1,0,0,0
14631,Quijaforte oliva,,,,0,12,0,0,14659,0,0,0,1,1,1,1,0,0,0
14632,Quijaforte Alconil,,,,0,12,0,0,14660,0,0,0,1,1,1,1,0,0,0
14633,Quijaforte albino,,,,0,12,0,0,14661,0,0,0,1,1,1,1,0,0,0
14744,Aullador lobo gélido,,,,0,1,0,0,92901,0,0,0,1,1,1,1,0,0,0
14755,Pequeño dragón Verde,,,,0,12,0,3,14778,0,0,0,1,1,1,1,0,0,0
14756,Dragón Rojo diminuto,,,,0,12,0,3,14779,0,0,0,1,1,1,1,0,0,0
14878,Jubling,,,,0,12,0,0,14938,0,0,0,1,1,1,1,0,0,0
15186,Murky,,,,0,12,0,0,15369,0,0,0,1,1,1,1,0,0,0
15356,Bebé múrloc azul,,,,0,12,0,0,15393,0,0,0,1,1,1,1,0,0,0
15357,Bebé múrloc morado,,,,0,12,0,0,15397,0,0,0,1,1,1,1,0,0,0
15358,Lurky,,,,0,12,0,0,15398,0,0,0,1,1,1,1,0,0,0
15359,Bebé múrloc rosa,,,,0,12,0,0,15396,0,0,0,1,1,1,1,0,0,0
15360,Bebé múrloc verde,,,,0,12,0,0,15394,0,0,0,1,1,1,1,0,0,0
15361,Murki,,,,0,12,0,0,15395,0,0,0,1,1,1,1,0,0,0
15429,Moquillo desagradable,,,,0,12,0,0,15436,0,0,0,1,1,1,1,0,0,0
15548,Semental espectral,,,,1,6,0,0,16408,0,0,0,0,0,0,0,0,0,0
15661,Cría de tiburón,,,,0,12,0,0,15595,0,0,0,1,1,1,1,0,0,0
15698,Ayudante del Padre Invierno,,,,0,12,0,0,15660,0,0,0,1,1,1,1,0,0,0
15699,Yeti mecánico tranquilo,,,,0,12,0,0,10269,0,0,0,1,1,1,1,0,0,0
15705,Pequeña ayudante del Invierno,,,,0,12,0,0,15663,0,0,0,1,1,1,1,0,0,0
15706,Reno invernal,,,,0,12,0,0,15904,0,0,0,1,0,0,0,0,0,0
15710,Muñeco de nieve diminuto,,,,0,12,0,0,13610,0,0,0,0,0,0,0,0,0,0
16069,Gurky,,,,0,12,0,0,15984,0,0,0,1,1,1,1,0,0,0
16085,Pies Rápidos,,,,0,12,0,3,15992,0,0,0,1,1,1,1,0,0,0
16445,Terky,,,,0,12,0,0,15398,0,0,0,1,1,1,1,0,0,0
16456,Poley,,,,0,12,0,0,16189,0,0,0,1,1,1,1,0,0,0
16547,Rapidín,,,,0,12,0,0,16259,0,0,0,1,1,1,1,0,0,0
16548,Don Cochinillo,,,,0,12,0,0,27681,0,0,0,1,1,1,1,0,0,0
16549,Mostachia la Rata,,,,0,12,0,0,2176,0,0,0,1,1,1,1,0,0,0
16628,Subastadora Caidori,,,,0,7,0,0,16694,0,0,0,1,1,1,1,0,0,0
16701,Espíritu de verano,,,,0,12,0,3,16587,0,0,0,1,1,1,1,0,0,0
16800,Gran magister Rommath,,,,1,7,0,0,19706,0,0,0,0,1,1,1,29114,0,0
16801,Halduron Alasol,,General forestal de Lunargenta,,1,7,0,0,19707,0,0,0,0,1,1,1,24324,24324,24326
17026,Grom Grito Infernal,,Jefe del clan Grito de Guerra,,1,7,0,0,21575,0,0,0,0,0,0,0,24409,0,0
17252,Guardia vil,,,,0,3,29,0,64802,0,0,0,1,1,1,1,22199,0,0
17254,Ash'ana,,,,0,12,0,0,37949,0,0,0,1,1,1,1,0,0,0
17255,Prole de hipogrifo,,,,0,12,0,3,16943,0,0,0,1,0,0,0,0,0,0
18063,Garrosh,,Hijo de Grito Infernal,,1,7,0,0,17452,0,0,0,0,0,0,0,23428,23428,0
18075,Mannoroth,,,,1,3,0,0,17469,0,0,0,0,0,0,0,28365,0,0
18377,Jinete del viento rojo presto,,,,0,1,0,0,17719,0,0,0,0,0,0,0,0,0,0
18381,Cría abisal,,,,0,12,0,3,17723,0,0,0,1,1,1,1,0,0,0
18839,Cigala mágica,,,,0,12,0,0,18269,0,0,0,1,1,1,1,0,0,0
19044,Gruul el Asesino de Dragones,,,,1,5,0,0,18698,0,0,0,0,1,1,1,0,0,0
19622,Kael'thas Caminante del Sol,,Señor de los elfos de sangre,,1,7,0,0,20023,0,0,0,1,1,1,1,0,0,0
19935,Soridormi,,La Escama de las Arenas,,1,2,0,0,20222,0,0,0,0,0,0,0,30441,0,0
20245,Don Minino,,,,0,12,0,0,9989,0,0,0,0,0,0,0,0,0,0
20246,Manny,,,,0,12,0,0,9990,0,0,0,1,1,1,1,0,0,0
20247,Minino,,,,0,12,0,0,5556,0,0,0,1,1,1,1,0,0,0
20350,Kel'Thuzad,,El Kirin Tor,,0,7,0,0,19548,0,0,0,0,0,0,0,0,0,0
20408,Vermizo de maná,,,,0,12,0,3,19600,0,0,0,1,1,1,1,0,0,0
20472,Conejo marrón,,,,0,12,0,0,4626,0,0,0,1,1,1,1,0,0,0
21008,Polilla amarilla,,,,0,12,0,3,19985,0,0,0,1,1,1,1,0,0,0
21009,Polilla roja,,,,0,12,0,3,19986,0,0,0,1,1,1,1,0,0,0
21010,Polilla azul,,,,0,12,0,3,19987,0,0,0,1,1,1,1,0,0,0
21018,Polilla blanca,,,,0,12,0,3,19999,0,0,0,0,0,0,0,0,0,0
21055,Prole de dracohalcón dorado,,,,0,12,0,3,20026,0,0,0,1,1,1,1,0,0,0
21056,Prole de dracohalcón azul,,,,0,12,0,3,20029,0,0,0,1,1,1,1,0,0,0
21063,Prole de dracohalcón plateado,,,,0,12,0,3,20037,0,0,0,1,1,1,1,0,0,0
21064,Prole de dracohalcón roja,,,,0,12,0,3,20027,0,0,0,1,1,1,1,0,0,0
21076,Luciérnaga,,,,0,12,0,3,20042,0,0,0,1,1,1,1,0,0,0
21266,Prole de devastador,,,,0,12,0,0,20155,20160,0,0,1,1,0,0,0,0,0
22174,Trigul,,,,1,1,0,0,18194,0,0,0,1,1,1,1,0,0,0
22328,Tanque mortero teledirigido de juguete,,,,0,12,0,0,15382,0,0,0,0,0,0,0,0,0,0
22445,Cotorrilla,,,,0,12,0,3,20996,0,0,0,1,1,1,1,0,0,0
22484,Zeppit,,,,0,12,0,0,21048,0,0,0,0,0,0,0,0,0,0
22514,Talbuk de montar blanco,,,,0,1,0,0,21076,0,0,0,1,1,1,1,0,0,0
22522,Super Thrall,,,,1,7,0,0,4527,0,0,0,1,1,1,1,21679,0,0
22817,Huérfano elfo de sangre,,,,0,12,0,0,19315,0,0,0,1,1,1,1,0,0,0
22818,Huérfana draenei,,,,0,12,0,0,19091,0,0,0,1,1,1,1,0,0,0
22943,Wolpertinger,,,,0,12,0,0,22349,0,0,0,1,1,1,1,0,0,0
23114,Suertudo,,,,0,12,0,0,21304,0,0,0,1,0,0,0,0,0,0
23159,Okuno,,Intendente juramorte Lengua de ceniza,,1,7,0,0,21345,0,0,0,0,1,1,1,14707,0,0
23198,Suertudo,,,,0,12,0,0,21328,0,0,0,0,0,0,0,0,0,0
23220,Shivarra asesina,,,,0,3,0,0,21527,0,0,0,0,0,0,0,28133,28133,0
23231,Willy,,,,0,12,0,3,21381,0,0,0,1,0,0,0,0,0,0
23234,Plátanos,,,,0,12,0,0,21362,0,0,0,1,1,1,1,0,0,0
23258,Egbert,,,,0,12,0,0,21382,0,0,0,1,0,0,0,0,0,0
23266,Cacahuete,,,,0,12,0,0,21393,0,0,0,1,0,0,0,0,0,0
23274,Cuesqui,,,,0,12,0,0,16633,0,0,0,1,1,1,1,0,0,0
23439,Raya abisal hambrienta,,,,0,12,0,0,21155,0,0,0,1,1,1,1,0,0,0
23909,Calabacino siniestro,,,,0,12,0,0,21900,0,0,0,1,1,1,1,0,0,0
23944,Esencia de Zul'jin,,,,1,7,0,0,21934,0,0,0,1,0,0,0,21465,21465,0
24266,"Arthas, Rey Exánime",,,,1,6,0,0,22234,0,0,0,0,0,0,0,33475,0,0
24267,"Arthas, Oscuro",,,,1,6,0,0,22235,0,0,0,0,0,0,0,0,0,0
24268,"Arthas, Humano",,,,1,7,0,0,21976,0,0,0,0,0,0,0,0,0,0
24388,Dientecitos,,,,0,12,0,0,22388,0,0,0,1,0,0,0,0,0,0
24389,Malaliento,,,,0,12,0,0,22389,0,0,0,1,0,0,0,0,0,0
24480,Mojo,,,,0,12,0,0,28501,0,0,0,1,1,1,1,0,0,0
24753,Paquidermo rosa tamaño pinta,,,,0,12,0,0,22629,0,0,0,0,0,0,0,0,0,0
24968,Robot cohete de cuerda,,,,0,12,0,0,22776,0,0,0,1,1,1,1,0,0,0
25062,Esporiélago diminuto,,,,0,12,0,3,22855,0,0,0,1,1,1,1,0,0,0
25109,Gallina cohete,,,,0,12,0,0,22903,0,0,0,1,1,1,1,0,0,0
25110,Cometa de dragón,,,,0,12,0,0,22966,22990,22991,22992,1,1,1,1,0,0,0
25146,Cerdo de oro,,,,0,12,0,0,21304,0,0,0,0,0,0,0,0,0,0
25147,Cerdo de plata,,,,0,12,0,0,22938,0,0,0,0,0,0,0,0,0,0
25165,Lady Sacrolash,,,,1,3,0,0,23177,0,0,0,0,1,1,1,31609,31609,0
25180,Carnero de guerra negro veloz,,,,0,1,0,0,14577,0,0,0,1,1,1,1,0,0,0
25706,Agostizo abrasador,,,,0,12,0,0,8409,0,0,0,0,0,0,0,0,0,0
26050,Gruñi,,,,0,12,0,0,23507,0,0,0,1,0,0,0,0,0,0
26056,Chuck,,,,0,12,0,0,23506,0,0,0,1,0,0,0,0,0,0
