ID,CategoryName_lang,CustomizeIcon,CustomizeIconSelected,OrderIndex,CameraZoomLevel,Flags,SpellShapeshiftFormID,CameraDistanceOffset
1,Cuerpo,11987,11986,4,20,3,0,0
2,Rostro,11991,11990,1,100,2,0,0
3,Accesorios,11985,11984,3,100,2,0,0
4,Pelo,11989,11988,2,100,2,0,0
5,Marcas,11987,11986,5,65,3,0,0
6,Forma de oso,15730,15730,6,0,1,5,1
7,Forma felina,15731,15731,7,0,1,1,0
9,Forma acuática,15729,15729,10,0,1,4,1
10,Forma de viaje,15734,15734,11,0,1,3,1
11,Forma de vuelo,15732,15732,9,0,1,27,0
12,Forma de lechúcico lunar,15733,15733,8,0,1,31,0
13,Rostro (no-muerto),11991,11990,1,80,3,0,0
14,Rostro (pandaren),11991,11990,1,80,3,0,0
15,Rostro (orco mag'har),11991,11990,1,85,3,0,0
16,Rostro (enano),11991,11990,1,88,2,0,0
17,Accesorios (enano),11985,11984,3,88,2,0,0
18,Rostro (tauren),11991,11990,1,100,3,0,0
19,Accesorios (tauren),11985,11984,3,100,3,0,0
20,Face (Worgen),11991,11990,1,100,3,0,0
21,Diablillo,24571,24571,40,50,1,0,1
22,Cuerpo (dracthyr),11987,11986,1,20,2,0,0
23,Reflejo,18308,18307,2,100,2,0,0
24,Armadura 1 (Dracthyr),11993,11992,5,20,2,0,0
26,Armor 2 (Dracthyr),11993,11992,6,20,2,0,0
27,Cuerpo (Dracoequitación),20126,20127,1,20,3,0,0
28,Cuerpo 2 (Dracoequitación),20128,20129,2,20,3,0,0
29,Cabeza (Dracoequitación),20130,20131,3,100,2,0,0
30,Cabeza 2 (Dracoequitación),18308,18307,4,100,2,0,0
31,Accesorios (Dracthyr),20130,20131,2,100,2,0,0
32,Rostro (Dracthyr),11991,11990,3,100,2,0,0
33,Reflejo (Dracthyr),18308,18307,4,100,2,0,0
34,Accesorios (orco mag'har),11985,11984,2,85,3,0,0
37,Manáfago,24570,24570,43,50,1,0,1
39,Abisario,24575,24575,41,40,1,0,1
42,Guardia vil,24569,24569,44,30,1,0,1.4
43,Guardia apocalíptico,24684,24684,46,30,1,0,-1.2
44,Sayaad,24574,24574,42,40,1,0,1
45,Infernal,24685,24685,45,30,1,0,1.5
46,Cuerpo (Lechúcico lunar),11987,11986,1,40,3,0,0
47,Mirada oscura,26042,26042,47,30,1,0,1
48,Tirano,26043,26043,48,70,1,0,1
50,Gemas,11987,11986,4,30,3,0,0
52,Protodraco renovado,19958,19958,102,50,1,0,1
53,Velocidraco vendaval,19959,19959,103,50,1,0,1
54,Draco salvaje de risco,19960,19960,104,50,1,0,1
55,Dracorreptante sinuoso,23901,23901,105,50,1,0,1
56,Draco ala abisal de gruta,25100,25100,106,50,1,0,1
57,Jinete de la tormenta algariano,25101,25101,107,50,1,0,1
58,Draco fantástico exuberante,25531,25531,108,50,1,0,1
59,Dirigible de surcabismos,27697,27697,109,50,1,0,1
60,Goblinave de surcabismos,28583,28583,110,50,1,0,1
61,Draco de las Tierras Altas,19957,19957,101,50,1,0,1
62,Deslizador de maná de surcabismos,30736,30736,110,50,1,0,1.3
67,Mascota de compañía - Chihuahua,6144,6144,0,0,0,0,0
68,Weechi,30463,30463,0,0,0,0,0
