ID,HordeName_lang,AllianceName_lang,Description_lang,Tooltip_lang,GarrTypeID,BuildingType,HordeGameObjectID,AllianceGameObjectID,GarrSiteID,UpgradeLevel,BuildSeconds,CurrencyTypeID,CurrencyQty,HordeUiTextureKitID,AllianceUiTextureKitID,IconFileDataID,AllianceSceneScriptPackageID,HordeSceneScriptPackageID,MaxAssignments,ShipmentCapacity,GarrAbilityID,BonusGarrAbilityID,GoldCost,Flags
8,Molino de Guerra,Búnker enano,Esta estructura almacena y mantiene el armamento de la fortaleza.,Duplica la posibilidad de que tus recompensas de misiones obtengan una mejora de bonificación poco común o épica y aumenta la potencia de la mejora. Permite recolectar restos de armadura de los clanes orcos de Draenor para transfigurar la armadura.,2,10,230406,224548,0,1,3600,824,150,15,14,975736,1194,1193,0,0,0,0,150,1
9,Molino de Guerra,Búnker enano,Esta estructura almacena y mantiene el armamento de la fortaleza.,"Abre pedidos de armas y armadura de seguidor a cambio de recursos de la fortaleza. Además, desbloquea nuevas armaduras de transfiguración.",2,10,230407,224549,0,2,3600,824,900,18,16,975736,1196,1195,0,14,0,0,300,1
10,Molino de Guerra,Búnker enano,Esta estructura almacena y mantiene el armamento de la fortaleza.,"Otorga 1 de tus 3 sellos del destino inevitable (lanzamiento de dados bonus de banda) sin costo, cada semana.",2,10,230409,224550,0,3,3600,824,1200,19,17,975736,1198,1197,0,21,0,0,500,1
24,Granja,Granja,"La granja alberga a las criaturas capturadas que dan cuero, carne y pieles a  la fortaleza.","Te permite capturar uñagrietas, elekk, lobos y talbuk para obtener cuero y pieles. Usado para fórmulas de peletería y sastrería.",2,3,230410,224795,0,1,3600,824,100,131,3,975737,1220,1219,0,7,0,0,150,1
25,Granja,Granja,"La granja alberga a las criaturas capturadas que dan cuero, carne y pieles a  la fortaleza.","Te permite capturar jabalíes y bestias de río para obtener carnes poco comunes, usadas para cocinar comidas súper poderosas.",2,3,230411,224796,0,2,3600,824,300,132,57,975737,1222,1221,0,14,62,0,300,1
26,Cuartel,Cuartel,El cuartel alberga a tus fuerzas militares y seguidores.,Desbloquea misiones de patrulla. Las misiones de patrulla otorgan recompensas de experiencia a seguidores más altas de lo normal.,2,8,230412,224797,0,1,3600,824,150,142,36,975738,1224,1223,0,1,0,0,10,1
27,Cuartel,Cuartel,El cuartel alberga a tus fuerzas militares y seguidores.,Permite que un seguidor con la característica de guardaespaldas te acompañe como guardián en zonas de Draenor.,2,8,230413,224798,0,2,3600,824,900,143,37,975738,1226,1225,0,3,231,0,300,1
28,Cuartel,Cuartel,El cuartel alberga a tus fuerzas militares y seguidores.,Aumenta el límite de seguidores a 5 y otorga acceso a los guardias y estandartes raciales.,2,8,230414,224799,0,3,3600,824,1200,144,38,975738,1228,1227,5,5,231,0,500,1
29,Herbario,Herbario,Un jardín rebosante para plantar y cosechar hierbas de Draenor.,Hace que las semillas draénicas se transformen en hierbas cada día y haya nodos de herboristería disponibles en el jardín.,2,2,230415,224800,0,1,3600,824,50,137,59,134221,1230,1229,0,7,0,0,0,0
34,Taberna Muro de Escarcha,Posada Caída de la luna,¡Aventura! ¡Emoción! Un héroe y sus seguidores necesitan de todo esto junto con un lugar para descansar luego.,"Cada día, un visitante que ofrece una misión de calabozo con recompensas generosas pasará un día en tu posada.",2,5,230416,224805,0,1,3600,824,100,7,6,134414,1234,1233,0,1,0,0,150,1
35,Taberna Muro de Escarcha,Posada Caída de la luna,¡Aventura! ¡Emoción! Un héroe y sus seguidores necesitan de todo esto junto con un lugar para descansar luego.,Recluta seguidores aleatorios cada semana. Puedes detallar cuáles características y habilidades te interesan más.,2,5,230417,224806,0,2,3600,824,300,138,31,134414,1236,1235,0,3,0,0,300,1
